cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1513121027-NSIDC_ECS,SC:ABLVIS2.001:129488624,NSIDC_ECS,1,2018-04-17T17:22:40Z,2018-04-17T11:19:04.729Z,,SC:ABLVIS2.001:129488624,101.968,,Unspecified,2017-06-29T15:37:13.489Z,2017-06-29T15:43:13.286Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1513124116-NSIDC_ECS,SC:ABLVIS2.001:129489389,NSIDC_ECS,1,2018-04-17T17:57:42Z,2018-04-17T11:54:08.720Z,,SC:ABLVIS2.001:129489389,101.968,,Unspecified,2017-06-29T15:43:13.286Z,2017-06-29T15:53:18.354Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1513124065-NSIDC_ECS,SC:ABLVIS2.001:129489505,NSIDC_ECS,1,2018-04-17T17:57:40Z,2018-04-17T11:56:39.275Z,,SC:ABLVIS2.001:129489505,101.968,,Unspecified,2017-06-29T15:53:18.354Z,2017-06-29T16:02:28.708Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1513124967-NSIDC_ECS,SC:ABLVIS2.001:129489811,NSIDC_ECS,1,2018-04-17T18:02:57Z,2018-04-17T12:00:28.824Z,,SC:ABLVIS2.001:129489811,101.968,,Unspecified,2017-06-29T16:02:28.708Z,2017-06-29T16:07:44.057Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1513124950-NSIDC_ECS,SC:ABLVIS2.001:129489542,NSIDC_ECS,1,2018-04-17T18:02:56Z,2018-04-17T12:00:53.633Z,,SC:ABLVIS2.001:129489542,101.968,,Unspecified,2017-06-29T16:07:44.057Z,2017-06-29T16:12:01.552Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1513123798-NSIDC_ECS,SC:ABLVIS2.001:129489141,NSIDC_ECS,1,2018-04-17T17:53:03Z,2018-04-17T11:49:03.022Z,,SC:ABLVIS2.001:129489141,101.968,,Unspecified,2017-06-29T16:12:01.553Z,2017-06-29T16:17:05.778Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1513125058-NSIDC_ECS,SC:ABLVIS2.001:129489709,NSIDC_ECS,1,2018-04-17T18:03:00Z,2018-04-17T11:58:23.476Z,,SC:ABLVIS2.001:129489709,101.968,,Unspecified,2017-06-29T16:17:05.779Z,2017-06-29T16:20:22.627Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1513124726-NSIDC_ECS,SC:ABLVIS2.001:129490123,NSIDC_ECS,2,2018-04-17T18:07:55Z,2018-04-17T12:02:30.643Z,,SC:ABLVIS2.001:129490123,101.968,,Unspecified,2017-06-29T16:20:22.627Z,2017-06-29T16:23:50.499Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1513124938-NSIDC_ECS,SC:ABLVIS2.001:129489562,NSIDC_ECS,1,2018-04-17T18:02:56Z,2018-04-17T11:57:41.072Z,,SC:ABLVIS2.001:129489562,101.968,,Unspecified,2017-06-29T16:23:50.500Z,2017-06-29T16:26:57.187Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1513123829-NSIDC_ECS,SC:ABLVIS2.001:129489190,NSIDC_ECS,1,2018-04-17T17:53:04Z,2018-04-17T11:49:36.969Z,,SC:ABLVIS2.001:129489190,101.968,,Unspecified,2017-06-29T16:26:57.187Z,2017-06-29T16:29:51.478Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
