cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1608836047-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_ivotuk_140816_141009_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:18Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_ivotuk_140816_141009_01.nc4,526.734939,,Both,2014-08-16T00:00:00.000Z,2014-10-09T00:00:00.000Z,68.0962,68.3564,-158.958,-158.365,"POLYGON ((-158.365 68.0962, -158.365 68.35639999999999, -158.958 68.35639999999999, -158.958 68.0962, -158.365 68.0962))"
granule,G1608836048-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_kougar_140816_141009_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:18Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_kougar_140816_141009_01.nc4,627.396058,,Both,2014-08-16T00:00:00.000Z,2014-10-09T00:00:00.000Z,65.4095,65.6772,-165.287,-164.796,"POLYGON ((-164.796 65.40949999999999, -164.796 65.6772, -165.287 65.6772, -165.287 65.40949999999999, -164.796 65.40949999999999))"
granule,G1608836056-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_dhorse_140816_141009_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:19Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_dhorse_140816_141009_01.nc4,649.788384,,Both,2014-08-16T00:00:00.000Z,2014-10-09T00:00:00.000Z,69.5411,69.7892,-151.683,-151.0,"POLYGON ((-151 69.5411, -151 69.78919999999999, -151.683 69.78919999999999, -151.683 69.5411, -151 69.5411))"
granule,G1608836057-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_koyukk_140816_141009_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:19Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_koyukk_140816_141009_01.nc4,634.408712,,Both,2014-08-16T00:00:00.000Z,2014-10-09T00:00:00.000Z,64.7127,64.9793,-164.602,-164.118,"POLYGON ((-164.118 64.7127, -164.118 64.97929999999999, -164.602 64.97929999999999, -164.602 64.7127, -164.118 64.7127))"
granule,G1608836061-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_counci_140816_141009_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:19Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_counci_140816_141009_01.nc4,538.383858,,Both,2014-08-16T00:00:00.000Z,2014-10-09T00:00:00.000Z,64.7712,65.0404,-166.678,-166.209,"POLYGON ((-166.209 64.77119999999999, -166.209 65.04040000000001, -166.678 65.04040000000001, -166.678 64.77119999999999, -166.209 64.77119999999999))"
granule,G1608836064-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_atqasu_140816_141009_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:19Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_atqasu_140816_141009_01.nc4,811.691475,,Both,2014-08-16T00:00:00.000Z,2014-10-09T00:00:00.000Z,69.77,70.0348,-160.908,-160.286,"POLYGON ((-160.286 69.77, -160.286 70.0348, -160.908 70.0348, -160.908 69.77, -160.286 69.77))"
granule,G1608836065-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_barrow_140816_141009_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:19Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_barrow_140816_141009_01.nc4,466.041302,,Both,2014-08-16T00:00:00.000Z,2014-10-09T00:00:00.000Z,70.6124,70.875,-158.916,-158.255,"POLYGON ((-158.255 70.61239999999999, -158.255 70.875, -158.916 70.875, -158.916 70.61239999999999, -158.255 70.61239999999999))"
granule,G1608836067-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_ambler_140816_141009_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:19Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_ambler_140816_141009_01.nc4,968.809435,,Both,2014-08-16T00:00:00.000Z,2014-10-09T00:00:00.000Z,66.0011,66.2659,-162.859,-162.339,"POLYGON ((-162.339 66.00109999999999, -162.339 66.2659, -162.859 66.2659, -162.859 66.00109999999999, -162.339 66.00109999999999))"
granule,G1608836046-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_kougar_150829_151001_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:18Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_kougar_150829_151001_01.nc4,438.383313,,Both,2015-08-29T00:00:00.000Z,2015-10-01T00:00:00.000Z,65.4359,65.7015,-163.582,-163.078,"POLYGON ((-163.078 65.4359, -163.078 65.7015, -163.582 65.7015, -163.582 65.4359, -163.078 65.4359))"
granule,G1608836050-ORNL_DAAC,ABoVE_PBand_SAR.PolSAR_active_layer_prop_coldfo_150829_151001_01.nc4,ORNL_DAAC,1,2019-04-26T20:14:18Z,2019-04-25T00:00:00.000Z,ABoVE_PBand_SAR_1657,ABoVE_PBand_SAR.PolSAR_active_layer_prop_coldfo_150829_151001_01.nc4,541.682345,,Both,2015-08-29T00:00:00.000Z,2015-10-01T00:00:00.000Z,66.6693,66.9188,-153.424,-152.827,"POLYGON ((-152.827 66.66930000000001, -152.827 66.9188, -153.424 66.9188, -153.424 66.66930000000001, -152.827 66.66930000000001))"
