cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1513749347-ORNL_DAAC,AVHRR_Fire_Products.1989_avhrr_hs.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1989_avhrr_hs.zip,0.892272,,Both,1989-05-01T00:00:00.000Z,1989-10-31T00:00:00.000Z,41.7591,69.007,-158.356,-53.4745,"POLYGON ((-53.4745 41.7591, -53.4745 69.00700000000001, -158.356 69.00700000000001, -158.356 41.7591, -53.4745 41.7591))"
granule,G1513749351-ORNL_DAAC,AVHRR_Fire_Products.1989_avhrr_ba.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1989_avhrr_ba.zip,0.127353,,Both,1989-05-01T00:00:00.000Z,1989-10-31T00:00:00.000Z,46.4207,66.7688,-157.793,-58.6508,"POLYGON ((-58.6508 46.4207, -58.6508 66.7688, -157.793 66.7688, -157.793 46.4207, -58.6508 46.4207))"
granule,G1513749331-ORNL_DAAC,AVHRR_Fire_Products.1990_avhrr_ba.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1990_avhrr_ba.zip,0.130737,,Both,1990-05-01T00:00:00.000Z,1990-10-31T00:00:00.000Z,42.2777,67.7326,-161.596,-60.3741,"POLYGON ((-60.3741 42.2777, -60.3741 67.73260000000001, -161.596 67.73260000000001, -161.596 42.2777, -60.3741 42.2777))"
granule,G1513749341-ORNL_DAAC,AVHRR_Fire_Products.1990_avhrr_hs.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1990_avhrr_hs.zip,0.276243,,Both,1990-05-01T00:00:00.000Z,1990-10-31T00:00:00.000Z,42.2759,67.7331,-163.937,-57.975,"POLYGON ((-57.975 42.2759, -57.975 67.73309999999999, -163.937 67.73309999999999, -163.937 42.2759, -57.975 42.2759))"
granule,G1513749334-ORNL_DAAC,AVHRR_Fire_Products.1991_avhrr_ba.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1991_avhrr_ba.zip,0.187307,,Both,1991-05-01T00:00:00.000Z,1991-10-31T00:00:00.000Z,42.7439,67.8043,-165.111,-59.1302,"POLYGON ((-59.1302 42.7439, -59.1302 67.8043, -165.111 67.8043, -165.111 42.7439, -59.1302 42.7439))"
granule,G1513749343-ORNL_DAAC,AVHRR_Fire_Products.1991_avhrr_hs.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1991_avhrr_hs.zip,0.426413,,Both,1991-05-01T00:00:00.000Z,1991-10-31T00:00:00.000Z,42.2656,67.9198,-165.186,-55.9082,"POLYGON ((-55.9082 42.2656, -55.9082 67.9198, -165.186 67.9198, -165.186 42.2656, -55.9082 42.2656))"
granule,G1513749328-ORNL_DAAC,AVHRR_Fire_Products.1992_avhrr_hs.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1992_avhrr_hs.zip,0.102308,,Both,1992-05-01T00:00:00.000Z,1992-10-31T00:00:00.000Z,45.2172,68.0942,-155.948,-60.4244,"POLYGON ((-60.4244 45.2172, -60.4244 68.0942, -155.948 68.0942, -155.948 45.2172, -60.4244 45.2172))"
granule,G1513749332-ORNL_DAAC,AVHRR_Fire_Products.1992_avhrr_ba.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1992_avhrr_ba.zip,0.069446,,Both,1992-05-01T00:00:00.000Z,1992-10-31T00:00:00.000Z,46.9242,67.4447,-155.916,-60.5339,"POLYGON ((-60.5339 46.9242, -60.5339 67.4447, -155.916 67.4447, -155.916 46.9242, -60.5339 46.9242))"
granule,G1513749330-ORNL_DAAC,AVHRR_Fire_Products.1993_avhrr_hs.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1993_avhrr_hs.zip,0.26273,,Both,1993-05-01T00:00:00.000Z,1993-10-31T00:00:00.000Z,41.7301,68.4764,-160.098,-65.2453,"POLYGON ((-65.2453 41.7301, -65.2453 68.4764, -160.098 68.4764, -160.098 41.7301, -65.2453 41.7301))"
granule,G1513749336-ORNL_DAAC,AVHRR_Fire_Products.1993_avhrr_ba.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1993_avhrr_ba.zip,0.136753,,Both,1993-05-01T00:00:00.000Z,1993-10-31T00:00:00.000Z,41.7216,68.4651,-160.1,-65.2453,"POLYGON ((-65.2453 41.7216, -65.2453 68.46510000000001, -160.1 68.46510000000001, -160.1 41.7216, -65.2453 41.7216))"
granule,G1513749338-ORNL_DAAC,AVHRR_Fire_Products.1994_avhrr_hs.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1994_avhrr_hs.zip,0.385244,,Both,1994-05-01T00:00:00.000Z,1994-09-13T00:00:00.000Z,46.4786,67.4222,-157.699,-58.6508,"POLYGON ((-58.6508 46.4786, -58.6508 67.4222, -157.699 67.4222, -157.699 46.4786, -58.6508 46.4786))"
granule,G1513749350-ORNL_DAAC,AVHRR_Fire_Products.1994_avhrr_ba.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1994_avhrr_ba.zip,0.27792,,Both,1994-05-01T00:00:00.000Z,1994-09-13T00:00:00.000Z,48.2174,67.1467,-157.71,-58.6322,"POLYGON ((-58.6322 48.2174, -58.6322 67.1467, -157.71 67.1467, -157.71 48.2174, -58.6322 48.2174))"
granule,G1513749329-ORNL_DAAC,AVHRR_Fire_Products.1995_avhrr_ba.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1995_avhrr_ba.zip,0.490517,,Both,1995-05-01T00:00:00.000Z,1995-10-31T00:00:00.000Z,41.7318,67.9423,-160.098,-62.7121,"POLYGON ((-62.7121 41.7318, -62.7121 67.9423, -160.098 67.9423, -160.098 41.7318, -62.7121 41.7318))"
granule,G1513749342-ORNL_DAAC,AVHRR_Fire_Products.1995_avhrr_hs.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1995_avhrr_hs.zip,1.134603,,Both,1995-05-01T00:00:00.000Z,1995-10-31T00:00:00.000Z,42.2827,66.6101,-155.312,-56.3933,"POLYGON ((-56.3933 42.2827, -56.3933 66.6101, -155.312 66.6101, -155.312 42.2827, -56.3933 42.2827))"
granule,G1513749344-ORNL_DAAC,AVHRR_Fire_Products.1996_avhrr_hs.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1996_avhrr_hs.zip,0.499521,,Both,1996-05-01T00:00:00.000Z,1996-10-31T00:00:00.000Z,42.2759,67.9882,-162.956,-53.6235,"POLYGON ((-53.6235 42.2759, -53.6235 67.98820000000001, -162.956 67.98820000000001, -162.956 42.2759, -53.6235 42.2759))"
granule,G1513749348-ORNL_DAAC,AVHRR_Fire_Products.1996_avhrr_ba.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1996_avhrr_ba.zip,0.207824,,Both,1996-05-01T00:00:00.000Z,1996-10-31T00:00:00.000Z,46.4738,67.6518,-158.858,-58.2128,"POLYGON ((-58.2128 46.4738, -58.2128 67.65179999999999, -158.858 67.65179999999999, -158.858 46.4738, -58.2128 46.4738))"
granule,G1513749340-ORNL_DAAC,AVHRR_Fire_Products.1997_avhrr_ba.zip,ORNL_DAAC,2,2018-04-23T17:51:58Z,2018-02-14T00:00:00.000Z,AVHRR_Fire_Products_1545,AVHRR_Fire_Products.1997_avhrr_ba.zip,0.210176,,Both,1997-05-01T00:00:00.000Z,1997-10-31T00:00:00.000Z,43.2344,68.2781,-163.502,-58.3906,"POLYGON ((-58.3906 43.2344, -58.3906 68.27809999999999, -163.502 68.27809999999999, -163.502 43.2344, -58.3906 43.2344))"
