cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1646344426-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h03v01_1991.tif,ORNL_DAAC,1,2019-10-15T21:11:40Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h03v01_1991.tif,50.738167,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,61.2342,71.8701,-100.563,-70.9543,"POLYGON ((-70.9543 61.2342, -70.9543 71.87009999999999, -100.563 71.87009999999999, -100.563 61.2342, -70.9543 61.2342))"
granule,G1646344429-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h00v01_1991.tif,ORNL_DAAC,1,2019-10-15T21:11:40Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h00v01_1991.tif,22.535946,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,49.8662,63.4392,-160.865,-135.931,"POLYGON ((-135.931 49.8662, -135.931 63.4392, -160.865 63.4392, -160.865 49.8662, -135.931 49.8662))"
granule,G1646344443-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h02v01_1991.tif,ORNL_DAAC,1,2019-10-15T21:11:40Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h02v01_1991.tif,66.583059,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,60.3858,71.8701,-128.592,-99.1298,"POLYGON ((-99.1298 60.3858, -99.1298 71.87009999999999, -128.592 71.87009999999999, -128.592 60.3858, -99.1298 60.3858))"
granule,G1646344449-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h01v02_1991.tif,ORNL_DAAC,1,2019-10-15T21:11:40Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h01v02_1991.tif,28.532417,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,47.6787,60.3858,-135.931,-114.017,"POLYGON ((-114.017 47.6787, -114.017 60.3858, -135.931 60.3858, -135.931 47.6787, -114.017 47.6787))"
granule,G1646344454-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h02v02_1991.tif,ORNL_DAAC,1,2019-10-15T21:11:42Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h02v02_1991.tif,50.166635,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,51.2282,62.272,-119.29,-98.3814,"POLYGON ((-98.3814 51.2282, -98.3814 62.272, -119.29 62.272, -119.29 51.2282, -98.3814 51.2282))"
granule,G1646344455-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h03v00_1991_QA.tif,ORNL_DAAC,1,2019-10-15T21:11:42Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h03v00_1991_QA.tif,29.99909,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,70.3552,82.3685,-104.406,-53.9394,"POLYGON ((-53.9394 70.3552, -53.9394 82.3685, -104.406 82.3685, -104.406 70.3552, -53.9394 70.3552))"
granule,G1646344458-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h01v01_1991.tif,ORNL_DAAC,1,2019-10-15T21:11:42Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h01v01_1991.tif,29.680259,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,56.0151,69.1612,-148.298,-119.29,"POLYGON ((-119.29 56.0151, -119.29 69.16119999999999, -148.298 69.16119999999999, -148.298 56.0151, -119.29 56.0151))"
granule,G1646344460-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h02v03_1991_QA.tif,ORNL_DAAC,1,2019-10-15T21:11:42Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h02v03_1991_QA.tif,21.148173,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,41.704,52.6999,-114.017,-97.9217,"POLYGON ((-97.9217 41.704, -97.9217 52.6999, -114.017 52.6999, -114.017 41.704, -97.9217 41.704))"
granule,G1646344465-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h02v00_1991.tif,ORNL_DAAC,1,2019-10-15T21:11:42Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h02v00_1991.tif,28.007156,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,69.1612,82.3685,-147.902,-100.563,"POLYGON ((-100.563 69.16119999999999, -100.563 82.3685, -147.902 82.3685, -147.902 69.16119999999999, -100.563 69.16119999999999))"
granule,G1646344467-ORNL_DAAC,Decadal_Water_Maps.ABoVE_Water_h03v01_1991_QA.tif,ORNL_DAAC,1,2019-10-15T21:11:42Z,2019-01-25T00:00:00.000Z,Decadal_Water_Maps_1324,Decadal_Water_Maps.ABoVE_Water_h03v01_1991_QA.tif,63.961859,,Both,1990-01-01T00:00:00.000Z,1992-12-31T00:00:00.000Z,61.2342,71.8701,-100.563,-70.9543,"POLYGON ((-70.9543 61.2342, -70.9543 71.87009999999999, -100.563 71.87009999999999, -100.563 61.2342, -70.9543 61.2342))"
