cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1646363527-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah001v000_Bh007v001.tif,ORNL_DAAC,1,2019-10-15T21:58:26Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah001v000_Bh007v001.tif,12.34294,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,68.8717,71.1314,-161.47,-154.875,"POLYGON ((-154.875 68.8717, -154.875 71.1314, -161.47 71.1314, -161.47 68.8717, -154.875 68.8717))"
granule,G1646363528-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah002v002_Bh015v014.tif,ORNL_DAAC,1,2019-10-15T21:58:27Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah002v002_Bh015v014.tif,15.030406,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,56.9857,58.8082,-108.263,-104.745,"POLYGON ((-104.745 56.9857, -104.745 58.8082, -108.263 58.8082, -108.263 56.9857, -104.745 56.9857))"
granule,G1646363529-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah004v003_Bh024v019.tif,ORNL_DAAC,1,2019-10-15T21:58:27Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah004v003_Bh024v019.tif,50.482764,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,48.3917,50.3125,-83.4631,-80.5312,"POLYGON ((-80.5312 48.3917, -80.5312 50.3125, -83.4631 50.3125, -83.4631 48.3917, -80.5312 48.3917))"
granule,G1646363530-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah004v001_Bh024v008.tif,ORNL_DAAC,1,2019-10-15T21:58:27Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah004v001_Bh024v008.tif,11.384552,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,65.2928,67.3355,-75.3113,-70.1166,"POLYGON ((-70.11660000000001 65.2928, -70.11660000000001 67.3355, -75.3113 67.3355, -75.3113 65.2928, -70.11660000000001 65.2928))"
granule,G1646363531-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah004v001_Bh024v008.tif,ORNL_DAAC,1,2019-10-15T21:58:27Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah004v001_Bh024v008.tif,28.435954,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,65.2928,67.3355,-75.3113,-70.1166,"POLYGON ((-70.11660000000001 65.2928, -70.11660000000001 67.3355, -75.3113 67.3355, -75.3113 65.2928, -70.11660000000001 65.2928))"
granule,G1646363533-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah003v003_Bh020v021.tif,ORNL_DAAC,1,2019-10-15T21:58:27Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah003v003_Bh020v021.tif,46.667738,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,46.1167,47.8375,-93.4337,-90.9571,"POLYGON ((-90.9571 46.1167, -90.9571 47.8375, -93.4337 47.8375, -93.4337 46.1167, -90.9571 46.1167))"
granule,G1646363534-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah004v002_Bh029v014.tif,ORNL_DAAC,1,2019-10-15T21:58:27Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah004v002_Bh029v014.tif,15.19631,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,53.3047,55.4506,-67.1383,-63.3975,"POLYGON ((-63.3975 53.3047, -63.3975 55.4506, -67.1383 55.4506, -67.1383 53.3047, -63.3975 53.3047))"
granule,G1646363535-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah005v002_Bh030v014.tif,ORNL_DAAC,1,2019-10-15T21:58:27Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah005v002_Bh030v014.tif,43.819404,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,52.5564,54.7305,-64.666,-60.9518,"POLYGON ((-60.9518 52.5564, -60.9518 54.7305, -64.666 54.7305, -64.666 52.5564, -60.9518 52.5564))"
granule,G1646363536-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah001v000_Bh010v003.tif,ORNL_DAAC,1,2019-10-15T21:58:27Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_Ah001v000_Bh010v003.tif,3.004932,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,70.0906,72.3717,-144.59,-137.601,"POLYGON ((-137.601 70.09059999999999, -137.601 72.3717, -144.59 72.3717, -144.59 70.09059999999999, -137.601 70.09059999999999))"
granule,G1646363537-ORNL_DAAC,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah001v002_Bh009v012.tif,ORNL_DAAC,1,2019-10-15T21:58:27Z,2019-03-14T00:00:00.000Z,Vegetation_greenness_trend_1576,Vegetation_greenness_trend.ABoVE_NDVI_trend_sig_Ah001v002_Bh009v012.tif,12.627416,,Both,1984-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,57.0428,59.1697,-128.14,-124.011,"POLYGON ((-124.011 57.0428, -124.011 59.1697, -128.14 59.1697, -128.14 57.0428, -124.011 57.0428))"
