cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1646926194-ORNL_DAAC,ATom_Aerosols_Meteorology.ATom1GEOSsize20160729.txt,ORNL_DAAC,1,2019-10-20T19:37:28Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.ATom1GEOSsize20160729.txt,1.653122,,Both,2016-07-29T00:00:00.000Z,2016-07-29T23:59:00.000Z,-65.3316,80.0088,-180.0,180.0,"POLYGON ((180 -65.33159999999999, 180 80.00879999999999, -180 80.00879999999999, -180 -65.33159999999999, 180 -65.33159999999999))"
granule,G1646926235-ORNL_DAAC,ATom_Aerosols_Meteorology.ATom1CAM5size20160729.txt,ORNL_DAAC,1,2019-10-20T19:37:29Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.ATom1CAM5size20160729.txt,1.653122,,Both,2016-07-29T00:00:00.000Z,2016-07-29T23:59:00.000Z,-65.3316,80.0088,-180.0,180.0,"POLYGON ((180 -65.33159999999999, 180 80.00879999999999, -180 80.00879999999999, -180 -65.33159999999999, 180 -65.33159999999999))"
granule,G1646926264-ORNL_DAAC,ATom_Aerosols_Meteorology.ATom1GEOSoutput20160729.txt,ORNL_DAAC,1,2019-10-20T19:37:34Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.ATom1GEOSoutput20160729.txt,0.561209,,Both,2016-07-29T00:00:00.000Z,2016-07-29T23:59:00.000Z,-65.3316,80.0088,-180.0,180.0,"POLYGON ((180 -65.33159999999999, 180 80.00879999999999, -180 80.00879999999999, -180 -65.33159999999999, 180 -65.33159999999999))"
granule,G1646926313-ORNL_DAAC,ATom_Aerosols_Meteorology.ATom1CAM5output20160729.txt,ORNL_DAAC,1,2019-10-20T19:37:38Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.ATom1CAM5output20160729.txt,0.561209,,Both,2016-07-29T00:00:00.000Z,2016-07-29T23:59:00.000Z,-65.3316,80.0088,-180.0,180.0,"POLYGON ((180 -65.33159999999999, 180 80.00879999999999, -180 80.00879999999999, -180 -65.33159999999999, 180 -65.33159999999999))"
granule,G1646926138-ORNL_DAAC,ATom_Aerosols_Meteorology.APM_diameters.txt,ORNL_DAAC,1,2019-10-20T19:37:22Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.APM_diameters.txt,0.000542,,Both,2016-07-29T14:33:00.000Z,2017-02-21T23:48:00.000Z,-65.2784,80.5222,-180.0,180.0,"POLYGON ((180 -65.2784, 180 80.5222, -180 80.5222, -180 -65.2784, 180 -65.2784))"
granule,G1646926141-ORNL_DAAC,ATom_Aerosols_Meteorology.GC_APMAug16_N3.txt,ORNL_DAAC,1,2019-10-20T19:37:22Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.GC_APMAug16_N3.txt,0.071563,,Both,2016-07-29T14:33:00.000Z,2017-02-21T23:48:00.000Z,-65.2784,80.5222,-180.0,180.0,"POLYGON ((180 -65.2784, 180 80.5222, -180 80.5222, -180 -65.2784, 180 -65.2784))"
granule,G1646926142-ORNL_DAAC,ATom_Aerosols_Meteorology.GCT_Aug16_N3.txt,ORNL_DAAC,1,2019-10-20T19:37:22Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.GCT_Aug16_N3.txt,0.032813,,Both,2016-07-29T14:33:00.000Z,2017-02-21T23:48:00.000Z,-65.2784,80.5222,-180.0,180.0,"POLYGON ((180 -65.2784, 180 80.5222, -180 80.5222, -180 -65.2784, 180 -65.2784))"
granule,G1646926144-ORNL_DAAC,ATom_Aerosols_Meteorology.ATom2_SDparams.txt,ORNL_DAAC,1,2019-10-20T19:37:22Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.ATom2_SDparams.txt,20.962128,,Both,2016-07-29T14:33:00.000Z,2017-02-21T23:48:00.000Z,-65.2784,80.5222,-180.0,180.0,"POLYGON ((180 -65.2784, 180 80.5222, -180 80.5222, -180 -65.2784, 180 -65.2784))"
granule,G1646926146-ORNL_DAAC,ATom_Aerosols_Meteorology.ATom1_Pac_tropical_30day_back_trajectories.nc4,ORNL_DAAC,1,2019-10-20T19:37:22Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.ATom1_Pac_tropical_30day_back_trajectories.nc4,0.545657,,Both,2016-07-29T14:33:00.000Z,2016-08-23T20:00:00.000Z,-65.3316,80.0088,-180.0,180.0,"POLYGON ((180 -65.33159999999999, 180 80.00879999999999, -180 80.00879999999999, -180 -65.33159999999999, 180 -65.33159999999999))"
granule,G1646926147-ORNL_DAAC,ATom_Aerosols_Meteorology.GC_APMFeb17_N3.txt,ORNL_DAAC,1,2019-10-20T19:37:22Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.GC_APMFeb17_N3.txt,0.07035,,Both,2016-07-29T14:33:00.000Z,2017-02-21T23:48:00.000Z,-65.2784,80.5222,-180.0,180.0,"POLYGON ((180 -65.2784, 180 80.5222, -180 80.5222, -180 -65.2784, 180 -65.2784))"
granule,G1646926155-ORNL_DAAC,ATom_Aerosols_Meteorology.GCT_ATom2_SD.txt,ORNL_DAAC,1,2019-10-20T19:37:22Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.GCT_ATom2_SD.txt,1.049811,,Both,2016-07-29T14:33:00.000Z,2017-02-21T23:48:00.000Z,-65.2784,80.5222,-180.0,180.0,"POLYGON ((180 -65.2784, 180 80.5222, -180 80.5222, -180 -65.2784, 180 -65.2784))"
granule,G1646926162-ORNL_DAAC,ATom_Aerosols_Meteorology.ATom1PALMSlt500nm.txt,ORNL_DAAC,1,2019-10-20T19:37:22Z,2019-10-15T00:00:00.000Z,ATom_Aerosols_Meteorology_1684,ATom_Aerosols_Meteorology.ATom1PALMSlt500nm.txt,9.558914,,Both,2016-07-29T14:33:00.000Z,2017-02-21T23:48:00.000Z,-65.2784,80.5222,-180.0,180.0,"POLYGON ((180 -65.2784, 180 80.5222, -180 80.5222, -180 -65.2784, 180 -65.2784))"
