cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1625234111-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160729_R2.ict,ORNL_DAAC,1,2019-07-19T11:41:46Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160729_R2.ict,0.822553,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1625234165-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160729_R1.ict,ORNL_DAAC,1,2019-07-19T11:41:52Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160729_R1.ict,11.272479,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1625234112-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160801_R2.ict,ORNL_DAAC,1,2019-07-19T11:41:46Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160801_R2.ict,0.909139,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1625234113-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160801_R1.ict,ORNL_DAAC,1,2019-07-19T11:41:46Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160801_R1.ict,11.592008,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1625234119-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160803_R1.ict,ORNL_DAAC,1,2019-07-19T11:41:46Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160803_R1.ict,8.582297,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1625234121-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160803_R2.ict,ORNL_DAAC,1,2019-07-19T11:41:46Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160803_R2.ict,0.675346,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1625234122-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160806_R2.ict,ORNL_DAAC,1,2019-07-19T11:41:46Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160806_R2.ict,0.784244,,Both,2016-08-06T17:57:35.000Z,2016-08-07T02:34:25.000Z,-14.4355,19.7265,-174.08,-156.047,"POLYGON ((-156.047 -14.4355, -156.047 19.7265, -174.08 19.7265, -174.08 -14.4355, -156.047 -14.4355))"
granule,G1625234175-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160806_R1.ict,ORNL_DAAC,1,2019-07-19T11:41:52Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160806_R1.ict,10.243408,,Both,2016-08-06T17:57:35.000Z,2016-08-07T02:34:25.000Z,-14.4355,19.7265,-174.08,-156.047,"POLYGON ((-156.047 -14.4355, -156.047 19.7265, -174.08 19.7265, -174.08 -14.4355, -156.047 -14.4355))"
granule,G1625234140-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160808_R1.ict,ORNL_DAAC,1,2019-07-19T11:41:46Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O-20Hz_DC8_20160808_R1.ict,7.574603,,Both,2016-08-08T19:34:46.000Z,2016-08-09T02:11:30.000Z,-45.4707,-14.318,-180.0,179.998,"POLYGON ((179.998 -45.4707, 179.998 -14.318, -180 -14.318, -180 -45.4707, 179.998 -45.4707))"
granule,G1625234148-ORNL_DAAC,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160808_R2.ict,ORNL_DAAC,1,2019-07-19T11:41:48Z,2019-07-18T00:00:00.000Z,ATom_DLH_Instrument_Data_1710,ATom_DLH_Instrument_Data.DLH-H2O_DC8_20160808_R2.ict,0.588032,,Both,2016-08-08T19:34:46.000Z,2016-08-09T02:11:30.000Z,-45.4707,-14.318,-180.0,179.998,"POLYGON ((179.998 -45.4707, 179.998 -14.318, -180 -14.318, -180 -45.4707, 179.998 -45.4707))"
