cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1643309755-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170126_R1.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170126_R1.ict,0.410475,,Both,2017-01-26T17:11:51.000Z,2017-01-27T03:32:08.000Z,0.90979,34.6992,-121.751,-117.846,"POLYGON ((-117.846 0.90979, -117.846 34.6992, -121.751 34.6992, -121.751 0.90979, -117.846 0.90979))"
granule,G1643309751-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170129_R1.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170129_R1.ict,0.460674,,Both,2017-01-29T17:39:35.000Z,2017-01-30T03:21:47.000Z,34.6304,71.2858,-157.409,-118.107,"POLYGON ((-118.107 34.6304, -118.107 71.28579999999999, -157.409 71.28579999999999, -157.409 34.6304, -118.107 34.6304))"
granule,G1643309747-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170201_R1.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170201_R1.ict,0.408086,,Both,2017-02-01T20:09:13.000Z,2017-02-02T04:20:14.000Z,19.525,61.2645,-162.862,-146.342,"POLYGON ((-146.342 19.525, -146.342 61.2645, -162.862 61.2645, -162.862 19.525, -146.342 19.525))"
granule,G1643309756-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170203_R1.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170203_R1.ict,0.445089,,Both,2017-02-03T19:00:00.000Z,2017-02-04T04:27:50.000Z,-17.9558,19.7272,-180.0,180.0,"POLYGON ((180 -17.9558, 180 19.7272, -180 19.7272, -180 -17.9558, 180 -17.9558))"
granule,G1643309770-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170205_R1.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170205_R1.ict,0.414047,,Both,2017-02-05T20:32:26.000Z,2017-02-06T05:07:40.000Z,-56.0611,-17.7735,-180.0,180.0,"POLYGON ((180 -56.0611, 180 -17.7735, -180 -17.7735, -180 -56.0611, 180 -56.0611))"
granule,G1643309743-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170210_R1.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170210_R1.ict,0.450302,,Both,2017-02-10T18:54:25.000Z,2017-02-11T04:46:34.000Z,-65.2784,-43.4959,-179.999,180.0,"POLYGON ((180 -65.2784, 180 -43.4959, -179.999 -43.4959, -179.999 -65.2784, 180 -65.2784))"
granule,G1643309763-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170213_R1.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170213_R1.ict,0.410471,,Both,2017-02-13T11:01:12.000Z,2017-02-13T20:01:30.000Z,-53.0015,-7.75668,-70.9671,-14.3961,"POLYGON ((-14.3961 -53.0015, -14.3961 -7.75668, -70.9671 -7.75668, -70.9671 -53.0015, -14.3961 -53.0015))"
granule,G1643309750-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170215_R1.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170215_R1.ict,0.391119,,Both,2017-02-15T08:51:27.000Z,2017-02-15T17:29:37.000Z,-8.06049,39.2065,-35.4417,-14.326,"POLYGON ((-14.326 -8.06049, -14.326 39.2065, -35.4417 39.2065, -35.4417 -8.06049, -14.326 -8.06049))"
granule,G1643309752-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170219_R0.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170219_R0.ict,0.351795,,Both,2017-02-19T16:25:51.000Z,2017-02-20T00:02:49.000Z,61.1662,80.5222,-157.445,-68.7654,"POLYGON ((-68.7654 61.1662, -68.7654 80.5222, -157.445 80.5222, -157.445 61.1662, -68.7654 61.1662))"
granule,G1643309753-ORNL_DAAC,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170928_R0.ict,ORNL_DAAC,1,2019-10-02T12:08:52Z,2019-09-30T00:00:00.000Z,ATom_GT_CIMS_Instrument_Data_1715,ATom_GT_CIMS_Instrument_Data.GTCIMSPANS_DC8_20170928_R0.ict,0.620256,,Both,2017-09-28T14:36:16.000Z,2017-09-29T00:53:40.000Z,-0.39192,34.7074,-121.636,-117.731,"POLYGON ((-117.731 -0.39192, -117.731 34.7074, -121.636 34.7074, -121.636 -0.39192, -117.731 -0.39192))"
