cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1616834336-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_O3col.nc,ORNL_DAAC,1,2019-06-02T16:42:59Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_O3col.nc,0.027824,,Both,2005-08-01T00:00:00.000Z,2012-08-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1616834347-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_TPac_subsample.nc,ORNL_DAAC,1,2019-06-02T16:43:00Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_TPac_subsample.nc,0.134045,,Both,2005-08-01T00:00:00.000Z,2017-08-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1616834326-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_RMcldyclr.nc,ORNL_DAAC,1,2019-06-02T16:42:59Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_RMcldyclr.nc,1.103207,,Both,2005-08-16T00:00:00.000Z,2005-08-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1616834327-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_Cmodel_UCI_CFcompliant.nc,ORNL_DAAC,1,2019-06-02T16:42:59Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_Cmodel_UCI_CFcompliant.nc,374.833732,,Both,2005-08-16T00:00:00.000Z,2005-08-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1616834346-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_Imodel_UCIb_CFcompliant.nc,ORNL_DAAC,1,2019-06-02T16:43:00Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_Imodel_UCIb_CFcompliant.nc,374.827583,,Both,2005-08-16T00:00:00.000Z,2005-08-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1616834351-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_ODmetUCI.nc,ORNL_DAAC,1,2019-06-02T16:43:00Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_ODmetUCI.nc,156.425311,,Both,2005-08-16T00:00:00.000Z,2005-08-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1616834330-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_Dmodel_NCAR_CFcompliant.nc,ORNL_DAAC,1,2019-06-02T16:42:59Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_Dmodel_NCAR_CFcompliant.nc,1364.430939,,Both,2008-08-16T00:00:00.000Z,2008-08-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1616834335-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_Emodel_UKCA_CFcompliant.nc,ORNL_DAAC,1,2019-06-02T16:42:59Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_Emodel_UKCA_CFcompliant.nc,133.158694,,Both,2008-08-17T00:00:00.000Z,2008-08-17T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1616834325-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_Imodel_UCIb.nc,ORNL_DAAC,1,2019-06-02T16:42:59Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_Imodel_UCIb.nc,374.796335,,Both,2013-08-16T00:00:00.000Z,2013-08-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1616834333-ORNL_DAAC,ATom_Photolysis_Rates.Jstat_Dmodel_NCAR.nc,ORNL_DAAC,1,2019-06-02T16:42:59Z,2019-05-30T00:00:00.000Z,ATom_Photolysis_Rates_1651,ATom_Photolysis_Rates.Jstat_Dmodel_NCAR.nc,1364.438759,,Both,2013-08-16T00:00:00.000Z,2013-08-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
