cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422761582-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_30jan94_noaa11.tar.gz,ORNL_DAAC,1,2017-09-28T16:42:23Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_30jan94_noaa11.tar.gz,4.92899,,Day,1994-01-30T00:00:00.000Z,1994-01-30T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761740-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_14feb94_noaa9.tar.gz,ORNL_DAAC,1,2017-09-28T16:43:24Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_14feb94_noaa9.tar.gz,2.888924,,Day,1994-02-14T00:00:00.000Z,1994-02-14T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761597-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_04mar94_noaa11.tar.gz,ORNL_DAAC,1,2017-09-28T16:42:30Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_04mar94_noaa11.tar.gz,3.863962,,Day,1994-03-04T00:00:00.000Z,1994-03-04T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761667-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_12mar94_noaa12.tar.gz,ORNL_DAAC,1,2017-09-28T16:42:57Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_12mar94_noaa12.tar.gz,3.597614,,Day,1994-03-12T00:00:00.000Z,1994-03-12T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761710-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_09apr94_noaa9.tar.gz,ORNL_DAAC,1,2017-09-28T16:43:08Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_09apr94_noaa9.tar.gz,6.133492,,Day,1994-04-09T00:00:00.000Z,1994-04-09T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761607-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_10apr94_noaa9.tar.gz,ORNL_DAAC,1,2017-09-28T16:42:33Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_10apr94_noaa9.tar.gz,6.26334,,Day,1994-04-10T00:00:00.000Z,1994-04-10T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761659-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_16apr94_noaa11.tar.gz,ORNL_DAAC,1,2017-09-28T16:42:54Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_16apr94_noaa11.tar.gz,5.584163,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761675-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_16apr94_noaa9.tar.gz,ORNL_DAAC,1,2017-09-28T16:43:00Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_16apr94_noaa9.tar.gz,6.303094,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761592-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_19apr94_noaa11.tar.gz,ORNL_DAAC,1,2017-09-28T16:42:28Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_19apr94_noaa11.tar.gz,5.944811,,Day,1994-04-19T00:00:00.000Z,1994-04-19T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761636-ORNL_DAAC,BOREAS_AVHRRL3B.avhrr_l3b_19apr94_noaa9b.tar.gz,ORNL_DAAC,1,2017-09-28T16:42:45Z,1999-12-17T00:00:00.000Z,BOREAS_AVHRRL3B_481,BOREAS_AVHRRL3B.avhrr_l3b_19apr94_noaa9b.tar.gz,5.825327,,Day,1994-04-19T00:00:00.000Z,1994-04-19T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
