cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422748511-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_94_gpp_img.gz,ORNL_DAAC,1,2017-09-28T16:32:59Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_94_gpp_img.gz,1.603391,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748516-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_94_r_img.gz,ORNL_DAAC,1,2017-09-28T16:33:02Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_94_r_img.gz,1.678264,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748524-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_94_et_img.gz,ORNL_DAAC,1,2017-09-28T16:33:04Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_94_et_img.gz,1.680453,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748525-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_94_npp_img.gz,ORNL_DAAC,1,2017-09-28T16:33:04Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_94_npp_img.gz,1.465029,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748526-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_landcover_img.gz,ORNL_DAAC,1,2017-09-28T16:33:05Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_landcover_img.gz,0.212475,,Day,1994-01-01T00:00:00.000Z,1996-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748513-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_95_npp_img.gz,ORNL_DAAC,1,2017-09-28T16:33:01Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_95_npp_img.gz,1.454252,,Day,1995-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748519-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_95_gpp_img.gz,ORNL_DAAC,1,2017-09-28T16:33:02Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_95_gpp_img.gz,1.602645,,Day,1995-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748523-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_95_et_img.gz,ORNL_DAAC,1,2017-09-28T16:33:03Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_95_et_img.gz,1.684246,,Day,1995-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748527-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_95_r_img.gz,ORNL_DAAC,1,2017-09-28T16:33:05Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_95_r_img.gz,1.669333,,Day,1995-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748512-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_96_npp_img.gz,ORNL_DAAC,1,2017-09-28T16:33:00Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_96_npp_img.gz,1.449333,,Day,1996-01-01T00:00:00.000Z,1996-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748514-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_96_gpp_img.gz,ORNL_DAAC,1,2017-09-28T16:33:01Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_96_gpp_img.gz,1.587005,,Day,1996-01-01T00:00:00.000Z,1996-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748515-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_96_r_img.gz,ORNL_DAAC,1,2017-09-28T16:33:01Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_96_r_img.gz,1.660068,,Day,1996-01-01T00:00:00.000Z,1996-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
granule,G1422748521-ORNL_DAAC,BOREAS_BIOMEBG2.bgc_96_et_img.gz,ORNL_DAAC,1,2017-09-28T16:33:03Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBG2_296,BOREAS_BIOMEBG2.bgc_96_et_img.gz,1.678255,,Day,1996-01-01T00:00:00.000Z,1996-12-31T00:00:00.000Z,49.0,60.0,-111.0,-89.0,"POLYGON ((-89 49, -89 60, -111 60, -111 49, -89 49))"
