cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1546813784-ORNL_DAAC,BOREAS_CDS.BOREAS_CD04.zip,ORNL_DAAC,1,2018-09-10T13:40:40Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD04.zip,525.581465,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1546813785-ORNL_DAAC,BOREAS_CDS.BOREAS_CD01.zip,ORNL_DAAC,1,2018-09-10T13:40:40Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD01.zip,247.918948,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1546813786-ORNL_DAAC,BOREAS_CDS.BOREAS_CD03.zip,ORNL_DAAC,1,2018-09-10T13:40:40Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD03.zip,157.058928,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1546813787-ORNL_DAAC,BOREAS_CDS.BOREAS_CD08.zip,ORNL_DAAC,1,2018-09-10T13:40:40Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD08.zip,566.936858,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1546813788-ORNL_DAAC,BOREAS_CDS.BOREAS_CD12.zip,ORNL_DAAC,1,2018-09-10T13:40:40Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD12.zip,460.496906,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1546813789-ORNL_DAAC,BOREAS_CDS.BOREAS_CD05.zip,ORNL_DAAC,1,2018-09-10T13:40:40Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD05.zip,616.03098,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1546813790-ORNL_DAAC,BOREAS_CDS.BOREAS_CD02.zip,ORNL_DAAC,1,2018-09-10T13:40:40Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD02.zip,144.263156,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1546813791-ORNL_DAAC,BOREAS_CDS.BOREAS_CD07.zip,ORNL_DAAC,1,2018-09-10T13:40:41Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD07.zip,643.47359,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1546813792-ORNL_DAAC,BOREAS_CDS.BOREAS_CD09.zip,ORNL_DAAC,1,2018-09-10T13:40:40Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD09.zip,641.974782,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1546813793-ORNL_DAAC,BOREAS_CDS.BOREAS_CD06.zip,ORNL_DAAC,1,2018-09-10T13:40:40Z,2016-11-17T00:00:00.000Z,BOREAS_CDS_1350,BOREAS_CDS.BOREAS_CD06.zip,591.734692,,Both,1993-01-01T00:00:00.000Z,1997-03-31T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
