cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1424611875-ORNL_DAAC,BOREAS_H09RRADI.94-08-11_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:33Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-08-11_txt.gz,0.019075,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
granule,G1424611885-ORNL_DAAC,BOREAS_H09RRADI.94-08-00_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:34Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-08-00_txt.gz,0.091405,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
granule,G1424611893-ORNL_DAAC,BOREAS_H09RRADI.94-06-24_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:34Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-06-24_txt.gz,0.017179,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
granule,G1424611904-ORNL_DAAC,BOREAS_H09RRADI.94-07-16_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:35Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-07-16_txt.gz,0.0095,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
granule,G1424611912-ORNL_DAAC,BOREAS_H09RRADI.94-06-00_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:35Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-06-00_txt.gz,0.1056,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
granule,G1424611921-ORNL_DAAC,BOREAS_H09RRADI.94-06-14_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:36Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-06-14_txt.gz,0.051017,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
granule,G1424611929-ORNL_DAAC,BOREAS_H09RRADI.94-06-02_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:36Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-06-02_txt.gz,0.017902,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
granule,G1424611937-ORNL_DAAC,BOREAS_H09RRADI.94-05-12_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:37Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-05-12_txt.gz,0.004747,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
granule,G1424611944-ORNL_DAAC,BOREAS_H09RRADI.94-06-22_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:37Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-06-22_txt.gz,0.028262,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
granule,G1424611950-ORNL_DAAC,BOREAS_H09RRADI.94-06-09_txt.gz,ORNL_DAAC,1,2017-10-02T17:25:37Z,1999-01-30T00:00:00.000Z,BOREAS_H09RRADI_278,BOREAS_H09RRADI.94-06-09_txt.gz,0.010096,,Day,1994-05-13T00:00:00.000Z,1994-09-23T00:00:00.000Z,53.51,54.27,-106.29,-104.31,"POLYGON ((-104.31 53.51, -104.31 54.27, -106.29 54.27, -106.29 53.51, -104.31 53.51))"
