cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422794866-ORNL_DAAC,BOREAS_RSS18OPT.940606c.ps,ORNL_DAAC,1,2017-09-28T17:23:17Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940606c.ps,0.697122,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
granule,G1422794872-ORNL_DAAC,BOREAS_RSS18OPT.940606c_ratio.dat,ORNL_DAAC,1,2017-09-28T17:23:17Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940606c_ratio.dat,0.027926,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
granule,G1422794878-ORNL_DAAC,BOREAS_RSS18OPT.940601c_taui.dat,ORNL_DAAC,1,2017-09-28T17:23:18Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940601c_taui.dat,0.036618,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
granule,G1422794887-ORNL_DAAC,BOREAS_RSS18OPT.940604c_ratio.dat,ORNL_DAAC,1,2017-09-28T17:23:18Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940604c_ratio.dat,0.033331,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
granule,G1422794896-ORNL_DAAC,BOREAS_RSS18OPT.940916c.ps,ORNL_DAAC,1,2017-09-28T17:23:19Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940916c.ps,0.80911,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
granule,G1422794902-ORNL_DAAC,BOREAS_RSS18OPT.940531c.ps,ORNL_DAAC,1,2017-09-28T17:23:19Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940531c.ps,0.411283,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
granule,G1422794909-ORNL_DAAC,BOREAS_RSS18OPT.940606b_water.dat,ORNL_DAAC,1,2017-09-28T17:23:20Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940606b_water.dat,0.030097,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
granule,G1422794919-ORNL_DAAC,BOREAS_RSS18OPT.940916c_tmie.dat,ORNL_DAAC,1,2017-09-28T17:23:20Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940916c_tmie.dat,0.046475,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
granule,G1422794926-ORNL_DAAC,BOREAS_RSS18OPT.940913c_tmie.dat,ORNL_DAAC,1,2017-09-28T17:23:21Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940913c_tmie.dat,0.049892,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
granule,G1422794933-ORNL_DAAC,BOREAS_RSS18OPT.940916c_taui.dat,ORNL_DAAC,1,2017-09-28T17:23:21Z,2000-01-27T00:00:00.000Z,BOREAS_RSS18OPT_503,BOREAS_RSS18OPT.940916c_taui.dat,0.046467,,Day,1994-05-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.0,54.0,-107.0,-104.0,"POLYGON ((-104 53, -104 54, -107 54, -107 53, -104 53))"
