cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1643345653-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.1997.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.1997.001.zip,0.07176,,Both,1997-01-01T00:00:00.000Z,1997-12-31T00:00:00.000Z,-2.5008,-2.21512,114.407,114.609,"POLYGON ((114.609 -2.5008, 114.609 -2.21512, 114.407 -2.21512, 114.407 -2.5008, 114.609 -2.5008))"
granule,G1643345651-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.1999.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.1999.001.zip,0.012351,,Both,1999-01-01T00:00:00.000Z,1999-12-31T00:00:00.000Z,-2.49455,-2.21458,114.391,114.609,"POLYGON ((114.609 -2.49455, 114.609 -2.21458, 114.391 -2.21458, 114.391 -2.49455, 114.609 -2.49455))"
granule,G1643345655-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2000.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2000.001.zip,0.017274,,Both,2000-01-01T00:00:00.000Z,2000-12-31T00:00:00.000Z,-2.49828,-2.21483,114.392,114.609,"POLYGON ((114.609 -2.49828, 114.609 -2.21483, 114.392 -2.21483, 114.392 -2.49828, 114.609 -2.49828))"
granule,G1643345663-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2001.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2001.001.zip,0.02354,,Both,2001-01-01T00:00:00.000Z,2001-12-31T00:00:00.000Z,-2.46123,-2.21458,114.397,114.602,"POLYGON ((114.602 -2.46123, 114.602 -2.21458, 114.397 -2.21458, 114.397 -2.46123, 114.602 -2.46123))"
granule,G1643345644-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2002.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2002.001.zip,0.055412,,Both,2002-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,-2.49753,-2.21483,114.396,114.609,"POLYGON ((114.609 -2.49753, 114.609 -2.21483, 114.396 -2.21483, 114.396 -2.49753, 114.609 -2.49753))"
granule,G1643345665-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2003.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2003.001.zip,0.038531,,Both,2003-01-01T00:00:00.000Z,2003-12-31T00:00:00.000Z,-2.49818,-2.21835,114.4,114.608,"POLYGON ((114.608 -2.49818, 114.608 -2.21835, 114.4 -2.21835, 114.4 -2.49818, 114.608 -2.49818))"
granule,G1643345656-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2004.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2004.001.zip,0.042761,,Both,2004-01-01T00:00:00.000Z,2004-12-31T00:00:00.000Z,-2.50241,-2.21458,114.39,114.607,"POLYGON ((114.607 -2.50241, 114.607 -2.21458, 114.39 -2.21458, 114.39 -2.50241, 114.607 -2.50241))"
granule,G1643345672-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2005.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2005.001.zip,0.039172,,Both,2005-01-01T00:00:00.000Z,2005-12-31T00:00:00.000Z,-2.50241,-2.21555,114.422,114.605,"POLYGON ((114.605 -2.50241, 114.605 -2.21555, 114.422 -2.21555, 114.422 -2.50241, 114.605 -2.50241))"
granule,G1643345654-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2006.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2006.001.zip,0.059309,,Both,2006-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-2.50216,-2.21458,114.39,114.608,"POLYGON ((114.608 -2.50216, 114.608 -2.21458, 114.39 -2.21458, 114.39 -2.50216, 114.608 -2.50216))"
granule,G1643345667-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2007.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2007.001.zip,0.01573,,Both,2007-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,-2.49861,-2.21458,114.39,114.579,"POLYGON ((114.579 -2.49861, 114.579 -2.21458, 114.39 -2.21458, 114.39 -2.49861, 114.579 -2.49861))"
granule,G1643345670-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2009.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2009.001.zip,0.069462,,Both,2009-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,-2.49561,-2.21458,114.396,114.578,"POLYGON ((114.578 -2.49561, 114.578 -2.21458, 114.396 -2.21458, 114.396 -2.49561, 114.578 -2.49561))"
granule,G1643345671-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2011.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2011.001.zip,0.013782,,Both,2011-01-01T00:00:00.000Z,2011-12-31T00:00:00.000Z,-2.49807,-2.23015,114.402,114.591,"POLYGON ((114.591 -2.49807, 114.591 -2.23015, 114.402 -2.23015, 114.402 -2.49807, 114.591 -2.49807))"
granule,G1643345673-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2012.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2012.001.zip,0.019913,,Both,2012-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-2.50193,-2.21655,114.408,114.59,"POLYGON ((114.59 -2.50193, 114.59 -2.21655, 114.408 -2.21655, 114.408 -2.50193, 114.59 -2.50193))"
granule,G1643345650-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2013.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2013.001.zip,0.02457,,Both,2013-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,-2.49672,-2.21514,114.396,114.609,"POLYGON ((114.609 -2.49672, 114.609 -2.21514, 114.396 -2.21514, 114.396 -2.49672, 114.609 -2.49672))"
granule,G1643345669-ORNL_DAAC,Annual_Burned_Area_Maps.Mawas.BA.2014.001.zip,ORNL_DAAC,1,2019-10-02T12:33:55Z,2019-09-30T00:00:00.000Z,Annual_Burned_Area_Maps_1708,Annual_Burned_Area_Maps.Mawas.BA.2014.001.zip,0.052178,,Both,2014-01-01T00:00:00.000Z,2014-12-31T00:00:00.000Z,-2.49105,-2.23139,114.408,114.6,"POLYGON ((114.6 -2.49105, 114.6 -2.23139, 114.408 -2.23139, 114.408 -2.49105, 114.6 -2.49105))"
