cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1546813931-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_029_utm_50N_0.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_029_utm_50N_0.laz,211.010786,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,1.21126,1.4318,115.482,115.538,"POLYGON ((115.538 1.21126, 115.538 1.4318, 115.482 1.4318, 115.482 1.21126, 115.538 1.21126))"
granule,G1546813932-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_015_utm_50N_2.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_015_utm_50N_2.laz,1290.787873,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-0.041308,0.119546,113.971,114.145,"POLYGON ((114.145 -0.041308, 114.145 0.119546, 113.971 0.119546, 113.971 -0.041308, 114.145 -0.041308))"
granule,G1546813933-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_005_utm_50S_5.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_005_utm_50S_5.laz,492.171962,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-0.884747,-0.810868,115.366,115.428,"POLYGON ((115.428 -0.884747, 115.428 -0.810868, 115.366 -0.810868, 115.366 -0.884747, 115.428 -0.884747))"
granule,G1546813934-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_011_utm_50S_7.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_011_utm_50S_7.laz,336.513277,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-2.32364,-2.2892,114.364,114.593,"POLYGON ((114.593 -2.32364, 114.593 -2.2892, 114.364 -2.2892, 114.364 -2.32364, 114.593 -2.32364))"
granule,G1546813935-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_004_utm_49N_0.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_004_utm_49N_0.laz,278.360906,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,0.725529,0.786888,112.051,112.16,"POLYGON ((112.16 0.725529, 112.16 0.786888, 112.051 0.786888, 112.051 0.725529, 112.16 0.725529))"
granule,G1546813936-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_005_utm_50S_9.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_005_utm_50S_9.laz,575.576788,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-0.884747,-0.810868,115.366,115.428,"POLYGON ((115.428 -0.884747, 115.428 -0.810868, 115.366 -0.810868, 115.366 -0.884747, 115.428 -0.884747))"
granule,G1546813937-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_011_utm_50S_6.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_011_utm_50S_6.laz,241.164831,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-2.32364,-2.2892,114.364,114.593,"POLYGON ((114.593 -2.32364, 114.593 -2.2892, 114.364 -2.2892, 114.364 -2.32364, 114.593 -2.32364))"
granule,G1546813938-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_093_utm_50N_1.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_093_utm_50N_1.laz,566.195782,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,1.42739,1.49125,116.418,116.47,"POLYGON ((116.47 1.42739, 116.47 1.49125, 116.418 1.49125, 116.418 1.42739, 116.47 1.42739))"
granule,G1546813939-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_070_utm_50N_1.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_070_utm_50N_1.laz,754.641981,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,1.42739,1.49125,116.418,116.47,"POLYGON ((116.47 1.42739, 116.47 1.49125, 116.418 1.49125, 116.418 1.42739, 116.47 1.42739))"
granule,G1546813940-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_005_utm_50S_6.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_005_utm_50S_6.laz,512.569183,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-0.884747,-0.810868,115.366,115.428,"POLYGON ((115.428 -0.884747, 115.428 -0.810868, 115.366 -0.810868, 115.366 -0.884747, 115.428 -0.884747))"
granule,G1546813941-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_009_utm_50S_18.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_009_utm_50S_18.laz,93.77005,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-2.2504,-2.20595,114.381,114.646,"POLYGON ((114.646 -2.2504, 114.646 -2.20595, 114.381 -2.20595, 114.381 -2.2504, 114.646 -2.2504))"
granule,G1546813942-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_202_utm_49S_3.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_202_utm_49S_3.laz,208.373252,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-2.33219,-2.22278,113.327,113.573,"POLYGON ((113.573 -2.33219, 113.573 -2.22278, 113.327 -2.22278, 113.327 -2.33219, 113.573 -2.33219))"
granule,G1546813943-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_073_utm_50N_1.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_073_utm_50N_1.laz,566.595683,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,1.79281,1.85426,116.526,116.57,"POLYGON ((116.57 1.79281, 116.57 1.85426, 116.526 1.85426, 116.526 1.79281, 116.57 1.79281))"
granule,G1546813944-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_222_utm_50S_5.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_222_utm_50S_5.laz,137.892322,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-0.960103,-0.567545,116.748,116.976,"POLYGON ((116.976 -0.960103, 116.976 -0.567545, 116.748 -0.567545, 116.748 -0.960103, 116.976 -0.960103))"
granule,G1546813945-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_112_utm_50N_2.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_112_utm_50N_2.laz,578.711038,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,1.38569,1.44086,116.403,116.473,"POLYGON ((116.473 1.38569, 116.473 1.44086, 116.403 1.44086, 116.403 1.38569, 116.473 1.38569))"
granule,G1546813946-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_006_utm_49S_7.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_006_utm_49S_7.laz,485.769326,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-1.45298,-1.39265,111.041,111.17,"POLYGON ((111.17 -1.45298, 111.17 -1.39265, 111.041 -1.39265, 111.041 -1.45298, 111.17 -1.45298))"
granule,G1546813947-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_241_utm_50N_3.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_241_utm_50N_3.laz,197.354943,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,2.16114,2.43898,117.96,117.973,"POLYGON ((117.973 2.16114, 117.973 2.43898, 117.96 2.43898, 117.96 2.16114, 117.973 2.16114))"
granule,G1546813948-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_223_utm_50N_5.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_223_utm_50N_5.laz,134.858475,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,0.413983,0.809773,116.301,116.564,"POLYGON ((116.564 0.413983, 116.564 0.809773, 116.301 0.809773, 116.301 0.413983, 116.564 0.413983))"
granule,G1546813949-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_013_utm_50S_2.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_013_utm_50S_2.laz,470.864519,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-2.16165,-2.13876,114.439,114.66,"POLYGON ((114.66 -2.16165, 114.66 -2.13876, 114.439 -2.13876, 114.439 -2.16165, 114.66 -2.16165))"
granule,G1546813950-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_143_utm_50N_4.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_143_utm_50N_4.laz,327.422325,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,2.98667,3.0367,116.468,116.541,"POLYGON ((116.541 2.98667, 116.541 3.0367, 116.468 3.0367, 116.468 2.98667, 116.541 2.98667))"
granule,G1546813951-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_121_utm_50S_3.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_121_utm_50S_3.laz,270.038234,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,-2.23199,-2.14248,114.555,114.628,"POLYGON ((114.628 -2.23199, 114.628 -2.14248, 114.555 -2.14248, 114.555 -2.23199, 114.628 -2.23199))"
granule,G1546813952-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_046_utm_50N_1.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_046_utm_50N_1.laz,553.103184,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,1.79281,1.85426,116.526,116.57,"POLYGON ((116.57 1.79281, 116.57 1.85426, 116.526 1.85426, 116.526 1.79281, 116.57 1.79281))"
granule,G1546813953-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_046_utm_50N_0.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_046_utm_50N_0.laz,201.135737,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,1.79281,1.85426,116.526,116.57,"POLYGON ((116.57 1.79281, 116.57 1.85426, 116.526 1.85426, 116.526 1.79281, 116.57 1.79281))"
granule,G1546813954-ORNL_DAAC,CMS_LiDAR_Indonesia.Polygon_135_utm_50N_0.laz,ORNL_DAAC,1,2018-09-10T13:41:24Z,2017-10-27T00:00:00.000Z,CMS_LiDAR_Indonesia_1518,CMS_LiDAR_Indonesia.Polygon_135_utm_50N_0.laz,46.763175,,Both,2014-10-18T00:00:00.000Z,2014-11-30T00:00:00.000Z,3.04929,3.21104,116.505,116.656,"POLYGON ((116.656 3.04929, 116.656 3.21104, 116.505 3.21104, 116.505 3.04929, 116.656 3.04929))"
