cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422674391-ORNL_DAAC,FIFE_AF_RAW_G.7146mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:31Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.7146mult.nrr,0.007254,,Both,1987-05-26T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674495-ORNL_DAAC,FIFE_AF_RAW_G.7150mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:37Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.7150mult.nrr,0.007224,,Both,1987-05-30T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674507-ORNL_DAAC,FIFE_AF_RAW_G.7152mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:38Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.7152mult.nrr,0.017815,,Both,1987-06-01T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674488-ORNL_DAAC,FIFE_AF_RAW_G.7155mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:37Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.7155mult.nrr,0.017649,,Both,1987-06-04T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674407-ORNL_DAAC,FIFE_AF_RAW_G.7157mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:32Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.7157mult.nrr,0.015347,,Both,1987-06-06T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674417-ORNL_DAAC,FIFE_AF_RAW_G.9207mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:32Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9207mult.nrr,0.011321,,Both,1989-07-26T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674424-ORNL_DAAC,FIFE_AF_RAW_G.9208mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:33Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9208mult.nrr,0.011143,,Both,1989-07-27T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674431-ORNL_DAAC,FIFE_AF_RAW_G.9209mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:34Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9209mult.nrr,0.008659,,Both,1989-07-28T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674400-ORNL_DAAC,FIFE_AF_RAW_G.9214mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:31Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9214mult.nrr,0.010137,,Both,1989-08-02T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674472-ORNL_DAAC,FIFE_AF_RAW_G.9216mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:36Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9216mult.nrr,0.021667,,Both,1989-08-04T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674480-ORNL_DAAC,FIFE_AF_RAW_G.9218mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:36Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9218mult.nrr,0.014057,,Both,1989-08-06T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674465-ORNL_DAAC,FIFE_AF_RAW_G.9219mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:35Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9219mult.nrr,0.009678,,Both,1989-08-07T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674442-ORNL_DAAC,FIFE_AF_RAW_G.9220mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:34Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9220mult.nrr,0.012526,,Both,1989-08-08T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674450-ORNL_DAAC,FIFE_AF_RAW_G.9223mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:34Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9223mult.nrr,0.018115,,Both,1989-08-11T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674458-ORNL_DAAC,FIFE_AF_RAW_G.9224mult.nrr,ORNL_DAAC,1,2017-09-28T15:28:35Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_G_11,FIFE_AF_RAW_G.9224mult.nrr,0.009608,,Both,1989-08-12T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
