cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422729870-ORNL_DAAC,FIFE_LEAF_H2O.81534439.lwp,ORNL_DAAC,1,2017-09-28T16:12:04Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.81534439.lwp,0.001934,,Both,1988-06-01T00:00:00.000Z,1988-06-02T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
granule,G1422729859-ORNL_DAAC,FIFE_LEAF_H2O.81543317.lwp,ORNL_DAAC,1,2017-09-28T16:11:59Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.81543317.lwp,0.000673,,Both,1988-06-02T00:00:00.000Z,1988-06-02T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
granule,G1422729864-ORNL_DAAC,FIFE_LEAF_H2O.81814439.lwp,ORNL_DAAC,1,2017-09-28T16:12:02Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.81814439.lwp,0.003382,,Both,1988-06-29T00:00:00.000Z,1988-06-29T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
granule,G1422729855-ORNL_DAAC,FIFE_LEAF_H2O.81824439.lwp,ORNL_DAAC,1,2017-09-28T16:11:57Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.81824439.lwp,0.001448,,Both,1988-06-30T00:00:00.000Z,1988-06-30T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
granule,G1422729857-ORNL_DAAC,FIFE_LEAF_H2O.81884139.lwp,ORNL_DAAC,1,2017-09-28T16:11:58Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.81884139.lwp,0.002495,,Both,1988-07-06T00:00:00.000Z,1988-07-06T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
granule,G1422729858-ORNL_DAAC,FIFE_LEAF_H2O.81964439.lwp,ORNL_DAAC,1,2017-09-28T16:11:59Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.81964439.lwp,0.003199,,Both,1988-07-14T00:00:00.000Z,1988-07-14T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
granule,G1422729867-ORNL_DAAC,FIFE_LEAF_H2O.82224439.lwp,ORNL_DAAC,1,2017-09-28T16:12:03Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.82224439.lwp,0.002417,,Both,1988-08-09T00:00:00.000Z,1988-08-09T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
granule,G1422729866-ORNL_DAAC,FIFE_LEAF_H2O.82234439.lwp,ORNL_DAAC,1,2017-09-28T16:12:02Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.82234439.lwp,0.001021,,Both,1988-08-10T00:00:00.000Z,1988-08-10T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
granule,G1422729841-ORNL_DAAC,FIFE_LEAF_H2O.82254439.lwp,ORNL_DAAC,1,2017-09-28T16:11:53Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.82254439.lwp,0.001196,,Both,1988-08-12T00:00:00.000Z,1988-08-12T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
granule,G1422729853-ORNL_DAAC,FIFE_LEAF_H2O.91652437.lwp,ORNL_DAAC,1,2017-09-28T16:11:56Z,1994-07-24T00:00:00.000Z,FIFE_LEAF_H2O_126,FIFE_LEAF_H2O.91652437.lwp,0.002251,,Both,1989-06-14T00:00:00.000Z,1989-06-14T00:00:00.000Z,39.0517,39.0928,-96.5903,-96.5408,"POLYGON ((-96.5408 39.0517, -96.5408 39.0928, -96.5903 39.0928, -96.5903 39.0517, -96.5408 39.0517))"
