cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422711663-ORNL_DAAC,FIFE_MMR_LEAF.71524439.mrl,ORNL_DAAC,1,2017-09-28T15:51:50Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.71524439.mrl,0.001173,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
granule,G1422711677-ORNL_DAAC,FIFE_MMR_LEAF.71528739.mrl,ORNL_DAAC,1,2017-09-28T15:51:53Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.71528739.mrl,0.002619,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
granule,G1422711660-ORNL_DAAC,FIFE_MMR_LEAF.71534439.mrl,ORNL_DAAC,1,2017-09-28T15:51:49Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.71534439.mrl,0.00189,,Both,1987-06-02T00:00:00.000Z,1987-06-02T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
granule,G1422711681-ORNL_DAAC,FIFE_MMR_LEAF.71541246.mrl,ORNL_DAAC,1,2017-09-28T15:51:55Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.71541246.mrl,0.00538,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
granule,G1422711687-ORNL_DAAC,FIFE_MMR_LEAF.71634439.mrl,ORNL_DAAC,1,2017-09-28T15:51:57Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.71634439.mrl,0.00543,,Both,1987-06-12T00:00:00.000Z,1987-06-12T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
granule,G1422711686-ORNL_DAAC,FIFE_MMR_LEAF.71666943.mrl,ORNL_DAAC,1,2017-09-28T15:51:57Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.71666943.mrl,0.001083,,Both,1987-06-15T00:00:00.000Z,1987-06-15T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
granule,G1422711654-ORNL_DAAC,FIFE_MMR_LEAF.81534439.mrl,ORNL_DAAC,1,2017-09-28T15:51:46Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.81534439.mrl,0.00474,,Both,1988-06-01T00:00:00.000Z,1988-06-01T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
granule,G1422711649-ORNL_DAAC,FIFE_MMR_LEAF.81543414.mrl,ORNL_DAAC,1,2017-09-28T15:51:46Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.81543414.mrl,0.003946,,Both,1988-06-02T00:00:00.000Z,1988-06-02T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
granule,G1422711655-ORNL_DAAC,FIFE_MMR_LEAF.81544439.mrl,ORNL_DAAC,1,2017-09-28T15:51:47Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.81544439.mrl,0.001936,,Both,1988-06-02T00:00:00.000Z,1988-06-02T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
granule,G1422711689-ORNL_DAAC,FIFE_MMR_LEAF.81814439.mrl,ORNL_DAAC,1,2017-09-28T15:51:58Z,1994-07-24T00:00:00.000Z,FIFE_MMR_LEAF_54,FIFE_MMR_LEAF.81814439.mrl,0.010498,,Both,1988-06-29T00:00:00.000Z,1988-06-29T00:00:00.000Z,38.9753,39.1097,-96.5975,-96.5225,"POLYGON ((-96.52249999999999 38.9753, -96.52249999999999 39.1097, -96.5975 39.1097, -96.5975 38.9753, -96.52249999999999 38.9753))"
