cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1424973965-ORNL_DAAC,FIFE_NCDC_SUR.8275xmhk.ncs,ORNL_DAAC,1,2017-10-04T17:54:40Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xmhk.ncs,0.003693,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424974400-ORNL_DAAC,FIFE_NCDC_SUR.8275xemp.ncs,ORNL_DAAC,1,2017-10-04T17:57:58Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xemp.ncs,0.003531,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424974413-ORNL_DAAC,FIFE_NCDC_SUR.8275xbie.ncs,ORNL_DAAC,1,2017-10-04T17:58:03Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xbie.ncs,0.002948,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424976407-ORNL_DAAC,FIFE_NCDC_SUR.8275xsln.ncs,ORNL_DAAC,1,2017-10-04T18:04:58Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xsln.ncs,0.004698,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424977970-ORNL_DAAC,FIFE_NCDC_SUR.8275xlnk.ncs,ORNL_DAAC,1,2017-10-04T18:07:23Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xlnk.ncs,0.004854,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424980340-ORNL_DAAC,FIFE_NCDC_SUR.8275xiab.ncs,ORNL_DAAC,1,2017-10-04T18:14:03Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xiab.ncs,0.004762,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424980366-ORNL_DAAC,FIFE_NCDC_SUR.8275xict.ncs,ORNL_DAAC,1,2017-10-04T18:14:15Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xict.ncs,0.004839,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424982408-ORNL_DAAC,FIFE_NCDC_SUR.8275xfri.ncs,ORNL_DAAC,1,2017-10-04T18:18:18Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xfri.ncs,0.004795,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424982605-ORNL_DAAC,FIFE_NCDC_SUR.8275xcnu.ncs,ORNL_DAAC,1,2017-10-04T18:18:42Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xcnu.ncs,0.003681,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424983976-ORNL_DAAC,FIFE_NCDC_SUR.8275xtop.ncs,ORNL_DAAC,1,2017-10-04T18:21:02Z,1994-07-24T00:00:00.000Z,FIFE_NCDC_SUR_122,FIFE_NCDC_SUR.8275xtop.ncs,0.004645,,Both,1988-10-01T00:00:00.000Z,1988-10-01T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
