cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1424924349-ORNL_DAAC,FIFE_NOAA_SUR.5183xsln.nos,ORNL_DAAC,1,2017-10-04T14:53:53Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xsln.nos,0.005323,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424924596-ORNL_DAAC,FIFE_NOAA_SUR.5183xbie.nos,ORNL_DAAC,1,2017-10-04T14:55:04Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xbie.nos,0.002071,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424926861-ORNL_DAAC,FIFE_NOAA_SUR.5183xmhk.nos,ORNL_DAAC,1,2017-10-04T15:06:14Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xmhk.nos,0.003822,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424929720-ORNL_DAAC,FIFE_NOAA_SUR.5183xcnk.nos,ORNL_DAAC,1,2017-10-04T15:21:14Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xcnk.nos,0.005551,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424934072-ORNL_DAAC,FIFE_NOAA_SUR.5183xemp.nos,ORNL_DAAC,1,2017-10-04T15:47:29Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xemp.nos,0.003626,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424934609-ORNL_DAAC,FIFE_NOAA_SUR.5183xict.nos,ORNL_DAAC,1,2017-10-04T15:51:13Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xict.nos,0.005546,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424934668-ORNL_DAAC,FIFE_NOAA_SUR.5183xhut.nos,ORNL_DAAC,1,2017-10-04T15:51:42Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xhut.nos,0.005147,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424934964-ORNL_DAAC,FIFE_NOAA_SUR.5183xcnu.nos,ORNL_DAAC,1,2017-10-04T15:53:56Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xcnu.nos,0.004256,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424935811-ORNL_DAAC,FIFE_NOAA_SUR.5183xfri.nos,ORNL_DAAC,1,2017-10-04T15:58:58Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xfri.nos,0.005746,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
granule,G1424936043-ORNL_DAAC,FIFE_NOAA_SUR.5183xfoe.nos,ORNL_DAAC,1,2017-10-04T16:00:32Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_SUR_58,FIFE_NOAA_SUR.5183xfoe.nos,0.005739,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.6167,40.85,-97.8667,-95.4833,"POLYGON ((-95.4833 37.6167, -95.4833 40.85, -97.86669999999999 40.85, -97.86669999999999 37.6167, -95.4833 37.6167))"
