cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422706472-ORNL_DAAC,FIFE_PECK_GAM.7154mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:47Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.7154mult.pgr,0.00653,,Day,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422706464-ORNL_DAAC,FIFE_PECK_GAM.7155mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:46Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.7155mult.pgr,0.006906,,Day,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422706450-ORNL_DAAC,FIFE_PECK_GAM.7187mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:45Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.7187mult.pgr,0.003287,,Day,1987-07-06T00:00:00.000Z,1987-07-06T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422706408-ORNL_DAAC,FIFE_PECK_GAM.7188mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:43Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.7188mult.pgr,0.005804,,Day,1987-07-07T00:00:00.000Z,1987-07-07T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422706478-ORNL_DAAC,FIFE_PECK_GAM.7189mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:47Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.7189mult.pgr,0.004486,,Day,1987-07-08T00:00:00.000Z,1987-07-08T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422706429-ORNL_DAAC,FIFE_PECK_GAM.7190mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:44Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.7190mult.pgr,0.005071,,Day,1987-07-09T00:00:00.000Z,1987-07-09T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422706401-ORNL_DAAC,FIFE_PECK_GAM.7191mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:42Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.7191mult.pgr,0.006066,,Day,1987-07-10T00:00:00.000Z,1987-07-10T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422706389-ORNL_DAAC,FIFE_PECK_GAM.9213mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:42Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.9213mult.pgr,0.003224,,Day,1989-08-01T00:00:00.000Z,1989-08-01T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422706415-ORNL_DAAC,FIFE_PECK_GAM.9214mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:43Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.9214mult.pgr,0.006479,,Day,1989-08-02T00:00:00.000Z,1989-08-02T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422706502-ORNL_DAAC,FIFE_PECK_GAM.9216mult.pgr,ORNL_DAAC,1,2017-09-28T15:46:48Z,1994-07-24T00:00:00.000Z,FIFE_PECK_GAM_37,FIFE_PECK_GAM.9216mult.pgr,0.00661,,Day,1989-08-04T00:00:00.000Z,1989-08-04T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
