cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422716291-ORNL_DAAC,FIFE_SAT_SPOT.7079fife.spt,ORNL_DAAC,1,2017-09-28T15:58:46Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7079fife.spt,0.009716,,Night,1987-03-20T00:00:00.000Z,1987-03-20T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716281-ORNL_DAAC,FIFE_SAT_SPOT.7095fife.spt,ORNL_DAAC,1,2017-09-28T15:58:41Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7095fife.spt,0.009804,,Night,1987-04-05T00:00:00.000Z,1987-04-05T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716250-ORNL_DAAC,FIFE_SAT_SPOT.7100fife.spt,ORNL_DAAC,1,2017-09-28T15:58:33Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7100fife.spt,0.00974,,Night,1987-04-10T00:00:00.000Z,1987-04-10T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716289-ORNL_DAAC,FIFE_SAT_SPOT.7121fife.spt,ORNL_DAAC,1,2017-09-28T15:58:45Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7121fife.spt,0.00975,,Night,1987-05-01T00:00:00.000Z,1987-05-01T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716296-ORNL_DAAC,FIFE_SAT_SPOT.7151fife.spt,ORNL_DAAC,1,2017-09-28T15:58:48Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7151fife.spt,0.009699,,Night,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716251-ORNL_DAAC,FIFE_SAT_SPOT.7152fife.spt,ORNL_DAAC,1,2017-09-28T15:58:33Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7152fife.spt,0.009754,,Night,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716270-ORNL_DAAC,FIFE_SAT_SPOT.7156fife.spt,ORNL_DAAC,1,2017-09-28T15:58:37Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7156fife.spt,0.009636,,Night,1987-06-05T00:00:00.000Z,1987-06-05T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716275-ORNL_DAAC,FIFE_SAT_SPOT.7157fife.spt,ORNL_DAAC,1,2017-09-28T15:58:39Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7157fife.spt,0.017047,,Night,1987-06-06T00:00:00.000Z,1987-06-06T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716282-ORNL_DAAC,FIFE_SAT_SPOT.7162fife.spt,ORNL_DAAC,1,2017-09-28T15:58:42Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7162fife.spt,0.009745,,Night,1987-06-11T00:00:00.000Z,1987-06-11T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716256-ORNL_DAAC,FIFE_SAT_SPOT.7177fife.spt,ORNL_DAAC,1,2017-09-28T15:58:36Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7177fife.spt,0.009626,,Night,1987-06-26T00:00:00.000Z,1987-06-26T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716280-ORNL_DAAC,FIFE_SAT_SPOT.7178fife.spt,ORNL_DAAC,1,2017-09-28T15:58:41Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7178fife.spt,0.017062,,Night,1987-06-27T00:00:00.000Z,1987-06-27T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716271-ORNL_DAAC,FIFE_SAT_SPOT.7199fife.spt,ORNL_DAAC,1,2017-09-28T15:58:37Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7199fife.spt,0.018829,,Night,1987-07-18T00:00:00.000Z,1987-07-18T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716246-ORNL_DAAC,FIFE_SAT_SPOT.7204fife.spt,ORNL_DAAC,1,2017-09-28T15:58:32Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7204fife.spt,0.009731,,Night,1987-07-23T00:00:00.000Z,1987-07-23T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716288-ORNL_DAAC,FIFE_SAT_SPOT.7209fife.spt,ORNL_DAAC,1,2017-09-28T15:58:44Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7209fife.spt,0.009655,,Night,1987-07-28T00:00:00.000Z,1987-07-28T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716254-ORNL_DAAC,FIFE_SAT_SPOT.7214fife.spt,ORNL_DAAC,1,2017-09-28T15:58:35Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7214fife.spt,0.009668,,Night,1987-08-02T00:00:00.000Z,1987-08-02T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716294-ORNL_DAAC,FIFE_SAT_SPOT.7219fife.spt,ORNL_DAAC,1,2017-09-28T15:58:47Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7219fife.spt,0.00967,,Night,1987-08-07T00:00:00.000Z,1987-08-07T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716298-ORNL_DAAC,FIFE_SAT_SPOT.7229fife.spt,ORNL_DAAC,1,2017-09-28T15:58:49Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7229fife.spt,0.017105,,Night,1987-08-17T00:00:00.000Z,1987-08-17T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716295-ORNL_DAAC,FIFE_SAT_SPOT.7256fife.spt,ORNL_DAAC,1,2017-09-28T15:58:47Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7256fife.spt,0.00961,,Night,1987-09-13T00:00:00.000Z,1987-09-13T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716247-ORNL_DAAC,FIFE_SAT_SPOT.7266fife.spt,ORNL_DAAC,1,2017-09-28T15:58:32Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7266fife.spt,0.00954,,Night,1987-09-23T00:00:00.000Z,1987-09-23T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716278-ORNL_DAAC,FIFE_SAT_SPOT.7267fife.spt,ORNL_DAAC,1,2017-09-28T15:58:40Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7267fife.spt,0.00964,,Night,1987-09-24T00:00:00.000Z,1987-09-24T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716249-ORNL_DAAC,FIFE_SAT_SPOT.7276fife.spt,ORNL_DAAC,1,2017-09-28T15:58:32Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7276fife.spt,0.009625,,Night,1987-10-03T00:00:00.000Z,1987-10-03T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716285-ORNL_DAAC,FIFE_SAT_SPOT.7277fife.spt,ORNL_DAAC,1,2017-09-28T15:58:43Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7277fife.spt,0.009713,,Night,1987-10-04T00:00:00.000Z,1987-10-04T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716287-ORNL_DAAC,FIFE_SAT_SPOT.7297fife.spt,ORNL_DAAC,1,2017-09-28T15:58:44Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7297fife.spt,0.007402,,Night,1987-10-24T00:00:00.000Z,1987-10-24T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716252-ORNL_DAAC,FIFE_SAT_SPOT.7303fife.spt,ORNL_DAAC,1,2017-09-28T15:58:34Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7303fife.spt,0.00972,,Night,1987-10-30T00:00:00.000Z,1987-10-30T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716274-ORNL_DAAC,FIFE_SAT_SPOT.7308fife.spt,ORNL_DAAC,1,2017-09-28T15:58:38Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7308fife.spt,0.009654,,Night,1987-11-04T00:00:00.000Z,1987-11-04T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716255-ORNL_DAAC,FIFE_SAT_SPOT.7313fife.spt,ORNL_DAAC,1,2017-09-28T15:58:35Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.7313fife.spt,0.009662,,Night,1987-11-09T00:00:00.000Z,1987-11-09T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716279-ORNL_DAAC,FIFE_SAT_SPOT.8104fife.spt,ORNL_DAAC,1,2017-09-28T15:58:40Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.8104fife.spt,0.009749,,Night,1988-04-13T00:00:00.000Z,1988-04-13T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716290-ORNL_DAAC,FIFE_SAT_SPOT.8130fife.spt,ORNL_DAAC,1,2017-09-28T15:58:45Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.8130fife.spt,0.009657,,Night,1988-05-09T00:00:00.000Z,1988-05-09T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716292-ORNL_DAAC,FIFE_SAT_SPOT.8146fife.spt,ORNL_DAAC,1,2017-09-28T15:58:46Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.8146fife.spt,0.009699,,Night,1988-05-25T00:00:00.000Z,1988-05-25T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422716272-ORNL_DAAC,FIFE_SAT_SPOT.8172fife.spt,ORNL_DAAC,1,2017-09-28T15:58:38Z,1994-07-24T00:00:00.000Z,FIFE_SAT_SPOT_79,FIFE_SAT_SPOT.8172fife.spt,0.009695,,Night,1988-06-20T00:00:00.000Z,1988-06-20T00:00:00.000Z,38.9753,39.1161,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1161, -96.6114 39.1161, -96.6114 38.9753, -96.4469 38.9753))"
