cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422724766-ORNL_DAAC,FIFE_SOIL_IMP.7144mult.sim,ORNL_DAAC,1,2017-09-28T16:06:08Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7144mult.sim,0.000542,,Both,1987-05-24T00:00:00.000Z,1987-05-24T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
granule,G1422724784-ORNL_DAAC,FIFE_SOIL_IMP.7145mult.sim,ORNL_DAAC,1,2017-09-28T16:06:13Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7145mult.sim,0.000715,,Both,1987-05-25T00:00:00.000Z,1987-05-25T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
granule,G1422724742-ORNL_DAAC,FIFE_SOIL_IMP.7146mult.sim,ORNL_DAAC,1,2017-09-28T16:05:55Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7146mult.sim,0.000888,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
granule,G1422724781-ORNL_DAAC,FIFE_SOIL_IMP.7148mult.sim,ORNL_DAAC,1,2017-09-28T16:06:11Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7148mult.sim,0.002821,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
granule,G1422724787-ORNL_DAAC,FIFE_SOIL_IMP.7149mult.sim,ORNL_DAAC,1,2017-09-28T16:06:14Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7149mult.sim,0.002953,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
granule,G1422724740-ORNL_DAAC,FIFE_SOIL_IMP.7150mult.sim,ORNL_DAAC,1,2017-09-28T16:05:54Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7150mult.sim,0.002667,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
granule,G1422724751-ORNL_DAAC,FIFE_SOIL_IMP.7151mult.sim,ORNL_DAAC,1,2017-09-28T16:06:00Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7151mult.sim,0.002346,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
granule,G1422724783-ORNL_DAAC,FIFE_SOIL_IMP.7152mult.sim,ORNL_DAAC,1,2017-09-28T16:06:12Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7152mult.sim,0.003234,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
granule,G1422724771-ORNL_DAAC,FIFE_SOIL_IMP.7154mult.sim,ORNL_DAAC,1,2017-09-28T16:06:10Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7154mult.sim,0.00345,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
granule,G1422724748-ORNL_DAAC,FIFE_SOIL_IMP.7155mult.sim,ORNL_DAAC,1,2017-09-28T16:05:58Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_IMP_108,FIFE_SOIL_IMP.7155mult.sim,0.003998,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9753,39.0928,-96.6114,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.0928, -96.6114 39.0928, -96.6114 38.9753, -96.4742 38.9753))"
