cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422726968-ORNL_DAAC,FIFE_TEMP_PRO.7146n004.tps,ORNL_DAAC,1,2017-09-28T16:09:21Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7146n004.tps,0.01527,,Both,1987-05-26T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422729636-ORNL_DAAC,FIFE_TEMP_PRO.7146n003.tps,ORNL_DAAC,1,2017-09-28T16:11:13Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7146n003.tps,0.009737,,Both,1987-05-26T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422725139-ORNL_DAAC,FIFE_TEMP_PRO.7148n008.tps,ORNL_DAAC,1,2017-09-28T16:08:43Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7148n008.tps,0.013516,,Both,1987-05-28T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422725163-ORNL_DAAC,FIFE_TEMP_PRO.7148n006.tps,ORNL_DAAC,1,2017-09-28T16:08:54Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7148n006.tps,0.010206,,Both,1987-05-28T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422726331-ORNL_DAAC,FIFE_TEMP_PRO.7148n005.tps,ORNL_DAAC,1,2017-09-28T16:09:15Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7148n005.tps,0.007527,,Both,1987-05-28T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422729602-ORNL_DAAC,FIFE_TEMP_PRO.7148n007.tps,ORNL_DAAC,1,2017-09-28T16:11:07Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7148n007.tps,0.009615,,Both,1987-05-28T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422725143-ORNL_DAAC,FIFE_TEMP_PRO.7149n014.tps,ORNL_DAAC,1,2017-09-28T16:08:45Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7149n014.tps,0.011459,,Both,1987-05-29T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422725152-ORNL_DAAC,FIFE_TEMP_PRO.7149n009.tps,ORNL_DAAC,1,2017-09-28T16:08:49Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7149n009.tps,0.010726,,Both,1987-05-29T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422729437-ORNL_DAAC,FIFE_TEMP_PRO.7149n011.tps,ORNL_DAAC,1,2017-09-28T16:10:39Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7149n011.tps,0.012823,,Both,1987-05-29T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422729607-ORNL_DAAC,FIFE_TEMP_PRO.7149n012.tps,ORNL_DAAC,1,2017-09-28T16:11:08Z,1994-07-24T00:00:00.000Z,FIFE_TEMP_PRO_124,FIFE_TEMP_PRO.7149n012.tps,0.013281,,Both,1987-05-29T00:00:00.000Z,1989-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
