cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422730125-ORNL_DAAC,FIFE_VEG_SPEC.4128knuf.vsd,ORNL_DAAC,1,2017-09-28T16:13:26Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4128knuf.vsd,0.002159,,Day,1984-05-07T00:00:00.000Z,1984-05-07T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422732755-ORNL_DAAC,FIFE_VEG_SPEC.4128knut.vsd,ORNL_DAAC,1,2017-09-28T16:14:49Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4128knut.vsd,0.002062,,Day,1984-05-07T00:00:00.000Z,1984-05-07T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422730136-ORNL_DAAC,FIFE_VEG_SPEC.4129k1bf.vsd,ORNL_DAAC,1,2017-09-28T16:13:31Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4129k1bf.vsd,0.001868,,Day,1984-05-08T00:00:00.000Z,1984-05-08T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422730200-ORNL_DAAC,FIFE_VEG_SPEC.4129k4dt.vsd,ORNL_DAAC,1,2017-09-28T16:13:54Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4129k4dt.vsd,0.001869,,Day,1984-05-08T00:00:00.000Z,1984-05-08T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422731911-ORNL_DAAC,FIFE_VEG_SPEC.4129k4df.vsd,ORNL_DAAC,1,2017-09-28T16:14:14Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4129k4df.vsd,0.001618,,Day,1984-05-08T00:00:00.000Z,1984-05-08T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422732654-ORNL_DAAC,FIFE_VEG_SPEC.4129k1bt.vsd,ORNL_DAAC,1,2017-09-28T16:14:22Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4129k1bt.vsd,0.001911,,Day,1984-05-08T00:00:00.000Z,1984-05-08T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422730019-ORNL_DAAC,FIFE_VEG_SPEC.4130kubt.vsd,ORNL_DAAC,1,2017-09-28T16:13:01Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4130kubt.vsd,0.001185,,Day,1984-05-09T00:00:00.000Z,1984-05-09T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422730049-ORNL_DAAC,FIFE_VEG_SPEC.4130kubf.vsd,ORNL_DAAC,1,2017-09-28T16:13:12Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4130kubf.vsd,0.001426,,Day,1984-05-09T00:00:00.000Z,1984-05-09T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422730154-ORNL_DAAC,FIFE_VEG_SPEC.4130k4bf.vsd,ORNL_DAAC,1,2017-09-28T16:13:39Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4130k4bf.vsd,0.002063,,Day,1984-05-09T00:00:00.000Z,1984-05-09T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422730178-ORNL_DAAC,FIFE_VEG_SPEC.4130k4bt.vsd,ORNL_DAAC,1,2017-09-28T16:13:45Z,1994-07-24T00:00:00.000Z,FIFE_VEG_SPEC_136,FIFE_VEG_SPEC.4130k4bt.vsd,0.001718,,Day,1984-05-09T00:00:00.000Z,1984-05-09T00:00:00.000Z,38.9753,39.1158,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1158, -96.6114 39.1158, -96.6114 38.9753, -96.4469 38.9753))"
