cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1434515969-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328664,LPDAAC_ECS,3,2018-06-19T17:30:59Z,2017-10-30T13:48:26.635Z,,SC:GFSAD30AUNZCNMOCE.001:2281328664,11.4128,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434515970-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328745,LPDAAC_ECS,3,2018-06-19T17:30:54Z,2017-10-30T13:48:33.229Z,,SC:GFSAD30AUNZCNMOCE.001:2281328745,11.3979,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434515971-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328648,LPDAAC_ECS,3,2018-06-19T17:30:56Z,2017-10-30T13:48:26.607Z,,SC:GFSAD30AUNZCNMOCE.001:2281328648,20.8989,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434515972-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328642,LPDAAC_ECS,3,2018-06-19T17:30:56Z,2017-10-30T13:48:30.821Z,,SC:GFSAD30AUNZCNMOCE.001:2281328642,17.3151,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434515973-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328669,LPDAAC_ECS,3,2018-06-19T17:30:58Z,2017-10-30T13:48:27.255Z,,SC:GFSAD30AUNZCNMOCE.001:2281328669,20.8845,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434515977-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328743,LPDAAC_ECS,3,2018-06-19T17:30:59Z,2017-10-30T13:48:33.140Z,,SC:GFSAD30AUNZCNMOCE.001:2281328743,11.4128,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434515983-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328658,LPDAAC_ECS,3,2018-06-19T17:31:00Z,2017-10-30T13:48:26.798Z,,SC:GFSAD30AUNZCNMOCE.001:2281328658,20.4854,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434515992-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328651,LPDAAC_ECS,3,2018-06-19T17:30:53Z,2017-10-30T13:48:26.132Z,,SC:GFSAD30AUNZCNMOCE.001:2281328651,12.7842,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434515993-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328636,LPDAAC_ECS,3,2018-06-19T17:31:00Z,2017-10-30T13:48:27.253Z,,SC:GFSAD30AUNZCNMOCE.001:2281328636,13.544,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516004-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328654,LPDAAC_ECS,3,2018-06-19T17:30:55Z,2017-10-30T13:48:25.896Z,,SC:GFSAD30AUNZCNMOCE.001:2281328654,13.132,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516009-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328649,LPDAAC_ECS,3,2018-06-19T17:31:01Z,2017-10-30T13:48:25.535Z,,SC:GFSAD30AUNZCNMOCE.001:2281328649,14.2068,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516013-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328716,LPDAAC_ECS,3,2018-06-19T17:31:02Z,2017-10-30T13:48:29.387Z,,SC:GFSAD30AUNZCNMOCE.001:2281328716,45.2235,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516017-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328732,LPDAAC_ECS,3,2018-06-19T17:30:54Z,2017-10-30T13:48:32.307Z,,SC:GFSAD30AUNZCNMOCE.001:2281328732,5.16289,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516018-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328704,LPDAAC_ECS,3,2018-06-19T17:30:56Z,2017-10-30T13:48:29.098Z,,SC:GFSAD30AUNZCNMOCE.001:2281328704,15.3065,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516019-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328640,LPDAAC_ECS,3,2018-06-19T17:30:58Z,2017-10-30T13:48:27.171Z,,SC:GFSAD30AUNZCNMOCE.001:2281328640,13.202,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516025-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328739,LPDAAC_ECS,3,2018-06-19T17:30:55Z,2017-10-30T13:48:33.028Z,,SC:GFSAD30AUNZCNMOCE.001:2281328739,11.3979,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516026-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328765,LPDAAC_ECS,3,2018-06-19T17:30:52Z,2017-10-30T13:48:34.215Z,,SC:GFSAD30AUNZCNMOCE.001:2281328765,11.3979,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516031-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328647,LPDAAC_ECS,3,2018-06-19T17:30:57Z,2017-10-30T13:48:26.163Z,,SC:GFSAD30AUNZCNMOCE.001:2281328647,12.4931,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516033-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328653,LPDAAC_ECS,3,2018-06-19T17:30:56Z,2017-10-30T13:48:26.439Z,,SC:GFSAD30AUNZCNMOCE.001:2281328653,20.3448,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516034-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328655,LPDAAC_ECS,3,2018-06-19T17:30:58Z,2017-10-30T13:48:25.480Z,,SC:GFSAD30AUNZCNMOCE.001:2281328655,13.1487,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516038-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328756,LPDAAC_ECS,3,2018-06-19T17:30:57Z,2017-10-30T13:48:33.522Z,,SC:GFSAD30AUNZCNMOCE.001:2281328756,16.0805,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516043-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328683,LPDAAC_ECS,3,2018-06-19T17:30:53Z,2017-10-30T13:48:27.434Z,,SC:GFSAD30AUNZCNMOCE.001:2281328683,11.4077,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516050-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328634,LPDAAC_ECS,3,2018-06-19T17:31:02Z,2017-10-30T13:48:28.015Z,,SC:GFSAD30AUNZCNMOCE.001:2281328634,15.5201,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516056-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328736,LPDAAC_ECS,3,2018-06-19T17:30:56Z,2017-10-30T13:48:32.496Z,,SC:GFSAD30AUNZCNMOCE.001:2281328736,11.3979,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516057-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328662,LPDAAC_ECS,3,2018-06-19T17:31:01Z,2017-10-30T13:48:26.659Z,,SC:GFSAD30AUNZCNMOCE.001:2281328662,15.7721,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1434516071-LPDAAC_ECS,SC:GFSAD30AUNZCNMOCE.001:2281328744,LPDAAC_ECS,3,2018-06-19T17:31:01Z,2017-10-30T13:48:33.261Z,,SC:GFSAD30AUNZCNMOCE.001:2281328744,11.4585,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
