cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266122175-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.07.01.he5,GES_DISC,2,2018-03-08T20:56:37Z,2013-05-15T23:34:51.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.07.01.he5,15.8611602783203,,Unspecified,1987-07-01T00:00:00.000Z,1987-07-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266122148-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.08.01.he5,GES_DISC,2,2018-03-08T20:56:38Z,2013-05-15T17:05:04.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.08.01.he5,15.8611602783203,,Unspecified,1987-08-01T00:00:00.000Z,1987-08-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266122183-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.09.01.he5,GES_DISC,2,2018-03-08T20:56:40Z,2013-05-16T01:21:34.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.09.01.he5,15.8611602783203,,Unspecified,1987-09-01T00:00:00.000Z,1987-09-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266122186-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.10.01.he5,GES_DISC,2,2018-03-08T20:56:41Z,2013-05-15T21:16:41.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.10.01.he5,15.8611602783203,,Unspecified,1987-10-01T00:00:00.000Z,1987-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266122201-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.11.01.he5,GES_DISC,2,2018-03-08T20:56:42Z,2013-05-15T18:17:49.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.11.01.he5,15.8611602783203,,Unspecified,1987-11-01T00:00:00.000Z,1987-11-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266122150-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.12.01.he5,GES_DISC,2,2018-03-08T20:56:39Z,2013-05-16T00:19:09.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1987.12.01.he5,15.8611602783203,,Unspecified,1987-12-01T00:00:00.000Z,1987-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266122230-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1988.01.01.he5,GES_DISC,2,2018-03-08T20:56:46Z,2013-05-15T18:11:18.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1988.01.01.he5,15.8611602783203,,Unspecified,1988-01-01T00:00:00.000Z,1988-01-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266122154-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1988.02.01.he5,GES_DISC,2,2018-03-08T20:56:44Z,2013-05-15T16:48:38.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1988.02.01.he5,15.8611602783203,,Unspecified,1988-02-01T00:00:00.000Z,1988-02-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266122221-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1988.03.01.he5,GES_DISC,2,2018-03-08T20:56:43Z,2013-05-15T18:52:52.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1988.03.01.he5,15.8611602783203,,Unspecified,1988-03-01T00:00:00.000Z,1988-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266122194-GES_DISC,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1988.04.01.he5,GES_DISC,2,2018-03-08T20:56:42Z,2013-05-15T17:39:15.000Z,GSSTFM_NCEP,GSSTFM_NCEP.3:GSSTFM_NCEP.3.1988.04.01.he5,15.8611602783203,,Unspecified,1988-04-01T00:00:00.000Z,1988-04-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
