cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1259233620-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1991.nc4,GES_DISC,2,2016-05-25T06:26:16Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1991.nc4,0.0858354568481445,,Unspecified,1991-10-01T00:00:00.000Z,1991-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233641-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1992.nc4,GES_DISC,2,2016-05-25T06:26:17Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1992.nc4,0.110691070556641,,Unspecified,1992-01-01T00:00:00.000Z,1992-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233646-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1993.nc4,GES_DISC,2,2016-05-25T06:26:17Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1993.nc4,0.120183944702148,,Unspecified,1993-01-01T00:00:00.000Z,1993-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233649-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1994.nc4,GES_DISC,2,2016-05-25T06:26:17Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1994.nc4,0.118929862976074,,Unspecified,1994-01-01T00:00:00.000Z,1994-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233631-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1995.nc4,GES_DISC,2,2016-05-25T06:26:18Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1995.nc4,0.117471694946289,,Unspecified,1995-01-01T00:00:00.000Z,1995-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233636-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1996.nc4,GES_DISC,2,2016-05-25T06:26:18Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1996.nc4,0.11476993560791,,Unspecified,1996-01-01T00:00:00.000Z,1996-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233658-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1997.nc4,GES_DISC,2,2016-05-25T06:26:18Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1997.nc4,0.11335277557373,,Unspecified,1997-01-01T00:00:00.000Z,1997-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233665-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1998.nc4,GES_DISC,2,2016-05-25T06:26:18Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1998.nc4,0.113112449645996,,Unspecified,1998-01-01T00:00:00.000Z,1998-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233668-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1999.nc4,GES_DISC,2,2016-05-25T06:26:18Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_1999.nc4,0.113739013671875,,Unspecified,1999-01-01T00:00:00.000Z,1999-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233687-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2000.nc4,GES_DISC,3,2018-03-10T07:24:02Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2000.nc4,0.112780570983887,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233673-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2001.nc4,GES_DISC,3,2018-03-10T07:24:04Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2001.nc4,0.111590385437012,,Unspecified,2001-01-01T00:00:00.000Z,2001-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233711-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2002.nc4,GES_DISC,3,2018-03-10T07:24:03Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2002.nc4,0.11079216003418,,Unspecified,2002-01-01T00:00:00.000Z,2002-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233677-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2003.nc4,GES_DISC,3,2018-03-10T07:24:04Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2003.nc4,0.108097076416016,,Unspecified,2003-01-01T00:00:00.000Z,2003-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233718-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2004.nc4,GES_DISC,3,2018-03-10T07:24:03Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2004.nc4,0.122939109802246,,Unspecified,2004-01-01T00:00:00.000Z,2004-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233728-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2005.nc4,GES_DISC,3,2018-03-10T07:24:03Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2005.nc4,0.13188362121582,,Unspecified,2005-01-01T00:00:00.000Z,2005-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259233742-GES_DISC,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2006.nc4,GES_DISC,3,2018-03-10T07:24:05Z,2016-05-19T02:32:37.000Z,GozMmlpHCl,GozMmlpHCl.1:GOZ-Merged-MLP_HCl_ev1-01_2006.nc4,0.121709823608398,,Unspecified,2006-01-01T00:00:00.000Z,2006-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
