cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266200875-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0205_v01-00-2012m0807t121648.h5,GES_DISC,2,2018-03-21T12:12:46Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0205_v01-00-2012m0807t121648.h5,3.289984703063965,,Day,1995-02-05T00:31:15.000Z,1995-02-06T01:04:51.000Z,-81.0986,71.7252,-180.0,180.0,"POLYGON ((180 -81.0986, 180 71.7252, -180 71.7252, -180 -81.0986, 180 -81.0986))"
granule,G1266211300-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0206_v01-00-2012m0807t132046.h5,GES_DISC,2,2018-03-21T12:12:31Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0206_v01-00-2012m0807t132046.h5,2.784666061401367,,Day,1995-02-06T02:50:59.000Z,1995-02-06T23:04:19.000Z,-81.0965,72.2269,-180.0,180.0,"POLYGON ((180 -81.09650000000001, 180 72.2269, -180 72.2269, -180 -81.09650000000001, 180 -81.09650000000001))"
granule,G1266211095-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0207_v01-00-2012m0807t132042.h5,GES_DISC,2,2018-03-21T12:12:23Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0207_v01-00-2012m0807t132042.h5,3.363390922546387,,Day,1995-02-07T00:51:31.000Z,1995-02-08T00:47:15.000Z,-81.0965,72.3243,-180.0,180.0,"POLYGON ((180 -81.09650000000001, 180 72.32429999999999, -180 72.32429999999999, -180 -81.09650000000001, 180 -81.09650000000001))"
granule,G1266200800-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0208_v01-00-2012m0807t132046.h5,GES_DISC,2,2018-03-21T12:16:53Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0208_v01-00-2012m0807t132046.h5,3.217936515808105,,Day,1995-02-08T01:40:35.000Z,1995-02-09T00:36:35.000Z,-81.1001,72.8748,-180.0,180.0,"POLYGON ((180 -81.1001, 180 72.87479999999999, -180 72.87479999999999, -180 -81.1001, 180 -81.1001))"
granule,G1266200719-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0209_v01-00-2012m0807t132047.h5,GES_DISC,2,2018-03-21T12:16:52Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0209_v01-00-2012m0807t132047.h5,3.59329891204834,,Day,1995-02-09T01:30:27.000Z,1995-02-10T00:21:07.000Z,-81.0969,72.9724,-180.0,180.0,"POLYGON ((180 -81.09690000000001, 180 72.97239999999999, -180 72.97239999999999, -180 -81.09690000000001, 180 -81.09690000000001))"
granule,G1266200834-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0210_v01-00-2012m0807t132045.h5,GES_DISC,2,2018-03-21T12:16:56Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0210_v01-00-2012m0807t132045.h5,3.350885391235352,,Day,1995-02-10T01:19:47.000Z,1995-02-11T00:12:03.000Z,-81.096,73.4452,-180.0,180.0,"POLYGON ((180 -81.096, 180 73.4452, -180 73.4452, -180 -81.096, 180 -81.096))"
granule,G1266201138-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0211_v01-00-2012m0807t132045.h5,GES_DISC,2,2018-03-21T12:13:07Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0211_v01-00-2012m0807t132045.h5,3.150700569152832,,Day,1995-02-11T01:08:03.000Z,1995-02-12T00:03:31.000Z,-81.0965,73.5027,-180.0,180.0,"POLYGON ((180 -81.09650000000001, 180 73.5027, -180 73.5027, -180 -81.09650000000001, 180 -81.09650000000001))"
granule,G1266200817-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0212_v01-00-2012m0807t132046.h5,GES_DISC,2,2018-03-21T12:16:54Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0212_v01-00-2012m0807t132046.h5,3.495966911315918,,Day,1995-02-12T00:57:55.000Z,1995-02-12T23:53:23.000Z,-81.0969,74.0216,-180.0,180.0,"POLYGON ((180 -81.09690000000001, 180 74.02160000000001, -180 74.02160000000001, -180 -81.09690000000001, 180 -81.09690000000001))"
granule,G1266216720-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0213_v01-00-2012m0807t132045.h5,GES_DISC,2,2018-03-21T12:17:01Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0213_v01-00-2012m0807t132045.h5,3.653639793395996,,Day,1995-02-13T00:47:47.000Z,1995-02-13T23:42:11.000Z,-81.0965,74.1651,-180.0,180.0,"POLYGON ((180 -81.09650000000001, 180 74.1651, -180 74.1651, -180 -81.09650000000001, 180 -81.09650000000001))"
granule,G1266200595-GES_DISC,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0214_v01-00-2012m0807t132045.h5,GES_DISC,2,2018-03-21T12:16:43Z,2013-07-02T19:17:22.000Z,SBUV2N14L2,SBUV2N14L2.1:SBUV2-NOAA14_L2-SBUV2N14L2_1995m0214_v01-00-2012m0807t132045.h5,2.043766975402832,,Day,1995-02-14T00:36:35.000Z,1995-02-14T23:30:59.000Z,-81.0986,74.317,-180.0,180.0,"POLYGON ((180 -81.0986, 180 74.31699999999999, -180 74.31699999999999, -180 -81.0986, 180 -81.0986))"
