cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422976761-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2003_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:01Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2003_sd.tif,0.689616,,Both,2003-01-01T00:00:00.000Z,2003-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976770-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2003.tif,ORNL_DAAC,1,2017-09-28T19:32:04Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2003.tif,0.691468,,Both,2003-01-01T00:00:00.000Z,2003-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976789-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2003.tif,ORNL_DAAC,1,2017-09-28T19:32:13Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2003.tif,0.992279,,Both,2003-01-01T00:00:00.000Z,2003-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976790-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2003_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:14Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2003_sd.tif,0.934701,,Both,2003-01-01T00:00:00.000Z,2003-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976771-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2004_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:05Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2004_sd.tif,0.663853,,Both,2004-01-01T00:00:00.000Z,2004-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976773-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2004_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:06Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2004_sd.tif,0.956654,,Both,2004-01-01T00:00:00.000Z,2004-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976788-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2004.tif,ORNL_DAAC,1,2017-09-28T19:32:13Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2004.tif,0.664342,,Both,2004-01-01T00:00:00.000Z,2004-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976805-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2004.tif,ORNL_DAAC,1,2017-09-28T19:32:18Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2004.tif,1.015305,,Both,2004-01-01T00:00:00.000Z,2004-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976763-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2005.tif,ORNL_DAAC,1,2017-09-28T19:32:02Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2005.tif,0.966279,,Both,2005-01-01T00:00:00.000Z,2005-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976765-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2005.tif,ORNL_DAAC,1,2017-09-28T19:32:03Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2005.tif,0.669481,,Both,2005-01-01T00:00:00.000Z,2005-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976774-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2005_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:06Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2005_sd.tif,0.668472,,Both,2005-01-01T00:00:00.000Z,2005-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976794-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2005_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:14Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2005_sd.tif,0.913013,,Both,2005-01-01T00:00:00.000Z,2005-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976775-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2006_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:07Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2006_sd.tif,0.874176,,Both,2006-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976785-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2006.tif,ORNL_DAAC,1,2017-09-28T19:32:11Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2006.tif,0.918898,,Both,2006-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976796-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2006.tif,ORNL_DAAC,1,2017-09-28T19:32:15Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2006.tif,0.681428,,Both,2006-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976802-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2006_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:18Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2006_sd.tif,0.679587,,Both,2006-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976776-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2007_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:07Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2007_sd.tif,0.875212,,Both,2007-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976779-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2007_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:08Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2007_sd.tif,0.695009,,Both,2007-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976797-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2007.tif,ORNL_DAAC,1,2017-09-28T19:32:15Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2007.tif,0.918661,,Both,2007-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976798-ORNL_DAAC,Tree_Mortality_Western_US.fire_tree_mortality_2007.tif,ORNL_DAAC,1,2017-09-28T19:32:16Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.fire_tree_mortality_2007.tif,0.698159,,Both,2007-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
granule,G1422976777-ORNL_DAAC,Tree_Mortality_Western_US.beetle_tree_mortality_2008_sd.tif,ORNL_DAAC,1,2017-09-28T19:32:08Z,2017-06-20T00:00:00.000Z,Tree_Mortality_Western_US_1512,Tree_Mortality_Western_US.beetle_tree_mortality_2008_sd.tif,0.923137,,Both,2008-01-01T00:00:00.000Z,2008-12-31T00:00:00.000Z,28.4744,52.0847,-130.441,-100.542,"POLYGON ((-100.542 28.4744, -100.542 52.0847, -130.441 52.0847, -130.441 28.4744, -100.542 28.4744))"
