cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_title,coll_version,coll_doi,coll_abstract,coll_shortname,coll_status,coll_proclvl,coll_proclvl_desc,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
collection,C179002748-ORNL_DAAC,Aspen Forest Cover by Stratum/Plot (SNF),ORNL_DAAC,31,2019-04-15T17:44:30Z,,Aspen Forest Cover by Stratum/Plot (SNF),1,10.3334/ORNLDAAC/140,"Average percent coverage and standard deviation of each canopy stratum from subplots at each aspen site during the SNF study in the Superior National Forest, Minnesota",SNF_ASP_CVR_140,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
collection,C179003613-ORNL_DAAC,Biomass of Sacrificed Spruce/Aspen (SNF),ORNL_DAAC,31,2019-04-15T17:44:31Z,,Biomass of Sacrificed Spruce/Aspen (SNF),1,10.3334/ORNLDAAC/141,"Dimension analysis (diameter at breast high, tree height, depth of crown), estimated leaf area, and total aboveground biomass for sacrificed spruce and aspens in Superior National Forest, MN",SNF_BIOMASS_141,COMPLETE,2,Derived geophysical variables at the same resolution as L1 source data,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
collection,C179003547-ORNL_DAAC,Forest Biophysical Parameters (SNF),ORNL_DAAC,32,2019-04-15T17:44:32Z,,Forest Biophysical Parameters (SNF),1,10.3334/ORNLDAAC/142,"Biophysical parameters (DBH, NPP, biomass, bark area index, LAI, subcanopy LAI) by study site for Aspen and Spruce in the Superior National Forest, MN (SNF)",SNF_BIOPHYS_142,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
collection,C179003444-ORNL_DAAC,Forest Canopy Composition (SNF),ORNL_DAAC,31,2019-04-15T17:44:32Z,,Forest Canopy Composition (SNF),1,10.3334/ORNLDAAC/143,"SNF study site count of the number of trees over 2 meters, broken down by species code; see also SNF Plant Species Codes",SNF_CAN_COMP_143,COMPLETE,2,Derived geophysical variables at the same resolution as L1 source data,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
collection,C179003422-ORNL_DAAC,Helicopter MMR Reflectance Data (SNF),ORNL_DAAC,31,2019-04-15T17:44:33Z,,Helicopter MMR Reflectance Data (SNF),1,10.3334/ORNLDAAC/144,"Canopy spectral reflectance data collected from the helicopter-mounted MMR in the Superior National Forest, Minnesota, 1983-84",SNF_HELO_MMR_144,COMPLETE,2,Derived geophysical variables at the same resolution as L1 source data,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
collection,C179003705-ORNL_DAAC,NWS Daily Climatology Data: 1972 (SNF),ORNL_DAAC,30,2019-04-15T17:44:34Z,,NWS Daily Climatology Data: 1972 (SNF),1,10.3334/ORNLDAAC/158,"Daily min, max, average temperature (F), precipitation (water equivalent in inches), and daily insolation (Langleys) for the Superior National Forest area as collected by NWS and U. of Minnesota",SNF_MET_1972_158,COMPLETE,2,Derived geophysical variables at the same resolution as L1 source data,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
collection,C179003516-ORNL_DAAC,NWS Daily Climatology Data: 1972-1990,ORNL_DAAC,30,2019-04-15T17:44:35Z,,NWS Daily Climatology Data: 1972-1990,1,10.3334/ORNLDAAC/159,"Daily min, max, average temperature (F), precipitation (water equivalent in inches), and daily insolation (Langleys) for the Superior National Forest area as collected by NWS and U. of Minnesota",SNF_MET_1972_1990_159,COMPLETE,2,Derived geophysical variables at the same resolution as L1 source data,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
collection,C179003361-ORNL_DAAC,NWS Daily Climatology Data: 1973 (SNF),ORNL_DAAC,30,2019-04-15T17:44:36Z,,NWS Daily Climatology Data: 1973 (SNF),1,10.3334/ORNLDAAC/160,"Daily min, max, average temperature (F), precipitation (water equivalent in inches), and daily insolation (Langleys) for the Superior National Forest area as collected by NWS and U. of Minnesota",SNF_MET_1973_160,COMPLETE,2,Derived geophysical variables at the same resolution as L1 source data,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
collection,C179002932-ORNL_DAAC,NWS Daily Climatology Data: 1974 (SNF),ORNL_DAAC,30,2019-04-15T17:44:37Z,,NWS Daily Climatology Data: 1974 (SNF),1,10.3334/ORNLDAAC/161,"Daily min, max, average temperature (F), precipitation (water equivalent in inches), and daily insolation (Langleys) for the Superior National Forest area as collected by NWS and U. of Minnesota",SNF_MET_1974_161,COMPLETE,2,Derived geophysical variables at the same resolution as L1 source data,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
collection,C179003469-ORNL_DAAC,NWS Daily Climatology Data: 1975 (SNF),ORNL_DAAC,30,2019-04-15T17:44:38Z,,NWS Daily Climatology Data: 1975 (SNF),1,10.3334/ORNLDAAC/162,"Daily min, max, average temperature (F), precipitation (water equivalent in inches), and daily insolation (Langleys) for the Superior National Forest area as collected by NWS and U. of Minnesota",SNF_MET_1975_162,COMPLETE,2,Derived geophysical variables at the same resolution as L1 source data,,,47.66,48.17,-92.51,-91.77,"POLYGON ((-91.77 47.66, -91.77 48.17, -92.51000000000001 48.17, -92.51000000000001 47.66, -91.77 47.66))"
