cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1581605766-ORNL_DAAC,Arctic_Vegetation_Maps.geobotanical_2003_layers.zip,ORNL_DAAC,1,2019-01-02T18:19:44Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.geobotanical_2003_layers.zip,13.356424,,Both,1982-06-01T00:00:00.000Z,2003-12-31T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
granule,G1581605767-ORNL_DAAC,Arctic_Vegetation_Maps.aga_circumpolar_landscape_age_2009.zip,ORNL_DAAC,1,2019-01-02T18:19:44Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.aga_circumpolar_landscape_age_2009.zip,5.33533,,Both,1982-06-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
granule,G1581605768-ORNL_DAAC,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_ndvi_1995.tif,ORNL_DAAC,1,2019-01-02T18:19:44Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_ndvi_1995.tif,28.714746,,Both,1982-06-01T00:00:00.000Z,2010-09-30T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
granule,G1581605769-ORNL_DAAC,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_swi_1982-2003.tif,ORNL_DAAC,1,2019-01-02T18:19:44Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_swi_1982-2003.tif,2.313145,,Both,1982-06-01T00:00:00.000Z,2003-09-30T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
granule,G1581605770-ORNL_DAAC,Arctic_Vegetation_Maps.aga_circumpolar_coastline_treeline_2003.zip,ORNL_DAAC,1,2019-01-02T18:19:44Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.aga_circumpolar_coastline_treeline_2003.zip,2.481553,,Both,1982-06-01T00:00:00.000Z,2003-12-31T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
granule,G1581605772-ORNL_DAAC,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_ndvi_trend_1982-2010.tif,ORNL_DAAC,1,2019-01-02T18:19:44Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_ndvi_trend_1982-2010.tif,0.335815,,Both,1982-06-01T00:00:00.000Z,2010-09-30T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
granule,G1581605774-ORNL_DAAC,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_biomass_trend_1982-2010.tif,ORNL_DAAC,1,2019-01-02T18:19:44Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_biomass_trend_1982-2010.tif,0.109791,,Both,1982-06-01T00:00:00.000Z,2010-09-30T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
granule,G1581605776-ORNL_DAAC,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_biomass_2010.tif,ORNL_DAAC,1,2019-01-02T18:19:45Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.aga_circumpolar_avhrr_biomass_2010.tif,0.181169,,Both,1982-06-01T00:00:00.000Z,2010-09-30T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
granule,G1581605777-ORNL_DAAC,Arctic_Vegetation_Maps.aga_circumpolar_elevation.tif,ORNL_DAAC,1,2019-01-02T18:19:45Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.aga_circumpolar_elevation.tif,90.067613,,Both,1982-06-01T00:00:00.000Z,2010-09-30T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
granule,G1581605778-ORNL_DAAC,Arctic_Vegetation_Maps.aga_circumpolar_geobotanical_2003.zip,ORNL_DAAC,1,2019-01-02T18:19:45Z,2018-12-31T00:00:00.000Z,Arctic_Vegetation_Maps_1323,Arctic_Vegetation_Maps.aga_circumpolar_geobotanical_2003.zip,7.301913,,Both,1982-06-01T00:00:00.000Z,2003-12-31T00:00:00.000Z,55.8,90.0,-180.0,180.0,"POLYGON ((180 55.8, 180 90, -180 90, -180 55.8, 180 55.8))"
