cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1516691294-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2000.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2000.tif,9.04921,,Both,2000-04-01T00:00:00.000Z,2000-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691287-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2001.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2001.tif,8.233084,,Both,2001-04-01T00:00:00.000Z,2001-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691297-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2002.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2002.tif,7.736813,,Both,2002-04-01T00:00:00.000Z,2002-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691291-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2003.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2003.tif,9.140664,,Both,2003-04-01T00:00:00.000Z,2003-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691300-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2004.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2004.tif,8.940068,,Both,2004-04-01T00:00:00.000Z,2004-06-30T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691288-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2005.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2005.tif,9.079845,,Both,2005-04-01T00:00:00.000Z,2005-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691296-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2006.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2006.tif,8.98234,,Both,2006-04-01T00:00:00.000Z,2006-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691293-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2007.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2007.tif,9.194177,,Both,2007-04-01T00:00:00.000Z,2007-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691302-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2008.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2008.tif,8.86641,,Both,2008-04-01T00:00:00.000Z,2008-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691289-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2009.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2009.tif,9.704699,,Both,2009-04-02T00:00:00.000Z,2009-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
granule,G1516691303-ORNL_DAAC,Last_Day_Spring_Snow.LastDay_SpringSnow_2010.tif,ORNL_DAAC,1,2018-05-01T13:04:31Z,2017-11-10T00:00:00.000Z,Last_Day_Spring_Snow_1528,Last_Day_Spring_Snow.LastDay_SpringSnow_2010.tif,9.388577,,Both,2010-04-01T00:00:00.000Z,2010-07-02T00:00:00.000Z,52.1694,68.9658,-175.762,-97.9489,"POLYGON ((-97.94889999999999 52.1694, -97.94889999999999 68.9658, -175.762 68.9658, -175.762 52.1694, -97.94889999999999 52.1694))"
