cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1646362440-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Mooresville_20150101_R0_thru20151231.nc,ORNL_DAAC,1,2019-10-15T21:54:28Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Mooresville_20150101_R0_thru20151231.nc,0.33928,,Both,2015-01-01T00:00:00.000Z,2015-12-31T23:59:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646362429-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Panama-City_20150321_R0_thru20151231.nc,ORNL_DAAC,1,2019-10-15T21:54:27Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Panama-City_20150321_R0_thru20151231.nc,0.182037,,Both,2015-03-21T00:00:00.000Z,2015-12-31T23:59:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646362428-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Magee_20150322_R0_thru20151117.nc,ORNL_DAAC,1,2019-10-15T21:54:27Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Magee_20150322_R0_thru20151117.nc,0.172068,,Both,2015-03-22T00:00:00.000Z,2015-11-17T23:59:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646362464-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Monroe_20150323_R0_thru20151231.nc,ORNL_DAAC,1,2019-10-15T21:54:30Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Monroe_20150323_R0_thru20151231.nc,0.189344,,Both,2015-03-23T00:00:00.000Z,2015-12-31T23:59:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646362455-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Grenada_20150324_R0_thru20151230.nc,ORNL_DAAC,1,2019-10-15T21:54:28Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Grenada_20150324_R0_thru20151230.nc,0.176052,,Both,2015-03-24T00:00:00.000Z,2015-12-30T23:59:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646362465-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Millerville_20150328_R0_thru20151231.nc,ORNL_DAAC,1,2019-10-15T21:54:30Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Millerville_20150328_R0_thru20151231.nc,0.144647,,Both,2015-03-28T00:00:00.000Z,2015-12-31T23:59:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646362436-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Greenfield_20150416_R0_thru20151231.nc,ORNL_DAAC,1,2019-10-15T21:54:28Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Greenfield_20150416_R0_thru20151231.nc,0.202353,,Both,2015-04-16T00:00:00.000Z,2015-12-31T23:59:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646362457-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Mildred_20150508_R0_thru20151231.nc,ORNL_DAAC,1,2019-10-15T21:54:28Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Mildred_20150508_R0_thru20151231.nc,0.701915,,Both,2015-05-08T00:00:00.000Z,2015-12-31T23:59:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646362437-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Mooresville_20160101_R0_thru20161231.nc,ORNL_DAAC,1,2019-10-15T21:54:28Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Mooresville_20160101_R0_thru20161231.nc,0.352616,,Both,2016-01-01T00:17:00.000Z,2016-12-31T23:22:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646362454-ORNL_DAAC,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Mooresville_20160101_R0_thru20161231.ict,ORNL_DAAC,1,2019-10-15T21:54:28Z,2018-06-21T00:00:00.000Z,ACTAMERICA-PICARRO_Ground_1568,ACTAMERICA-PICARRO_Ground.ACTAMERICA-PICARRO_Ground-Mooresville_20160101_R0_thru20161231.ict,1.087517,,Both,2016-01-01T00:17:00.000Z,2016-12-31T23:22:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
