cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1646356225-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-Ozone_C130_20160711_R1.nc,ORNL_DAAC,1,2019-10-15T21:39:48Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-Ozone_C130_20160711_R1.nc,0.565467,,Both,2016-07-11T16:12:05.000Z,2016-07-11T20:56:35.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646356386-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-Ozone_C130_20160711_R1.ict,ORNL_DAAC,1,2019-10-15T21:40:08Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-Ozone_C130_20160711_R1.ict,0.206188,,Both,2016-07-11T16:12:05.000Z,2016-07-11T20:56:35.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646356322-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_C130_20160711_R1.nc,ORNL_DAAC,1,2019-10-15T21:40:00Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_C130_20160711_R1.nc,1.118698,,Both,2016-07-11T16:12:06.000Z,2016-07-11T20:56:34.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646356462-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_C130_20160711_R1.ict,ORNL_DAAC,1,2019-10-15T21:40:19Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_C130_20160711_R1.ict,0.886447,,Both,2016-07-11T16:12:06.000Z,2016-07-11T20:56:34.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646355702-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_B200_20160711_R1.nc,ORNL_DAAC,1,2019-10-15T21:38:41Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_B200_20160711_R1.nc,1.050546,,Both,2016-07-11T20:05:05.000Z,2016-07-11T22:52:52.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646356483-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_B200_20160711_R1.ict,ORNL_DAAC,1,2019-10-15T21:40:21Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_B200_20160711_R1.ict,0.541074,,Both,2016-07-11T20:05:05.000Z,2016-07-11T22:52:52.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646356235-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-Ozone_B200_20160711_R1.nc,ORNL_DAAC,1,2019-10-15T21:39:49Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-Ozone_B200_20160711_R1.nc,0.5285,,Both,2016-07-11T20:05:06.000Z,2016-07-11T22:52:52.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646356429-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-Ozone_B200_20160711_R1.ict,ORNL_DAAC,1,2019-10-15T21:40:14Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-Ozone_B200_20160711_R1.ict,0.122126,,Both,2016-07-11T20:05:06.000Z,2016-07-11T22:52:52.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646356131-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_C130_20160715_R1.ict,ORNL_DAAC,1,2019-10-15T21:39:36Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_C130_20160715_R1.ict,0.530394,,Both,2016-07-15T16:28:34.000Z,2016-07-15T19:18:45.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1646356236-ORNL_DAAC,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_C130_20160715_R1.nc,ORNL_DAAC,1,2019-10-15T21:39:49Z,2018-07-03T00:00:00.000Z,ACTAMERICA_PICARRO_1556,ACTAMERICA_PICARRO.ACTAMERICA-PICARRO_C130_20160715_R1.nc,0.74611,,Both,2016-07-15T16:28:34.000Z,2016-07-15T19:18:45.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
