cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1581685850-ORNL_DAAC,Polarimetric_height_profile.rabi-tomo-capon-hv.h5,ORNL_DAAC,1,2019-01-03T14:12:44Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.rabi-tomo-capon-hv.h5,1395.705349,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-2.04887,-1.65393,9.69913,10.1118,"POLYGON ((10.1118 -2.04887, 10.1118 -1.65393, 9.69913 -1.65393, 9.69913 -2.04887, 10.1118 -2.04887))"
granule,G1581685851-ORNL_DAAC,Polarimetric_height_profile.lope-tomo-fourier-vv.h5,ORNL_DAAC,1,2019-01-03T14:12:44Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.lope-tomo-fourier-vv.h5,380.282372,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-0.344721,0.0669215,11.4322,11.8252,"POLYGON ((11.8252 -0.344721, 11.8252 0.06692149999999999, 11.4322 0.06692149999999999, 11.4322 -0.344721, 11.8252 -0.344721))"
granule,G1581685852-ORNL_DAAC,Polarimetric_height_profile.rabi-tomo-fourier-hvvv.h5,ORNL_DAAC,1,2019-01-03T14:12:44Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.rabi-tomo-fourier-hvvv.h5,748.194129,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-2.04887,-1.65393,9.69913,10.1118,"POLYGON ((10.1118 -2.04887, 10.1118 -1.65393, 9.69913 -1.65393, 9.69913 -2.04887, 10.1118 -2.04887))"
granule,G1581685853-ORNL_DAAC,Polarimetric_height_profile.lope-tomo-capon-hv.h5,ORNL_DAAC,1,2019-01-03T14:12:44Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.lope-tomo-capon-hv.h5,1396.801244,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-0.344721,0.0669215,11.4322,11.8252,"POLYGON ((11.8252 -0.344721, 11.8252 0.06692149999999999, 11.4322 0.06692149999999999, 11.4322 -0.344721, 11.8252 -0.344721))"
granule,G1581685854-ORNL_DAAC,Polarimetric_height_profile.rabi-tomo-fourier-hhvv.h5,ORNL_DAAC,1,2019-01-03T14:12:44Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.rabi-tomo-fourier-hhvv.h5,746.004284,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-2.04887,-1.65393,9.69913,10.1118,"POLYGON ((10.1118 -2.04887, 10.1118 -1.65393, 9.69913 -1.65393, 9.69913 -2.04887, 10.1118 -2.04887))"
granule,G1581685855-ORNL_DAAC,Polarimetric_height_profile.lope-tomo-fourier-hhhv.h5,ORNL_DAAC,1,2019-01-03T14:12:45Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.lope-tomo-fourier-hhhv.h5,749.461156,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-0.344721,0.0669215,11.4322,11.8252,"POLYGON ((11.8252 -0.344721, 11.8252 0.06692149999999999, 11.4322 0.06692149999999999, 11.4322 -0.344721, 11.8252 -0.344721))"
granule,G1581685856-ORNL_DAAC,Polarimetric_height_profile.lope-tomo-fourier-hvvv.h5,ORNL_DAAC,1,2019-01-03T14:12:45Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.lope-tomo-fourier-hvvv.h5,748.564875,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-0.344721,0.0669215,11.4322,11.8252,"POLYGON ((11.8252 -0.344721, 11.8252 0.06692149999999999, 11.4322 0.06692149999999999, 11.4322 -0.344721, 11.8252 -0.344721))"
granule,G1581685857-ORNL_DAAC,Polarimetric_height_profile.lope-tomo-fourier-hv.h5,ORNL_DAAC,1,2019-01-03T14:12:44Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.lope-tomo-fourier-hv.h5,381.458079,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-0.344721,0.0669215,11.4322,11.8252,"POLYGON ((11.8252 -0.344721, 11.8252 0.06692149999999999, 11.4322 0.06692149999999999, 11.4322 -0.344721, 11.8252 -0.344721))"
granule,G1581685858-ORNL_DAAC,Polarimetric_height_profile.rabi-tomo-fourier-hh.h5,ORNL_DAAC,1,2019-01-03T14:12:45Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.rabi-tomo-fourier-hh.h5,378.414374,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-2.04887,-1.65393,9.69913,10.1118,"POLYGON ((10.1118 -2.04887, 10.1118 -1.65393, 9.69913 -1.65393, 9.69913 -2.04887, 10.1118 -2.04887))"
granule,G1581685859-ORNL_DAAC,Polarimetric_height_profile.rabi-tomo-capon-vv.h5,ORNL_DAAC,1,2019-01-03T14:12:45Z,2018-12-19T00:00:00.000Z,Polarimetric_height_profile_1577,Polarimetric_height_profile.rabi-tomo-capon-vv.h5,1394.727808,,Both,2016-02-25T00:00:00.000Z,2016-02-25T23:59:59.000Z,-2.04887,-1.65393,9.69913,10.1118,"POLYGON ((10.1118 -2.04887, 10.1118 -1.65393, 9.69913 -1.65393, 9.69913 -2.04887, 10.1118 -2.04887))"
