cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1440953691-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_HARVRD_20110101_03.nc4,ORNL_DAAC,1,2017-11-28T16:26:59Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_HARVRD_20110101_03.nc4,0.024251,,Both,2011-09-01T00:00:00.000Z,2011-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440953697-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_METOLI_20110101_03.nc4,ORNL_DAAC,1,2017-11-28T16:27:01Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_METOLI_20110101_03.nc4,0.022933,,Both,2011-09-01T00:00:00.000Z,2011-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440953785-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_DUKEFR_20110101_03.nc4,ORNL_DAAC,1,2017-11-28T16:27:06Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_DUKEFR_20110101_03.nc4,0.023415,,Both,2011-09-01T00:00:00.000Z,2011-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440953695-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_HARVRD_20120101_03.nc4,ORNL_DAAC,1,2017-11-28T16:27:00Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_HARVRD_20120101_03.nc4,0.034113,,Both,2012-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440953742-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_TONZIR_20120101_03.nc4,ORNL_DAAC,1,2017-11-28T16:27:05Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_TONZIR_20120101_03.nc4,0.033165,,Both,2012-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440953774-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_DUKEFR_20120101_03.nc4,ORNL_DAAC,1,2017-11-28T16:27:06Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_DUKEFR_20120101_03.nc4,0.033959,,Both,2012-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440953788-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_METOLI_20120101_03.nc4,ORNL_DAAC,1,2017-11-28T16:27:06Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_METOLI_20120101_03.nc4,0.033652,,Both,2012-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440953791-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_BERMSP_20120101_03.nc4,ORNL_DAAC,1,2017-11-28T16:27:07Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_BERMSP_20120101_03.nc4,0.026861,,Both,2012-06-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440953686-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_TONZIR_20130101_03.nc4,ORNL_DAAC,1,2017-11-28T16:26:57Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_TONZIR_20130101_03.nc4,0.031332,,Both,2013-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440953689-ORNL_DAAC,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_BERMSP_20130101_03.nc4,ORNL_DAAC,1,2017-11-28T16:26:58Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Precipitation_1417,AirMOSS_L2_Precipitation.L2PRECIP_calibrated_BERMSP_20130101_03.nc4,0.032299,,Both,2013-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
