cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_title,coll_version,coll_doi,coll_abstract,coll_shortname,coll_status,coll_proclvl,coll_proclvl_desc,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
collection,C1649940892-ORNL_DAAC,"AirMOSS: In Situ Soil Moisture and Tree Measurements, Harvard Forest, 2012-2013",ORNL_DAAC,1,2019-10-31T13:01:58Z,,"AirMOSS: In Situ Soil Moisture and Tree Measurements, Harvard Forest, 2012-2013",1,10.3334/ORNLDAAC/1677,"This dataset provides in situ measurements of soil temperature, moisture, conductivity, measured diameter of tree at breast height (DBH) and total height collected at the Harvard Forest, Petersham, Massachusetts, USA, during October 2012 and July - August 2013. These measurements were collected in support of the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) project to validate root-zone soil measurements and carbon flux model estimates.",AirMOSS_Field_Data_Harvard_1677,COMPLETE,1B,level 1A data processed to sensor units,,,42.54,42.55,-72.18,-71.18,"POLYGON ((-71.18000000000001 42.54, -71.18000000000001 42.55, -72.18000000000001 42.55, -72.18000000000001 42.54, -71.18000000000001 42.54))"
collection,C1292501482-ORNL_DAAC,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, BERMS, Canada, 2012-2015",ORNL_DAAC,23,2019-04-15T18:55:44Z,,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, BERMS, Canada, 2012-2015",1,10.3334/ORNLDAAC/1406,"This data set provides level 1 (L1) polarimetric radar backscattering coefficient (sigma-0), multilook complex, polarimetrically calibrated, and georeferenced data products from the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) radar instrument collected over the BERMS (Boreal Ecosystem Research and Monitoring Sites), in Saskatchewan, Canada. The AirMOSS radar is a P-band (UHF) fully polarimetric synthetic aperture radar (SAR) currently operating in the 420-440 MHz band designed to measure root-zone soil moisture (RZSM) and is flown on a NASA Gulfstream-III aircraft. Flight campaigns took place at least biannually from 2012 to 2015 at 10 study sites across North America. The acquired L1 P-band radar backscatter data will be used to retrieve the RZSM at the study sites. Subsequent analyses will investigate both seasonal and inter-annual variability in soil moisture and the relationships to carbon fluxes and their associated uncertainties on a continental scale.",AirMOSS_L1_Sigma0_BERMS_1406,COMPLETE,1A,unprocessed instrument data with ancillary information,,,53.56,54.02,-106.68,-104.14,"POLYGON ((-104.14 53.56, -104.14 54.02, -106.68 54.02, -106.68 53.56, -104.14 53.56))"
collection,C1292515411-ORNL_DAAC,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Chamela, Mexico, 2012-2015",ORNL_DAAC,23,2019-04-15T18:55:45Z,,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Chamela, Mexico, 2012-2015",1,10.3334/ORNLDAAC/1407,"This data set provides level 1 (L1) polarimetric radar backscattering coefficient (sigma-0), multilook complex, polarimetrically calibrated, and georeferenced data products from the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) radar instrument collected over the Chamela Biological Station, in Jalisco, Mexico. The AirMOSS radar is a P-band (UHF) fully polarimetric synthetic aperture radar (SAR) currently operating in the 420-440 MHz band designed to measure root-zone soil moisture (RZSM) and is flown on a NASA Gulfstream-III aircraft. Flight campaigns took place at least biannually from 2012 to 2015 at 10 study sites across North America. The acquired L1 P-band radar backscatter data will be used to retrieve the RZSM at the study sites. Subsequent analyses will investigate both seasonal and inter-annual variability in soil moisture and the relationships to carbon fluxes and their associated uncertainties on a continental scale.",AirMOSS_L1_Sigma0_Chamel_1407,COMPLETE,1A,unprocessed instrument data with ancillary information,,,19.29,20.3,-105.25,-104.16,"POLYGON ((-104.16 19.29, -104.16 20.3, -105.25 20.3, -105.25 19.29, -104.16 19.29))"
collection,C1293032718-ORNL_DAAC,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Duke Forest, 2012-2015",ORNL_DAAC,22,2019-04-15T18:55:46Z,,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Duke Forest, 2012-2015",1,10.3334/ORNLDAAC/1408,"This data set provides level 1 (L1) polarimetric radar backscattering coefficient (sigma-0), multilook complex, polarimetrically calibrated, and georeferenced data products from the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) radar instrument collected over the Duke Forest site in North Carolina. The AirMOSS radar is a P-band (UHF) fully polarimetric synthetic aperture radar (SAR) currently operating in the 420-440 MHz band designed to measure root-zone soil moisture (RZSM) and is flown on a NASA Gulfstream-III aircraft. Flight campaigns took place at least biannually from 2012 to 2015 at 10 study sites across North America. The acquired L1 P-band radar backscatter data will be used to retrieve the RZSM at the study sites. Subsequent analyses will investigate both seasonal and inter-annual variability in soil moisture and the relationships to carbon fluxes and their associated uncertainties on a continental scale.",AirMOSS_L1_Sigma0_DukeFr_1408,COMPLETE,1A,unprocessed instrument data with ancillary information,,,35.39,36.43,-80.04,-78.5,"POLYGON ((-78.5 35.39, -78.5 36.43, -80.04000000000001 36.43, -80.04000000000001 35.39, -78.5 35.39))"
collection,C1293038144-ORNL_DAAC,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Harvard Forest, 2012-2015",ORNL_DAAC,24,2019-04-15T18:55:47Z,,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Harvard Forest, 2012-2015",1,10.3334/ORNLDAAC/1409,"This data set provides level 1 (L1) polarimetric radar backscattering coefficient (sigma-0), multilook complex, polarimetrically calibrated, and georeferenced data products from the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) radar instrument collected over the Harvard Forest site in Massachusetts. The AirMOSS radar is a P-band (UHF) fully polarimetric synthetic aperture radar (SAR) currently operating in the 420-440 MHz band designed to measure root-zone soil moisture (RZSM) and is flown on a NASA Gulfstream-III aircraft. Flight campaigns took place at least biannually from 2012 to 2015 at 10 study sites across North America. The acquired L1 P-band radar backscatter data will be used to retrieve the RZSM at the study sites. Subsequent analyses will investigate both seasonal and inter-annual variability in soil moisture and the relationships to carbon fluxes and their associated uncertainties on a continental scale.",AirMOSS_L1_Sigma0_Harvrd_1409,COMPLETE,1A,unprocessed instrument data with ancillary information,,,42.18,43.56,-72.39,-71.85,"POLYGON ((-71.84999999999999 42.18, -71.84999999999999 43.56, -72.39 43.56, -72.39 42.18, -71.84999999999999 42.18))"
collection,C1293043787-ORNL_DAAC,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Howland Forest, 2012-2015",ORNL_DAAC,22,2019-04-15T18:55:48Z,,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Howland Forest, 2012-2015",1,10.3334/ORNLDAAC/1410,"This data set provides level 1 (L1) polarimetric radar backscattering coefficient (sigma-0), multilook complex, polarimetrically calibrated, and georeferenced data products from the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) radar instrument collected over the Howland Forest site in Maine. The AirMOSS radar is a P-band (UHF) fully polarimetric synthetic aperture radar (SAR) currently operating in the 420-440 MHz band designed to measure root-zone soil moisture (RZSM) and is flown on a NASA Gulfstream-III aircraft. Flight campaigns took place at least biannually from 2012 to 2015 at 10 study sites across North America. The acquired L1 P-band radar backscatter data will be used to retrieve the RZSM at the study sites. Subsequent analyses will investigate both seasonal and inter-annual variability in soil moisture and the relationships to carbon fluxes and their associated uncertainties on a continental scale.",AirMOSS_L1_Sigma0_Howlnd_1410,COMPLETE,1A,unprocessed instrument data with ancillary information,,,44.5,46.02,-69.11,-68.25,"POLYGON ((-68.25 44.5, -68.25 46.02, -69.11 46.02, -69.11 44.5, -68.25 44.5))"
collection,C1294935681-ORNL_DAAC,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, La Selva, 2012-2015",ORNL_DAAC,22,2019-04-15T18:55:49Z,,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, La Selva, 2012-2015",1,10.3334/ORNLDAAC/1411,"This data set provides level 1 (L1) polarimetric radar backscattering coefficient (sigma-0), multilook complex, polarimetrically calibrated, and georeferenced data products from the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) radar instrument collected over the La Selva Biological Station in Costa Rica. The AirMOSS radar is a P-band (UHF) fully polarimetric synthetic aperture radar (SAR) currently operating in the 420-440 MHz band designed to measure root-zone soil moisture (RZSM) and is flown on a NASA Gulfstream-III aircraft. Flight campaigns took place at least biannually from 2012 to 2015 at 10 study sites across North America. The acquired L1 P-band radar backscatter data will be used to retrieve the RZSM at the study sites. Subsequent analyses will investigate both seasonal and inter-annual variability in soil moisture and the relationships to carbon fluxes and their associated uncertainties on a continental scale.",AirMOSS_L1_Sigma0_LaSelv_1411,COMPLETE,1A,unprocessed instrument data with ancillary information,,,9.74,11.05,-85.14,-83.27,"POLYGON ((-83.27 9.74, -83.27 11.05, -85.14 11.05, -85.14 9.74, -83.27 9.74))"
collection,C1294938577-ORNL_DAAC,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Metolius, 2012-2015",ORNL_DAAC,22,2019-04-15T18:55:50Z,,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Metolius, 2012-2015",1,10.3334/ORNLDAAC/1412,"This data set provides level 1 (L1) polarimetric radar backscattering coefficient (sigma-0), multilook complex, polarimetrically calibrated, and georeferenced data products from the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) radar instrument collected over the Metolius site in Oregon. The AirMOSS radar is a P-band (UHF) fully polarimetric synthetic aperture radar (SAR) currently operating in the 420-440 MHz band designed to measure root-zone soil moisture (RZSM) and is flown on a NASA Gulfstream-III aircraft. Flight campaigns took place at least biannually from 2012 to 2015 at 10 study sites across North America. The acquired L1 P-band radar backscatter data will be used to retrieve the RZSM at the study sites. Subsequent analyses will investigate both seasonal and inter-annual variability in soil moisture and the relationships to carbon fluxes and their associated uncertainties on a continental scale.",AirMOSS_L1_Sigma0_Metoli_1412,COMPLETE,1A,unprocessed instrument data with ancillary information,,,43.99,44.69,-122.86,-120.89,"POLYGON ((-120.89 43.99, -120.89 44.69, -122.86 44.69, -122.86 43.99, -120.89 43.99))"
collection,C1294943935-ORNL_DAAC,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, MOISST, 2012-2015",ORNL_DAAC,22,2019-04-15T18:55:51Z,,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, MOISST, 2012-2015",1,10.3334/ORNLDAAC/1413,"This data set provides level 1 (L1) polarimetric radar backscattering coefficient (sigma-0), multilook complex, polarimetrically calibrated, and georeferenced data products from the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) radar instrument collected over the MOISST site in Oklahoma. The AirMOSS radar is a P-band (UHF) fully polarimetric synthetic aperture radar (SAR) currently operating in the 420-440 MHz band designed to measure root-zone soil moisture (RZSM) and is flown on a NASA Gulfstream-III aircraft. Flight campaigns took place at least biannually from 2012 to 2015 at 10 study sites across North America. The acquired L1 P-band radar backscatter data will be used to retrieve the RZSM at the study sites. Subsequent analyses will investigate both seasonal and inter-annual variability in soil moisture and the relationships to carbon fluxes and their associated uncertainties on a continental scale.",AirMOSS_L1_Sigma0_Moisst_1413,COMPLETE,1A,unprocessed instrument data with ancillary information,,,35.78,36.89,-99.0,-96.82,"POLYGON ((-96.81999999999999 35.78, -96.81999999999999 36.89, -99 36.89, -99 35.78, -96.81999999999999 35.78))"
collection,C1294950514-ORNL_DAAC,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Tonzi Ranch, 2012-2015",ORNL_DAAC,24,2019-04-15T18:55:52Z,,"AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Tonzi Ranch, 2012-2015",1,10.3334/ORNLDAAC/1414,"This data set provides level 1 (L1) polarimetric radar backscattering coefficient (sigma-0), multilook complex, polarimetrically calibrated, and georeferenced data products from the Airborne Microwave Observatory of Subcanopy and Subsurface (AirMOSS) radar instrument collected over the Tonzi Ranch site in California. The AirMOSS radar is a P-band (UHF) fully polarimetric synthetic aperture radar (SAR) currently operating in the 420-440 MHz band designed to measure root-zone soil moisture (RZSM) and is flown on a NASA Gulfstream-III aircraft. Flight campaigns took place at least biannually from 2012 to 2015 at 10 study sites across North America. The acquired L1 P-band radar backscatter data will be used to retrieve the RZSM at the study sites. Subsequent analyses will investigate both seasonal and inter-annual variability in soil moisture and the relationships to carbon fluxes and their associated uncertainties on a continental scale.",AirMOSS_L1_Sigma0_TonziR_1414,COMPLETE,1A,unprocessed instrument data with ancillary information,,,37.38,38.59,-121.2,-119.93,"POLYGON ((-119.93 37.38, -119.93 38.59, -121.2 38.59, -121.2 37.38, -119.93 37.38))"
