cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1619764459-ORNL_DAAC,ATom_AMP_Instrument_Data.SDAerosol_DC8_20160729_R1.ict,ORNL_DAAC,1,2019-06-17T23:49:33Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.SDAerosol_DC8_20160729_R1.ict,17.278732,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1619764585-ORNL_DAAC,ATom_AMP_Instrument_Data.NAerosol_DC8_20160729_R3.ict,ORNL_DAAC,1,2019-06-17T23:49:48Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.NAerosol_DC8_20160729_R3.ict,8.972789,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1619764586-ORNL_DAAC,ATom_AMP_Instrument_Data.NCoarseAerosol_DC8_20160729_R5.ict,ORNL_DAAC,1,2019-06-17T23:49:48Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.NCoarseAerosol_DC8_20160729_R5.ict,1.498074,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1619764489-ORNL_DAAC,ATom_AMP_Instrument_Data.NAerosol_DC8_20160801_R3.ict,ORNL_DAAC,1,2019-06-17T23:49:34Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.NAerosol_DC8_20160801_R3.ict,9.989822,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1619764531-ORNL_DAAC,ATom_AMP_Instrument_Data.SDAerosol_DC8_20160801_R1.ict,ORNL_DAAC,1,2019-06-17T23:49:40Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.SDAerosol_DC8_20160801_R1.ict,18.916853,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1619764580-ORNL_DAAC,ATom_AMP_Instrument_Data.NCoarseAerosol_DC8_20160801_R5.ict,ORNL_DAAC,1,2019-06-17T23:49:46Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.NCoarseAerosol_DC8_20160801_R5.ict,1.638447,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1619764478-ORNL_DAAC,ATom_AMP_Instrument_Data.SDAerosol_DC8_20160803_R1.ict,ORNL_DAAC,1,2019-06-17T23:49:34Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.SDAerosol_DC8_20160803_R1.ict,13.426655,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1619764519-ORNL_DAAC,ATom_AMP_Instrument_Data.NCoarseAerosol_DC8_20160803_R5.ict,ORNL_DAAC,1,2019-06-17T23:49:40Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.NCoarseAerosol_DC8_20160803_R5.ict,1.160087,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1619764535-ORNL_DAAC,ATom_AMP_Instrument_Data.NAerosol_DC8_20160803_R3.ict,ORNL_DAAC,1,2019-06-17T23:49:40Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.NAerosol_DC8_20160803_R3.ict,7.187015,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1619764520-ORNL_DAAC,ATom_AMP_Instrument_Data.NAerosol_DC8_20160806_R3.ict,ORNL_DAAC,1,2019-06-17T23:49:39Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.NAerosol_DC8_20160806_R3.ict,7.98741,,Both,2016-08-06T17:57:35.000Z,2016-08-07T02:34:25.000Z,-14.4355,19.7265,-174.08,-156.047,"POLYGON ((-156.047 -14.4355, -156.047 19.7265, -174.08 19.7265, -174.08 -14.4355, -156.047 -14.4355))"
granule,G1619764547-ORNL_DAAC,ATom_AMP_Instrument_Data.NCoarseAerosol_DC8_20160806_R5.ict,ORNL_DAAC,1,2019-06-17T23:49:45Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.NCoarseAerosol_DC8_20160806_R5.ict,1.375062,,Both,2016-08-06T17:57:35.000Z,2016-08-07T02:34:25.000Z,-14.4355,19.7265,-174.08,-156.047,"POLYGON ((-156.047 -14.4355, -156.047 19.7265, -174.08 19.7265, -174.08 -14.4355, -156.047 -14.4355))"
granule,G1619764554-ORNL_DAAC,ATom_AMP_Instrument_Data.SDAerosol_DC8_20160806_R1.ict,ORNL_DAAC,1,2019-06-17T23:49:46Z,2019-06-13T00:00:00.000Z,ATom_AMP_Instrument_Data_1671,ATom_AMP_Instrument_Data.SDAerosol_DC8_20160806_R1.ict,15.295113,,Both,2016-08-06T17:57:35.000Z,2016-08-07T02:34:25.000Z,-14.4355,19.7265,-174.08,-156.047,"POLYGON ((-156.047 -14.4355, -156.047 19.7265, -174.08 19.7265, -174.08 -14.4355, -156.047 -14.4355))"
