cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1643340212-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMS-60s_DC8_20160729_R3.ict,ORNL_DAAC,1,2019-10-02T12:30:20Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMS-60s_DC8_20160729_R3.ict,0.204999,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643340222-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMSSD_DC8_20160729_R0.ict,ORNL_DAAC,1,2019-10-02T12:30:21Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMSSD_DC8_20160729_R0.ict,0.94234,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643340385-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMS_DC8_20160729_R2.ict,ORNL_DAAC,1,2019-10-02T12:30:26Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMS_DC8_20160729_R2.ict,9.841625,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643340194-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMSSD_DC8_20160801_R0.ict,ORNL_DAAC,1,2019-10-02T12:30:20Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMSSD_DC8_20160801_R0.ict,1.039046,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643340225-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMS_DC8_20160801_R1.ict,ORNL_DAAC,1,2019-10-02T12:30:21Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMS_DC8_20160801_R1.ict,10.360982,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643340407-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMS-60s_DC8_20160801_R2.ict,ORNL_DAAC,1,2019-10-02T12:30:26Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMS-60s_DC8_20160801_R2.ict,0.221114,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643340192-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMS_DC8_20160803_R1.ict,ORNL_DAAC,1,2019-10-02T12:30:20Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMS_DC8_20160803_R1.ict,7.593885,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1643340386-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMS-60s_DC8_20160803_R2.ict,ORNL_DAAC,1,2019-10-02T12:30:26Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMS-60s_DC8_20160803_R2.ict,0.1597,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1643340448-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMSSD_DC8_20160803_R0.ict,ORNL_DAAC,1,2019-10-02T12:30:27Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMSSD_DC8_20160803_R0.ict,0.734054,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1643340210-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMSSD_DC8_20160806_R0.ict,ORNL_DAAC,1,2019-10-02T12:30:20Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMSSD_DC8_20160806_R0.ict,0.980398,,Both,2016-08-06T17:57:35.000Z,2016-08-07T02:34:25.000Z,-14.4355,19.7265,-174.08,-156.047,"POLYGON ((-156.047 -14.4355, -156.047 19.7265, -174.08 19.7265, -174.08 -14.4355, -156.047 -14.4355))"
granule,G1643340224-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMS-60s_DC8_20160806_R2.ict,ORNL_DAAC,1,2019-10-02T12:30:21Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMS-60s_DC8_20160806_R2.ict,0.18825,,Both,2016-08-06T17:57:35.000Z,2016-08-07T02:34:25.000Z,-14.4355,19.7265,-174.08,-156.047,"POLYGON ((-156.047 -14.4355, -156.047 19.7265, -174.08 19.7265, -174.08 -14.4355, -156.047 -14.4355))"
granule,G1643340419-ORNL_DAAC,ATom_HR-AMS_Instrument_Data.AMS_DC8_20160806_R1.ict,ORNL_DAAC,1,2019-10-02T12:30:26Z,2019-09-30T00:00:00.000Z,ATom_HR-AMS_Instrument_Data_1716,ATom_HR-AMS_Instrument_Data.AMS_DC8_20160806_R1.ict,9.002296,,Both,2016-08-06T17:57:35.000Z,2016-08-07T02:34:25.000Z,-14.4355,19.7265,-174.08,-156.047,"POLYGON ((-156.047 -14.4355, -156.047 19.7265, -174.08 19.7265, -174.08 -14.4355, -156.047 -14.4355))"
