cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422756040-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1720-1724.tar.gz,ORNL_DAAC,1,2017-09-28T16:39:02Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1720-1724.tar.gz,8.733159,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
granule,G1422756230-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1625-1629.tar.gz,ORNL_DAAC,1,2017-09-28T16:39:03Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1625-1629.tar.gz,12.055183,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
granule,G1422756402-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1702-1705.tar.gz,ORNL_DAAC,1,2017-09-28T16:39:05Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1702-1705.tar.gz,8.84744,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
granule,G1422756929-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1615-1618.tar.gz,ORNL_DAAC,1,2017-09-28T16:39:11Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1615-1618.tar.gz,9.577247,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
granule,G1422758088-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1809-1811.tar.gz,ORNL_DAAC,1,2017-09-28T16:39:26Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1809-1811.tar.gz,3.069708,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
granule,G1422758093-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1740-1744.tar.gz,ORNL_DAAC,1,2017-09-28T16:39:26Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1740-1744.tar.gz,7.798205,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
granule,G1422758099-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1752-1755.tar.gz,ORNL_DAAC,1,2017-09-28T16:39:29Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1752-1755.tar.gz,7.121858,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
granule,G1422758102-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1635-1638.tar.gz,ORNL_DAAC,1,2017-09-28T16:39:30Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1635-1638.tar.gz,11.976002,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
granule,G1422758128-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1606-1610.tar.gz,ORNL_DAAC,1,2017-09-28T16:39:40Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041694_1606-1610.tar.gz,11.0082,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
granule,G1422755925-ORNL_DAAC,BOREAS_TIMS1BIL.TIMS1b_SSA_041994_1829-1832.tar.gz,ORNL_DAAC,1,2017-09-28T16:38:49Z,1999-11-16T00:00:00.000Z,BOREAS_TIMS1BIL_436,BOREAS_TIMS1BIL.TIMS1b_SSA_041994_1829-1832.tar.gz,9.991955,,Day,1994-04-19T00:00:00.000Z,1994-04-19T00:00:00.000Z,53.4185,54.3192,-106.328,-104.236,"POLYGON ((-104.236 53.4185, -104.236 54.3192, -106.328 54.3192, -106.328 53.4185, -104.236 53.4185))"
