cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422824891-ORNL_DAAC,hmet03_hourlymet.1995-nsa-fen-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:01Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1995-nsa-fen-flxtr.csv,0.768941,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824900-ORNL_DAAC,hmet03_hourlymet.1994-nsa-obs-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:01Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1994-nsa-obs-flxtr.csv,0.766426,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824905-ORNL_DAAC,hmet03_hourlymet.1996-nsa-obs-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:02Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1996-nsa-obs-flxtr.csv,0.692352,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824912-ORNL_DAAC,hmet03_hourlymet.1996-ssa-9oa-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:08Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1996-ssa-9oa-flxtr.csv,0.690266,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824918-ORNL_DAAC,hmet03_hourlymet.1996-nsa-fen-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:08Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1996-nsa-fen-flxtr.csv,0.694906,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824925-ORNL_DAAC,hmet03_hourlymet.1995-nsa-obs-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:12Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1995-nsa-obs-flxtr.csv,0.76307,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824930-ORNL_DAAC,hmet03_hourlymet.1994-ssa-obs-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:13Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1994-ssa-obs-flxtr.csv,0.751161,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824938-ORNL_DAAC,hmet03_hourlymet.1996-ssa-obs-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:13Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1996-ssa-obs-flxtr.csv,0.697927,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824947-ORNL_DAAC,hmet03_hourlymet.1994-ssa-9oa-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:13Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1994-ssa-9oa-flxtr.csv,0.755594,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824956-ORNL_DAAC,hmet03_hourlymet.1995-ssa-9oa-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:14Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1995-ssa-9oa-flxtr.csv,0.753956,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824966-ORNL_DAAC,hmet03_hourlymet.1994-nsa-fen-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:14Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1994-nsa-fen-flxtr.csv,0.765267,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
granule,G1422824976-ORNL_DAAC,hmet03_hourlymet.1995-ssa-obs-flxtr.csv,ORNL_DAAC,1,2017-09-28T17:41:15Z,2001-10-02T00:00:00.000Z,hmet03_hourlymet_608,hmet03_hourlymet.1995-ssa-obs-flxtr.csv,0.754663,,Both,1994-01-01T00:00:00.000Z,1996-12-01T00:00:00.000Z,53.0,56.0,-106.0,-98.0,"POLYGON ((-98 53, -98 56, -106 56, -106 53, -98 53))"
