cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1639300419-ORNL_DAAC,CMS_DARTE_V2.DARTE_v2.gdb.zip,ORNL_DAAC,1,2019-09-28T01:22:41Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.DARTE_v2.gdb.zip,468.621525,,Both,1980-01-01T00:00:00.000Z,2017-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
granule,G1639300435-ORNL_DAAC,CMS_DARTE_V2.onroad_1980.tif,ORNL_DAAC,1,2019-09-28T01:22:41Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.onroad_1980.tif,70.407436,,Both,1980-01-01T00:00:00.000Z,1980-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
granule,G1639300417-ORNL_DAAC,CMS_DARTE_V2.onroad_1981.tif,ORNL_DAAC,1,2019-09-28T01:22:41Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.onroad_1981.tif,70.405194,,Both,1981-01-01T00:00:00.000Z,1981-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
granule,G1639300424-ORNL_DAAC,CMS_DARTE_V2.onroad_1982.tif,ORNL_DAAC,1,2019-09-28T01:22:40Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.onroad_1982.tif,70.406556,,Both,1982-01-01T00:00:00.000Z,1982-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
granule,G1639300406-ORNL_DAAC,CMS_DARTE_V2.onroad_1983.tif,ORNL_DAAC,1,2019-09-28T01:22:40Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.onroad_1983.tif,70.406451,,Both,1983-01-01T00:00:00.000Z,1983-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
granule,G1639300428-ORNL_DAAC,CMS_DARTE_V2.onroad_1984.tif,ORNL_DAAC,1,2019-09-28T01:22:41Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.onroad_1984.tif,70.409818,,Both,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
granule,G1639300427-ORNL_DAAC,CMS_DARTE_V2.onroad_1985.tif,ORNL_DAAC,1,2019-09-28T01:22:40Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.onroad_1985.tif,70.415082,,Both,1985-01-01T00:00:00.000Z,1985-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
granule,G1639300438-ORNL_DAAC,CMS_DARTE_V2.onroad_1986.tif,ORNL_DAAC,1,2019-09-28T01:22:41Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.onroad_1986.tif,70.418091,,Both,1986-01-01T00:00:00.000Z,1986-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
granule,G1639300430-ORNL_DAAC,CMS_DARTE_V2.onroad_1987.tif,ORNL_DAAC,1,2019-09-28T01:22:40Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.onroad_1987.tif,70.420794,,Both,1987-01-01T00:00:00.000Z,1987-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
granule,G1639300423-ORNL_DAAC,CMS_DARTE_V2.onroad_1988.tif,ORNL_DAAC,1,2019-09-28T01:22:40Z,2019-09-27T00:00:00.000Z,CMS_DARTE_V2_1735,CMS_DARTE_V2.onroad_1988.tif,70.423675,,Both,1988-01-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,22.0928,53.3863,-137.257,-62.0513,"POLYGON ((-62.0513 22.0928, -62.0513 53.3863, -137.257 53.3863, -137.257 22.0928, -62.0513 22.0928))"
