cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1633357976-ORNL_DAAC,CMS_Forest_Carbon_Stocks.forest_group_NAFD.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.forest_group_NAFD.tif,205.955459,,Both,1986-01-01T00:00:00.000Z,2010-12-31T00:00:00.000Z,23.2283,40.8894,-89.0103,-71.2798,"POLYGON ((-71.27979999999999 23.2283, -71.27979999999999 40.8894, -89.0103 40.8894, -89.0103 23.2283, -71.27979999999999 23.2283))"
granule,G1633357979-ORNL_DAAC,CMS_Forest_Carbon_Stocks.type_cover_years_disturb_NAFD.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.type_cover_years_disturb_NAFD.tif,264.037964,,Both,1986-01-01T00:00:00.000Z,2010-12-31T00:00:00.000Z,23.2283,40.8894,-89.0103,-71.2798,"POLYGON ((-71.27979999999999 23.2283, -71.27979999999999 40.8894, -89.0103 40.8894, -89.0103 23.2283, -71.27979999999999 23.2283))"
granule,G1633357980-ORNL_DAAC,CMS_Forest_Carbon_Stocks.type_disturb_composite.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.type_disturb_composite.tif,111.880725,,Both,1986-01-01T00:00:00.000Z,2010-12-31T00:00:00.000Z,23.2283,40.8894,-89.0103,-71.2798,"POLYGON ((-71.27979999999999 23.2283, -71.27979999999999 40.8894, -89.0103 40.8894, -89.0103 23.2283, -71.27979999999999 23.2283))"
granule,G1633357984-ORNL_DAAC,CMS_Forest_Carbon_Stocks.years_disturb_ADS.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.years_disturb_ADS.tif,33.388798,,Both,1986-01-01T00:00:00.000Z,2010-12-31T00:00:00.000Z,23.2283,40.8894,-89.0103,-71.2798,"POLYGON ((-71.27979999999999 23.2283, -71.27979999999999 40.8894, -89.0103 40.8894, -89.0103 23.2283, -71.27979999999999 23.2283))"
granule,G1633357985-ORNL_DAAC,CMS_Forest_Carbon_Stocks.years_disturb_MTBS.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.years_disturb_MTBS.tif,37.852784,,Both,1986-01-01T00:00:00.000Z,2010-12-31T00:00:00.000Z,24.165,40.8894,-88.9343,-71.2798,"POLYGON ((-71.27979999999999 24.165, -71.27979999999999 40.8894, -88.93429999999999 40.8894, -88.93429999999999 24.165, -71.27979999999999 24.165))"
granule,G1633357987-ORNL_DAAC,CMS_Forest_Carbon_Stocks.forest_productivity_NAFD.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.forest_productivity_NAFD.tif,433.84748,,Both,1986-01-01T00:00:00.000Z,2010-12-31T00:00:00.000Z,23.2283,40.8894,-89.0103,-71.2798,"POLYGON ((-71.27979999999999 23.2283, -71.27979999999999 40.8894, -89.0103 40.8894, -89.0103 23.2283, -71.27979999999999 23.2283))"
granule,G1633357988-ORNL_DAAC,CMS_Forest_Carbon_Stocks.years_disturb_composite.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.years_disturb_composite.tif,215.286065,,Both,1986-01-01T00:00:00.000Z,2010-12-31T00:00:00.000Z,23.2283,40.8894,-89.0103,-71.2798,"POLYGON ((-71.27979999999999 23.2283, -71.27979999999999 40.8894, -89.0103 40.8894, -89.0103 23.2283, -71.27979999999999 23.2283))"
granule,G1633357986-ORNL_DAAC,CMS_Forest_Carbon_Stocks.age_1990.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.age_1990.tif,547.146197,,Both,1990-01-01T00:00:00.000Z,1990-12-31T00:00:00.000Z,24.5397,40.3452,-88.1128,-74.4978,"POLYGON ((-74.4978 24.5397, -74.4978 40.3452, -88.11279999999999 40.3452, -88.11279999999999 24.5397, -74.4978 24.5397))"
granule,G1633357990-ORNL_DAAC,CMS_Forest_Carbon_Stocks.nep_1990.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.nep_1990.tif,729.448225,,Both,1990-01-01T00:00:00.000Z,1990-12-31T00:00:00.000Z,24.5397,40.3452,-88.1128,-74.4978,"POLYGON ((-74.4978 24.5397, -74.4978 40.3452, -88.11279999999999 40.3452, -88.11279999999999 24.5397, -74.4978 24.5397))"
granule,G1633357991-ORNL_DAAC,CMS_Forest_Carbon_Stocks.agb_1990.tif,ORNL_DAAC,1,2019-09-13T13:33:26Z,2019-09-12T00:00:00.000Z,CMS_Forest_Carbon_Stocks_1728,CMS_Forest_Carbon_Stocks.agb_1990.tif,1104.325951,,Both,1990-01-01T00:00:00.000Z,1990-12-31T00:00:00.000Z,24.5397,40.3452,-88.1128,-74.4978,"POLYGON ((-74.4978 24.5397, -74.4978 40.3452, -88.11279999999999 40.3452, -88.11279999999999 24.5397, -74.4978 24.5397))"
