cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422948858-ORNL_DAAC,CMS_WFEIS_CONUS-AK.conus2001co2_tonnes.tif,ORNL_DAAC,1,2017-09-28T19:03:28Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.conus2001co2_tonnes.tif,0.740076,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948859-ORNL_DAAC,CMS_WFEIS_CONUS-AK.alaska2011carbon_tonnes.tif,ORNL_DAAC,1,2017-09-28T19:03:29Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.alaska2011carbon_tonnes.tif,0.465711,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948860-ORNL_DAAC,CMS_WFEIS_CONUS-AK.alaska2004.zip,ORNL_DAAC,1,2017-09-28T19:03:29Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.alaska2004.zip,6.317279,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948861-ORNL_DAAC,CMS_WFEIS_CONUS-AK.conus2011carbon_tonnes.tif,ORNL_DAAC,1,2017-09-28T19:03:30Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.conus2011carbon_tonnes.tif,0.942064,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948862-ORNL_DAAC,CMS_WFEIS_CONUS-AK.conus2002_w_ag.zip,ORNL_DAAC,1,2017-09-28T19:03:30Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.conus2002_w_ag.zip,7.345274,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948863-ORNL_DAAC,CMS_WFEIS_CONUS-AK.alaska2002carbon_tonnes.tif,ORNL_DAAC,1,2017-09-28T19:03:31Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.alaska2002carbon_tonnes.tif,0.534588,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948864-ORNL_DAAC,CMS_WFEIS_CONUS-AK.conus2001carbon_tonnes_w_ag.tif,ORNL_DAAC,1,2017-09-28T19:03:31Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.conus2001carbon_tonnes_w_ag.tif,0.741016,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948865-ORNL_DAAC,CMS_WFEIS_CONUS-AK.alaska2007.zip,ORNL_DAAC,1,2017-09-28T19:03:32Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.alaska2007.zip,0.470045,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948866-ORNL_DAAC,CMS_WFEIS_CONUS-AK.alaska2010carbon_tonnes.tif,ORNL_DAAC,1,2017-09-28T19:03:32Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.alaska2010carbon_tonnes.tif,0.499858,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948868-ORNL_DAAC,CMS_WFEIS_CONUS-AK.alaska2012carbon_tonnes.tif,ORNL_DAAC,1,2017-09-28T19:03:33Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.alaska2012carbon_tonnes.tif,0.468827,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948869-ORNL_DAAC,CMS_WFEIS_CONUS-AK.conus2009carbon_tonnes.tif,ORNL_DAAC,1,2017-09-28T19:03:33Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.conus2009carbon_tonnes.tif,0.811903,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
granule,G1422948870-ORNL_DAAC,CMS_WFEIS_CONUS-AK.conus2007.zip,ORNL_DAAC,1,2017-09-28T19:03:34Z,2016-02-15T00:00:00.000Z,CMS_WFEIS_CONUS-AK_1306,CMS_WFEIS_CONUS-AK.conus2007.zip,10.453054,,Both,2001-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
