cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1546809633-ORNL_DAAC,FIFE_AF_FLT_M.7177mult.naf,ORNL_DAAC,1,2018-09-10T13:30:19Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7177mult.naf,0.014624,,Both,1987-06-26T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1546809621-ORNL_DAAC,FIFE_AF_FLT_M.7179mult.naf,ORNL_DAAC,1,2018-09-10T13:30:18Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7179mult.naf,0.016137,,Both,1987-06-28T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1546809648-ORNL_DAAC,FIFE_AF_FLT_M.7186mult.naf,ORNL_DAAC,1,2018-09-10T13:30:19Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7186mult.naf,0.014084,,Both,1987-07-05T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1546809615-ORNL_DAAC,FIFE_AF_FLT_M.7187mult.naf,ORNL_DAAC,1,2018-09-10T13:30:18Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7187mult.naf,0.026025,,Both,1987-07-06T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1546809626-ORNL_DAAC,FIFE_AF_FLT_M.7189mult.naf,ORNL_DAAC,1,2018-09-10T13:30:18Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7189mult.naf,0.0122,,Both,1987-07-08T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1546809630-ORNL_DAAC,FIFE_AF_FLT_M.7190mult.naf,ORNL_DAAC,1,2018-09-10T13:30:19Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7190mult.naf,0.01275,,Both,1987-07-09T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1546809629-ORNL_DAAC,FIFE_AF_FLT_M.7191mult.naf,ORNL_DAAC,1,2018-09-10T13:30:19Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7191mult.naf,0.011818,,Both,1987-07-10T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1546809639-ORNL_DAAC,FIFE_AF_FLT_M.7192mult.naf,ORNL_DAAC,1,2018-09-10T13:30:19Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7192mult.naf,0.021856,,Both,1987-07-11T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1546809616-ORNL_DAAC,FIFE_AF_FLT_M.7193mult.naf,ORNL_DAAC,1,2018-09-10T13:30:18Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7193mult.naf,0.003761,,Both,1987-07-12T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1546809647-ORNL_DAAC,FIFE_AF_FLT_M.7219mult.naf,ORNL_DAAC,1,2018-09-10T13:30:19Z,1994-07-24T00:00:00.000Z,FIFE_AF_FLT_M_6,FIFE_AF_FLT_M.7219mult.naf,0.016681,,Both,1987-08-07T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
