cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422674060-ORNL_DAAC,FIFE_AF_RAW_M.7177mult.nar,ORNL_DAAC,1,2017-09-28T15:28:10Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7177mult.nar,0.014652,,Both,1987-06-26T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674243-ORNL_DAAC,FIFE_AF_RAW_M.7179mult.nar,ORNL_DAAC,1,2017-09-28T15:28:22Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7179mult.nar,0.01614,,Both,1987-06-28T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674182-ORNL_DAAC,FIFE_AF_RAW_M.7186mult.nar,ORNL_DAAC,1,2017-09-28T15:28:16Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7186mult.nar,0.014072,,Both,1987-07-05T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674140-ORNL_DAAC,FIFE_AF_RAW_M.7187mult.nar,ORNL_DAAC,1,2017-09-28T15:28:14Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7187mult.nar,0.026045,,Both,1987-07-06T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674222-ORNL_DAAC,FIFE_AF_RAW_M.7189mult.nar,ORNL_DAAC,1,2017-09-28T15:28:20Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7189mult.nar,0.012189,,Both,1987-07-08T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674101-ORNL_DAAC,FIFE_AF_RAW_M.7190mult.nar,ORNL_DAAC,1,2017-09-28T15:28:11Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7190mult.nar,0.012732,,Both,1987-07-09T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674265-ORNL_DAAC,FIFE_AF_RAW_M.7191mult.nar,ORNL_DAAC,1,2017-09-28T15:28:23Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7191mult.nar,0.011781,,Both,1987-07-10T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674217-ORNL_DAAC,FIFE_AF_RAW_M.7192mult.nar,ORNL_DAAC,1,2017-09-28T15:28:19Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7192mult.nar,0.021793,,Both,1987-07-11T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422673987-ORNL_DAAC,FIFE_AF_RAW_M.7193mult.nar,ORNL_DAAC,1,2017-09-28T15:28:06Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7193mult.nar,0.003677,,Both,1987-07-12T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674132-ORNL_DAAC,FIFE_AF_RAW_M.7219mult.nar,ORNL_DAAC,1,2017-09-28T15:28:13Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7219mult.nar,0.016676,,Both,1987-08-07T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674201-ORNL_DAAC,FIFE_AF_RAW_M.7221mult.nar,ORNL_DAAC,1,2017-09-28T15:28:18Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7221mult.nar,0.012213,,Both,1987-08-09T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674212-ORNL_DAAC,FIFE_AF_RAW_M.7222mult.nar,ORNL_DAAC,1,2017-09-28T15:28:19Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7222mult.nar,0.008731,,Both,1987-08-10T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422674194-ORNL_DAAC,FIFE_AF_RAW_M.7223mult.nar,ORNL_DAAC,1,2017-09-28T15:28:17Z,1994-07-24T00:00:00.000Z,FIFE_AF_RAW_M_9,FIFE_AF_RAW_M.7223mult.nar,0.009708,,Both,1987-08-11T00:00:00.000Z,1989-10-31T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
