cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422674734-ORNL_DAAC,FIFE_BRUT_DRV.7146n004.wbd,ORNL_DAAC,1,2017-09-28T15:28:51Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7146n004.wbd,0.006055,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422680142-ORNL_DAAC,FIFE_BRUT_DRV.7146n003.wbd,ORNL_DAAC,1,2017-09-28T15:30:58Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7146n003.wbd,0.006332,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422681199-ORNL_DAAC,FIFE_BRUT_DRV.7146n001.wbd,ORNL_DAAC,1,2017-09-28T15:31:57Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7146n001.wbd,0.002936,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422679606-ORNL_DAAC,FIFE_BRUT_DRV.7148n008.wbd,ORNL_DAAC,1,2017-09-28T15:30:27Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7148n008.wbd,0.00772,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422679937-ORNL_DAAC,FIFE_BRUT_DRV.7148n005.wbd,ORNL_DAAC,1,2017-09-28T15:30:47Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7148n005.wbd,0.011516,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422680119-ORNL_DAAC,FIFE_BRUT_DRV.7148n006.wbd,ORNL_DAAC,1,2017-09-28T15:30:57Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7148n006.wbd,0.007753,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422680360-ORNL_DAAC,FIFE_BRUT_DRV.7148n007.wbd,ORNL_DAAC,1,2017-09-28T15:31:10Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7148n007.wbd,0.007753,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422674751-ORNL_DAAC,FIFE_BRUT_DRV.7149n010.wbd,ORNL_DAAC,1,2017-09-28T15:28:52Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7149n010.wbd,0.003808,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422677311-ORNL_DAAC,FIFE_BRUT_DRV.7149n011.wbd,ORNL_DAAC,1,2017-09-28T15:29:27Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7149n011.wbd,0.006821,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422679449-ORNL_DAAC,FIFE_BRUT_DRV.7149n012.wbd,ORNL_DAAC,1,2017-09-28T15:30:24Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_DRV_14,FIFE_BRUT_DRV.7149n012.wbd,0.006837,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
