cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422715957-ORNL_DAAC,FIFE_IRT_GRND.91662437.i08,ORNL_DAAC,1,2017-09-28T15:56:50Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i08,0.004618,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422715960-ORNL_DAAC,FIFE_IRT_GRND.91662437.i03,ORNL_DAAC,1,2017-09-28T15:56:51Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i03,0.004267,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422715963-ORNL_DAAC,FIFE_IRT_GRND.91662437.i01,ORNL_DAAC,1,2017-09-28T15:56:53Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i01,0.004217,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422715966-ORNL_DAAC,FIFE_IRT_GRND.91662437.i15,ORNL_DAAC,1,2017-09-28T15:56:54Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i15,0.002453,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422715971-ORNL_DAAC,FIFE_IRT_GRND.91662437.i14,ORNL_DAAC,1,2017-09-28T15:56:57Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i14,0.002956,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422715977-ORNL_DAAC,FIFE_IRT_GRND.91662437.i02,ORNL_DAAC,1,2017-09-28T15:56:59Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i02,0.00443,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422715978-ORNL_DAAC,FIFE_IRT_GRND.91662437.i09,ORNL_DAAC,1,2017-09-28T15:57:00Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i09,0.004295,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422715988-ORNL_DAAC,FIFE_IRT_GRND.91662437.i06,ORNL_DAAC,1,2017-09-28T15:57:05Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i06,0.004376,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422716029-ORNL_DAAC,FIFE_IRT_GRND.91662437.i99,ORNL_DAAC,1,2017-09-28T15:57:16Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i99,0.007269,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422716037-ORNL_DAAC,FIFE_IRT_GRND.91662437.i05,ORNL_DAAC,1,2017-09-28T15:57:19Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i05,0.003749,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422716043-ORNL_DAAC,FIFE_IRT_GRND.91662437.i10,ORNL_DAAC,1,2017-09-28T15:57:20Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i10,0.004404,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1422716047-ORNL_DAAC,FIFE_IRT_GRND.91662437.i12,ORNL_DAAC,1,2017-09-28T15:57:22Z,1994-07-24T00:00:00.000Z,FIFE_IRT_GRND_72,FIFE_IRT_GRND.91662437.i12,0.003817,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
