cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422691832-ORNL_DAAC,FIFE_PHO_BOX.71822655.psb,ORNL_DAAC,1,2017-09-28T15:38:45Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.71822655.psb,0.001384,,Both,1987-07-01T00:00:00.000Z,1987-07-01T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691782-ORNL_DAAC,FIFE_PHO_BOX.71832133.psb,ORNL_DAAC,1,2017-09-28T15:38:42Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.71832133.psb,0.001456,,Both,1987-07-02T00:00:00.000Z,1987-07-02T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691900-ORNL_DAAC,FIFE_PHO_BOX.71842043.psb,ORNL_DAAC,1,2017-09-28T15:38:47Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.71842043.psb,0.000683,,Both,1987-07-03T00:00:00.000Z,1987-07-03T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691719-ORNL_DAAC,FIFE_PHO_BOX.71874439.psb,ORNL_DAAC,1,2017-09-28T15:38:38Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.71874439.psb,0.001216,,Both,1987-07-06T00:00:00.000Z,1987-07-06T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422692208-ORNL_DAAC,FIFE_PHO_BOX.71902133.psb,ORNL_DAAC,1,2017-09-28T15:38:50Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.71902133.psb,0.001253,,Both,1987-07-09T00:00:00.000Z,1987-07-09T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691853-ORNL_DAAC,FIFE_PHO_BOX.71916943.psb,ORNL_DAAC,1,2017-09-28T15:38:46Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.71916943.psb,0.001211,,Both,1987-07-10T00:00:00.000Z,1987-07-10T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691768-ORNL_DAAC,FIFE_PHO_BOX.71962133.psb,ORNL_DAAC,1,2017-09-28T15:38:41Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.71962133.psb,0.001161,,Both,1987-07-15T00:00:00.000Z,1987-07-15T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691726-ORNL_DAAC,FIFE_PHO_BOX.72054439.psb,ORNL_DAAC,1,2017-09-28T15:38:38Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.72054439.psb,0.000885,,Both,1987-07-24T00:00:00.000Z,1987-07-24T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691803-ORNL_DAAC,FIFE_PHO_BOX.72086943.psb,ORNL_DAAC,1,2017-09-28T15:38:44Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.72086943.psb,0.001201,,Both,1987-07-27T00:00:00.000Z,1987-07-27T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691762-ORNL_DAAC,FIFE_PHO_BOX.72092133.psb,ORNL_DAAC,1,2017-09-28T15:38:41Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.72092133.psb,0.00124,,Both,1987-07-28T00:00:00.000Z,1987-07-28T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691789-ORNL_DAAC,FIFE_PHO_BOX.72092043.psb,ORNL_DAAC,1,2017-09-28T15:38:43Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.72092043.psb,0.00077,,Both,1987-07-28T00:00:00.000Z,1987-07-28T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691733-ORNL_DAAC,FIFE_PHO_BOX.72112043.psb,ORNL_DAAC,1,2017-09-28T15:38:39Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.72112043.psb,0.000596,,Both,1987-07-30T00:00:00.000Z,1987-07-30T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691860-ORNL_DAAC,FIFE_PHO_BOX.72114439.psb,ORNL_DAAC,1,2017-09-28T15:38:46Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.72114439.psb,0.000596,,Both,1987-07-30T00:00:00.000Z,1987-07-30T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
granule,G1422691750-ORNL_DAAC,FIFE_PHO_BOX.72122655.psb,ORNL_DAAC,1,2017-09-28T15:38:40Z,1994-07-24T00:00:00.000Z,FIFE_PHO_BOX_27,FIFE_PHO_BOX.72122655.psb,0.00099,,Both,1987-07-31T00:00:00.000Z,1987-07-31T00:00:00.000Z,39.0061,39.095,-96.5542,-96.5019,"POLYGON ((-96.50190000000001 39.0061, -96.50190000000001 39.095, -96.55419999999999 39.095, -96.55419999999999 39.0061, -96.50190000000001 39.0061))"
