cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1424954561-ORNL_DAAC,FIFE_SE_UNL.91662437.u39,ORNL_DAAC,1,2017-10-04T17:04:09Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u39,0.031604,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954562-ORNL_DAAC,FIFE_SE_UNL.91662437.u02,ORNL_DAAC,1,2017-10-04T17:04:09Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u02,0.041144,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954564-ORNL_DAAC,FIFE_SE_UNL.91662437.u52,ORNL_DAAC,1,2017-10-04T17:04:10Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u52,0.042967,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954572-ORNL_DAAC,FIFE_SE_UNL.91662437.ua6,ORNL_DAAC,1,2017-10-04T17:04:14Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.ua6,0.041444,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954574-ORNL_DAAC,FIFE_SE_UNL.91662437.u58,ORNL_DAAC,1,2017-10-04T17:04:15Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u58,0.011159,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954585-ORNL_DAAC,FIFE_SE_UNL.91662437.u56,ORNL_DAAC,1,2017-10-04T17:04:21Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u56,0.032305,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954603-ORNL_DAAC,FIFE_SE_UNL.91662437.u50,ORNL_DAAC,1,2017-10-04T17:04:24Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u50,0.032044,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954605-ORNL_DAAC,FIFE_SE_UNL.91662437.u25,ORNL_DAAC,1,2017-10-04T17:04:24Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u25,0.041585,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954611-ORNL_DAAC,FIFE_SE_UNL.91662437.u92,ORNL_DAAC,1,2017-10-04T17:04:26Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u92,0.010697,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954627-ORNL_DAAC,FIFE_SE_UNL.91662437.u81,ORNL_DAAC,1,2017-10-04T17:04:35Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u81,0.030977,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954631-ORNL_DAAC,FIFE_SE_UNL.91662437.u61,ORNL_DAAC,1,2017-10-04T17:04:37Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u61,0.031217,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954633-ORNL_DAAC,FIFE_SE_UNL.91662437.u19,ORNL_DAAC,1,2017-10-04T17:04:38Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u19,0.020214,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
granule,G1424954638-ORNL_DAAC,FIFE_SE_UNL.91662437.u29,ORNL_DAAC,1,2017-10-04T17:04:40Z,1994-07-24T00:00:00.000Z,FIFE_SE_UNL_82,FIFE_SE_UNL.91662437.u29,0.03121,,Night,1989-06-15T00:00:00.000Z,1989-06-15T00:00:00.000Z,39.0517,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 39.0517, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 39.0517, -96.5411 39.0517))"
