cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422688932-ORNL_DAAC,FIFE_SODAR.71462731.sod,ORNL_DAAC,1,2017-09-28T15:35:51Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71462731.sod,0.010242,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688901-ORNL_DAAC,FIFE_SODAR.71472731.sod,ORNL_DAAC,1,2017-09-28T15:35:49Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71472731.sod,0.012865,,Both,1987-05-27T00:00:00.000Z,1987-05-27T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688746-ORNL_DAAC,FIFE_SODAR.71482731.sod,ORNL_DAAC,1,2017-09-28T15:35:39Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71482731.sod,0.012831,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688817-ORNL_DAAC,FIFE_SODAR.71492731.sod,ORNL_DAAC,1,2017-09-28T15:35:44Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71492731.sod,0.012834,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688824-ORNL_DAAC,FIFE_SODAR.71502731.sod,ORNL_DAAC,1,2017-09-28T15:35:44Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71502731.sod,0.012821,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688941-ORNL_DAAC,FIFE_SODAR.71512731.sod,ORNL_DAAC,1,2017-09-28T15:35:51Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71512731.sod,0.012817,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688831-ORNL_DAAC,FIFE_SODAR.71522731.sod,ORNL_DAAC,1,2017-09-28T15:35:44Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71522731.sod,0.012837,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688782-ORNL_DAAC,FIFE_SODAR.71532731.sod,ORNL_DAAC,1,2017-09-28T15:35:41Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71532731.sod,0.012841,,Both,1987-06-02T00:00:00.000Z,1987-06-02T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688703-ORNL_DAAC,FIFE_SODAR.71542731.sod,ORNL_DAAC,1,2017-09-28T15:35:37Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71542731.sod,0.012824,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688753-ORNL_DAAC,FIFE_SODAR.71552731.sod,ORNL_DAAC,1,2017-09-28T15:35:40Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71552731.sod,0.01283,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688624-ORNL_DAAC,FIFE_SODAR.71562731.sod,ORNL_DAAC,1,2017-09-28T15:35:32Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71562731.sod,0.012824,,Both,1987-06-05T00:00:00.000Z,1987-06-05T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688761-ORNL_DAAC,FIFE_SODAR.71572731.sod,ORNL_DAAC,1,2017-09-28T15:35:40Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71572731.sod,0.012819,,Both,1987-06-06T00:00:00.000Z,1987-06-06T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688848-ORNL_DAAC,FIFE_SODAR.71582731.sod,ORNL_DAAC,1,2017-09-28T15:35:45Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71582731.sod,0.002995,,Both,1987-06-07T00:00:00.000Z,1987-06-07T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422688887-ORNL_DAAC,FIFE_SODAR.71752731.sod,ORNL_DAAC,1,2017-09-28T15:35:48Z,1994-07-24T00:00:00.000Z,FIFE_SODAR_18,FIFE_SODAR.71752731.sod,0.010277,,Both,1987-06-24T00:00:00.000Z,1987-06-24T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
