cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422724292-ORNL_DAAC,FIFE_SOIL_CO2.92054439.scf,ORNL_DAAC,1,2017-09-28T16:05:31Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92054439.scf,0.002301,,Both,1989-07-24T00:00:00.000Z,1989-07-24T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
granule,G1422724227-ORNL_DAAC,FIFE_SOIL_CO2.92064439.scf,ORNL_DAAC,1,2017-09-28T16:05:30Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92064439.scf,0.002331,,Both,1989-07-25T00:00:00.000Z,1989-07-25T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
granule,G1422723618-ORNL_DAAC,FIFE_SOIL_CO2.92074439.scf,ORNL_DAAC,1,2017-09-28T16:05:09Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92074439.scf,0.001971,,Both,1989-07-26T00:00:00.000Z,1989-07-26T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
granule,G1422723720-ORNL_DAAC,FIFE_SOIL_CO2.92078739.scf,ORNL_DAAC,1,2017-09-28T16:05:12Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92078739.scf,0.001701,,Both,1989-07-26T00:00:00.000Z,1989-07-26T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
granule,G1422723882-ORNL_DAAC,FIFE_SOIL_CO2.92072133.scf,ORNL_DAAC,1,2017-09-28T16:05:24Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92072133.scf,0.002618,,Both,1989-07-26T00:00:00.000Z,1989-07-26T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
granule,G1422723530-ORNL_DAAC,FIFE_SOIL_CO2.92084439.scf,ORNL_DAAC,1,2017-09-28T16:05:07Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92084439.scf,0.002948,,Both,1989-07-27T00:00:00.000Z,1989-07-27T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
granule,G1422723910-ORNL_DAAC,FIFE_SOIL_CO2.92082133.scf,ORNL_DAAC,1,2017-09-28T16:05:24Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92082133.scf,0.001489,,Both,1989-07-27T00:00:00.000Z,1989-07-27T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
granule,G1422723966-ORNL_DAAC,FIFE_SOIL_CO2.92092133.scf,ORNL_DAAC,1,2017-09-28T16:05:25Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92092133.scf,0.000859,,Both,1989-07-28T00:00:00.000Z,1989-07-28T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
granule,G1422724170-ORNL_DAAC,FIFE_SOIL_CO2.92094439.scf,ORNL_DAAC,1,2017-09-28T16:05:29Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92094439.scf,0.001927,,Both,1989-07-28T00:00:00.000Z,1989-07-28T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
granule,G1422723381-ORNL_DAAC,FIFE_SOIL_CO2.92102133.scf,ORNL_DAAC,1,2017-09-28T16:05:04Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_CO2_105,FIFE_SOIL_CO2.92102133.scf,0.002121,,Both,1989-07-29T00:00:00.000Z,1989-07-29T00:00:00.000Z,38.9753,39.0928,-96.5533,-96.5411,"POLYGON ((-96.5411 38.9753, -96.5411 39.0928, -96.55329999999999 39.0928, -96.55329999999999 38.9753, -96.5411 38.9753))"
