cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422724587-ORNL_DAAC,FIFE_SOIL_GAS.71485926.sgf,ORNL_DAAC,1,2017-09-28T16:05:36Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71485926.sgf,0.004539,,Day,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724667-ORNL_DAAC,FIFE_SOIL_GAS.71483414.sgf,ORNL_DAAC,1,2017-09-28T16:05:38Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71483414.sgf,0.008601,,Day,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724700-ORNL_DAAC,FIFE_SOIL_GAS.71482043.sgf,ORNL_DAAC,1,2017-09-28T16:05:39Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71482043.sgf,0.012689,,Day,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724704-ORNL_DAAC,FIFE_SOIL_GAS.71483221.sgf,ORNL_DAAC,1,2017-09-28T16:05:40Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71483221.sgf,0.004546,,Day,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724707-ORNL_DAAC,FIFE_SOIL_GAS.71482731.sgf,ORNL_DAAC,1,2017-09-28T16:05:41Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71482731.sgf,0.008552,,Day,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724708-ORNL_DAAC,FIFE_SOIL_GAS.71481916.sgf,ORNL_DAAC,1,2017-09-28T16:05:42Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71481916.sgf,0.004522,,Day,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724520-ORNL_DAAC,FIFE_SOIL_GAS.71791916.sgf,ORNL_DAAC,1,2017-09-28T16:05:35Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71791916.sgf,0.004486,,Day,1987-06-28T00:00:00.000Z,1987-06-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724548-ORNL_DAAC,FIFE_SOIL_GAS.71792043.sgf,ORNL_DAAC,1,2017-09-28T16:05:36Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71792043.sgf,0.012621,,Day,1987-06-28T00:00:00.000Z,1987-06-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724691-ORNL_DAAC,FIFE_SOIL_GAS.71795926.sgf,ORNL_DAAC,1,2017-09-28T16:05:38Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71795926.sgf,0.004532,,Day,1987-06-28T00:00:00.000Z,1987-06-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724693-ORNL_DAAC,FIFE_SOIL_GAS.71792731.sgf,ORNL_DAAC,1,2017-09-28T16:05:39Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71792731.sgf,0.008511,,Day,1987-06-28T00:00:00.000Z,1987-06-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724705-ORNL_DAAC,FIFE_SOIL_GAS.71793414.sgf,ORNL_DAAC,1,2017-09-28T16:05:40Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71793414.sgf,0.008582,,Day,1987-06-28T00:00:00.000Z,1987-06-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
granule,G1422724706-ORNL_DAAC,FIFE_SOIL_GAS.71793221.sgf,ORNL_DAAC,1,2017-09-28T16:05:41Z,1994-07-24T00:00:00.000Z,FIFE_SOIL_GAS_106,FIFE_SOIL_GAS.71793221.sgf,0.004542,,Day,1987-06-28T00:00:00.000Z,1987-06-28T00:00:00.000Z,39.0256,39.0989,-96.5975,-96.5308,"POLYGON ((-96.5308 39.0256, -96.5308 39.0989, -96.5975 39.0989, -96.5975 39.0256, -96.5308 39.0256))"
