cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1664772388-PODAAC,20020601090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:29:51Z,2015-08-19T19:33:18.462Z,MUR-JPL-L4-GLOB-v4.1,20020601090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,332.35974979400635,,Unspecified,2002-06-01T09:00:00.000Z,2002-06-01T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664777267-PODAAC,20020602090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:40:20Z,2015-08-19T19:31:03.105Z,MUR-JPL-L4-GLOB-v4.1,20020602090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,331.33482456207275,,Unspecified,2002-06-02T09:00:00.000Z,2002-06-02T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664777275-PODAAC,20020603090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:40:21Z,2015-08-19T19:32:32.948Z,MUR-JPL-L4-GLOB-v4.1,20020603090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,329.771671295166,,Unspecified,2002-06-03T09:00:00.000Z,2002-06-03T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664779141-PODAAC,20020604090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:44:55Z,2015-08-19T19:35:14.196Z,MUR-JPL-L4-GLOB-v4.1,20020604090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,327.5539598464966,,Unspecified,2002-06-04T09:00:00.000Z,2002-06-04T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664777247-PODAAC,20020605090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:40:17Z,2015-08-19T19:30:38.111Z,MUR-JPL-L4-GLOB-v4.1,20020605090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,318.64849376678467,,Unspecified,2002-06-05T09:00:00.000Z,2002-06-05T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664773829-PODAAC,20020606090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:33:11Z,2015-08-19T19:34:35.618Z,MUR-JPL-L4-GLOB-v4.1,20020606090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,310.25645446777344,,Unspecified,2002-06-06T09:00:00.000Z,2002-06-06T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664774358-PODAAC,20020607090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:34:16Z,2015-08-19T19:26:43.980Z,MUR-JPL-L4-GLOB-v4.1,20020607090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,316.9076223373413,,Unspecified,2002-06-07T09:00:00.000Z,2002-06-07T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664779133-PODAAC,20020608090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:44:54Z,2015-08-19T19:33:29.406Z,MUR-JPL-L4-GLOB-v4.1,20020608090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,327.881872177124,,Unspecified,2002-06-08T09:00:00.000Z,2002-06-08T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664773751-PODAAC,20020609090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:33:07Z,2015-08-19T19:27:35.415Z,MUR-JPL-L4-GLOB-v4.1,20020609090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,328.56553649902344,,Unspecified,2002-06-09T09:00:00.000Z,2002-06-09T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664774368-PODAAC,20020610090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:34:17Z,2015-08-19T19:28:50.109Z,MUR-JPL-L4-GLOB-v4.1,20020610090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,327.50969791412354,,Unspecified,2002-06-10T09:00:00.000Z,2002-06-10T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664774376-PODAAC,20020611090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:34:19Z,2015-08-19T19:31:32.900Z,MUR-JPL-L4-GLOB-v4.1,20020611090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,326.52643299102783,,Unspecified,2002-06-11T09:00:00.000Z,2002-06-11T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664774383-PODAAC,20020612090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:34:20Z,2015-08-19T19:31:36.269Z,MUR-JPL-L4-GLOB-v4.1,20020612090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,325.264199256897,,Unspecified,2002-06-12T09:00:00.000Z,2002-06-12T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664772380-PODAAC,20020613090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:29:50Z,2015-08-19T19:32:49.642Z,MUR-JPL-L4-GLOB-v4.1,20020613090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,325.2328824996948,,Unspecified,2002-06-13T09:00:00.000Z,2002-06-13T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664777213-PODAAC,20020614090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:40:15Z,2015-08-19T19:26:41.670Z,MUR-JPL-L4-GLOB-v4.1,20020614090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,324.20243072509766,,Unspecified,2002-06-14T09:00:00.000Z,2002-06-14T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664777283-PODAAC,20020615090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:40:23Z,2015-08-19T19:33:39.220Z,MUR-JPL-L4-GLOB-v4.1,20020615090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,322.5335006713867,,Unspecified,2002-06-15T09:00:00.000Z,2002-06-15T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664779081-PODAAC,20020616090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:44:45Z,2015-08-19T19:27:24.544Z,MUR-JPL-L4-GLOB-v4.1,20020616090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,321.10267162323,,Unspecified,2002-06-16T09:00:00.000Z,2002-06-16T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664772365-PODAAC,20020617090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:29:48Z,2015-08-19T19:27:58.178Z,MUR-JPL-L4-GLOB-v4.1,20020617090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,320.0320739746094,,Unspecified,2002-06-17T09:00:00.000Z,2002-06-17T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664779090-PODAAC,20020618090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:44:46Z,2015-08-19T19:28:48.964Z,MUR-JPL-L4-GLOB-v4.1,20020618090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,320.34852504730225,,Unspecified,2002-06-18T09:00:00.000Z,2002-06-18T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
granule,G1664772372-PODAAC,20020619090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,PODAAC,1,2019-12-06T16:29:49Z,2015-08-19T19:28:19.021Z,MUR-JPL-L4-GLOB-v4.1,20020619090000-JPL-L4_GHRSST-SSTfnd-MUR-GLOB-v02.0-fv04.1.nc,322.09290409088135,,Unspecified,2002-06-19T09:00:00.000Z,2002-06-19T09:00:00.000Z,-87.3,53.855,-179.641,58.885,"POLYGON ((58.885 -87.3, 58.885 53.855, -179.641 53.855, -179.641 -87.3, 58.885 -87.3))"
