cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266296369-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970904_v004-20130603T205559Z.h5,GES_DISC,2,2018-03-21T16:48:26Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970904_v004-20130603T205559Z.h5,2.078230857849121,,Day,1997-09-04T00:00:00.000Z,1997-09-04T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266296437-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970906_v004-20130603T205603Z.h5,GES_DISC,2,2018-03-21T16:48:38Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970906_v004-20130603T205603Z.h5,2.472060203552246,,Day,1997-09-06T00:00:00.000Z,1997-09-06T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266296382-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970909_v004-20130603T205611Z.h5,GES_DISC,2,2018-03-21T16:48:23Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970909_v004-20130603T205611Z.h5,3.740153312683105,,Day,1997-09-09T00:00:00.000Z,1997-09-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266296179-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970910_v004-20130603T205615Z.h5,GES_DISC,2,2018-03-21T16:48:06Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970910_v004-20130603T205615Z.h5,3.130307197570801,,Day,1997-09-10T00:00:00.000Z,1997-09-10T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266291078-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970915_v004-20130603T205627Z.h5,GES_DISC,2,2018-03-21T16:50:37Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970915_v004-20130603T205627Z.h5,4.056293487548828,,Day,1997-09-15T00:00:00.000Z,1997-09-15T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266296302-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970916_v004-20130603T205632Z.h5,GES_DISC,2,2018-03-21T16:48:08Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970916_v004-20130603T205632Z.h5,6.928144454956055,,Day,1997-09-16T00:00:00.000Z,1997-09-16T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266296452-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970918_v004-20130603T205641Z.h5,GES_DISC,2,2018-03-21T16:48:37Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970918_v004-20130603T205641Z.h5,3.765830993652344,,Day,1997-09-18T00:00:00.000Z,1997-09-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266296309-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970919_v004-20130603T205647Z.h5,GES_DISC,2,2018-03-21T16:48:12Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970919_v004-20130603T205647Z.h5,8.373687744140625,,Day,1997-09-19T00:00:00.000Z,1997-09-19T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266296420-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970920_v004-20130603T205701Z.h5,GES_DISC,2,2018-03-21T16:48:31Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970920_v004-20130603T205701Z.h5,9.369478225708008,,Day,1997-09-20T00:00:00.000Z,1997-09-20T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266296360-GES_DISC,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970921_v004-20130603T205710Z.h5,GES_DISC,2,2018-03-21T16:48:21Z,2013-06-25T15:47:31.000Z,SWDB_L305,SWDB_L305.004:DeepBlue-SeaWiFS-0.5_L3_19970921_v004-20130603T205710Z.h5,9.238292694091797,,Day,1997-09-21T00:00:00.000Z,1997-09-21T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
