cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1550715945-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.boston_university_CO2_obs_2013_09.csv,ORNL_DAAC,1,2018-09-28T12:16:16Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.boston_university_CO2_obs_2013_09.csv,0.038318,,Both,2013-09-01T00:00:00.000Z,2013-09-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1550715947-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.hysplit2013x09x42.350Nx71.104Wx00029M-nc.tar,ORNL_DAAC,1,2018-09-28T12:16:17Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.hysplit2013x09x42.350Nx71.104Wx00029M-nc.tar,3902.11072,,Both,2013-09-01T00:00:00.000Z,2013-09-30T00:00:00.000Z,41.54,43.16,-72.18,-70.0,"POLYGON ((-70 41.54, -70 43.16, -72.18000000000001 43.16, -72.18000000000001 41.54, -70 41.54))"
granule,G1550715961-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.hysplit2013x09x42.347Nx71.084Wx00155M-nc.tar,ORNL_DAAC,1,2018-09-28T12:16:17Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.hysplit2013x09x42.347Nx71.084Wx00155M-nc.tar,3635.56864,,Both,2013-09-01T00:00:00.000Z,2013-09-30T00:00:00.000Z,41.54,43.16,-72.18,-70.0,"POLYGON ((-70 41.54, -70 43.16, -72.18000000000001 43.16, -72.18000000000001 41.54, -70 41.54))"
granule,G1550716002-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.boundary_CO2_2013_09.csv,ORNL_DAAC,1,2018-09-28T12:16:23Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.boundary_CO2_2013_09.csv,2.111972,,Both,2013-09-01T00:00:00.000Z,2013-09-30T00:00:00.000Z,41.35,43.709,-72.171,-70.527,"POLYGON ((-70.527 41.35, -70.527 43.709, -72.17100000000001 43.709, -72.17100000000001 41.35, -70.527 41.35))"
granule,G1550716007-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.copley_square_CO2_obs_2013_09.csv,ORNL_DAAC,1,2018-09-28T12:16:23Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.copley_square_CO2_obs_2013_09.csv,0.038195,,Both,2013-09-01T00:00:00.000Z,2013-09-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1550715937-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.boston_university_CO2_obs_2013_10.csv,ORNL_DAAC,1,2018-09-28T12:16:16Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.boston_university_CO2_obs_2013_10.csv,0.040924,,Both,2013-10-01T00:00:00.000Z,2013-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1550715943-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.hysplit2013x10x42.347Nx71.084Wx00155M-nc.tar,ORNL_DAAC,1,2018-09-28T12:16:16Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.hysplit2013x10x42.347Nx71.084Wx00155M-nc.tar,3982.24384,,Both,2013-10-01T00:00:00.000Z,2013-10-31T00:00:00.000Z,41.54,43.16,-72.18,-70.0,"POLYGON ((-70 41.54, -70 43.16, -72.18000000000001 43.16, -72.18000000000001 41.54, -70 41.54))"
granule,G1550715977-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.boundary_CO2_2013_10.csv,ORNL_DAAC,1,2018-09-28T12:16:17Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.boundary_CO2_2013_10.csv,2.495653,,Both,2013-10-01T00:00:00.000Z,2013-10-31T00:00:00.000Z,41.35,43.709,-72.171,-70.527,"POLYGON ((-70.527 41.35, -70.527 43.709, -72.17100000000001 43.709, -72.17100000000001 41.35, -70.527 41.35))"
granule,G1550715986-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.copley_square_CO2_obs_2013_10.csv,ORNL_DAAC,1,2018-09-28T12:16:22Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.copley_square_CO2_obs_2013_10.csv,0.040186,,Both,2013-10-01T00:00:00.000Z,2013-10-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1550716010-ORNL_DAAC,NACP_NAM_HYSPLIT_Footprints.hysplit2013x10x42.350Nx71.104Wx00029M-nc.tar,ORNL_DAAC,1,2018-09-28T12:16:23Z,2018-09-26T00:00:00.000Z,NACP_NAM_HYSPLIT_Footprints_1586,NACP_NAM_HYSPLIT_Footprints.hysplit2013x10x42.350Nx71.104Wx00029M-nc.tar,4379.38176,,Both,2013-10-01T00:00:00.000Z,2013-10-31T00:00:00.000Z,41.54,43.16,-72.18,-70.0,"POLYGON ((-70 41.54, -70 43.16, -72.18000000000001 43.16, -72.18000000000001 41.54, -70 41.54))"
