cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1650098244-ORNL_DAAC,NACP_Urban_C_Data.salt_lake_city_co2_background_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:34Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.salt_lake_city_co2_background_1_hour_R0_2019-07-01.nc,0.413401,,Both,2000-01-01T01:00:00.000Z,2018-06-13T11:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098282-ORNL_DAAC,NACP_Urban_C_Data.salt_lake_city_co2_UOU_36m_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:40Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.salt_lake_city_co2_UOU_36m_1_hour_R0_2019-07-01.nc,2.284646,,Both,2001-02-08T00:00:00.000Z,2018-07-31T23:00:00.000Z,40.7634,40.7663,-111.848,-111.848,"POLYGON ((-111.848 40.7634, -111.848 40.7663, -111.848 40.7663, -111.848 40.7634))"
granule,G1650098316-ORNL_DAAC,NACP_Urban_C_Data.salt_lake_city_co2_DBK_5m_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:45Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.salt_lake_city_co2_DBK_5m_1_hour_R0_2019-07-01.nc,1.521347,,Both,2004-01-22T03:00:00.000Z,2018-05-09T21:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098267-ORNL_DAAC,NACP_Urban_C_Data.salt_lake_city_co2_MUR_6m_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:40Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.salt_lake_city_co2_MUR_6m_1_hour_R0_2019-07-01.nc,1.160069,,Both,2005-01-07T18:00:00.000Z,2013-08-02T17:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098298-ORNL_DAAC,NACP_Urban_C_Data.salt_lake_city_co2_SUG_4m_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:40Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.salt_lake_city_co2_SUG_4m_1_hour_R0_2019-07-01.nc,1.579033,,Both,2005-01-11T15:00:00.000Z,2018-03-30T15:00:00.000Z,40.7306,40.7398,-111.87,-111.858,"POLYGON ((-111.858 40.7306, -111.858 40.7398, -111.87 40.7398, -111.87 40.7306, -111.858 40.7306))"
granule,G1650098338-ORNL_DAAC,NACP_Urban_C_Data.salt_lake_city_co2_RPK_4m_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:45Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.salt_lake_city_co2_RPK_4m_1_hour_R0_2019-07-01.nc,1.114563,,Both,2009-03-13T22:00:00.000Z,2018-07-31T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098347-ORNL_DAAC,NACP_Urban_C_Data.portland_co2_PSU_21m_1_hour_R0_2019-07-30.nc,ORNL_DAAC,1,2019-11-01T10:59:46Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.portland_co2_PSU_21m_1_hour_R0_2019-07-30.nc,0.328267,,Both,2009-07-14T10:00:00.000Z,2012-09-21T11:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098230-ORNL_DAAC,NACP_Urban_C_Data.portland_co2_SEL_9m_1_hour_R0_2019-07-30.nc,ORNL_DAAC,1,2019-11-01T10:59:34Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.portland_co2_SEL_9m_1_hour_R0_2019-07-30.nc,0.414196,,Both,2009-07-17T13:00:00.000Z,2012-09-21T13:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098295-ORNL_DAAC,NACP_Urban_C_Data.portland_co2_SIS_7m_1_hour_R0_2019-07-30.nc,ORNL_DAAC,1,2019-11-01T10:59:40Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.portland_co2_SIS_7m_1_hour_R0_2019-07-30.nc,0.423272,,Both,2009-07-22T10:00:00.000Z,2012-09-21T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098378-ORNL_DAAC,NACP_Urban_C_Data.indianapolis_co2_SITE01_121M_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:51Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.indianapolis_co2_SITE01_121M_1_hour_R0_2019-07-01.nc,0.812339,,Both,2011-01-01T00:00:00.000Z,2018-12-31T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098275-ORNL_DAAC,NACP_Urban_C_Data.indianapolis_ch4_SITE02_136M_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:40Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.indianapolis_ch4_SITE02_136M_1_hour_R0_2019-07-01.nc,0.105366,,Both,2011-04-09T03:00:00.000Z,2011-12-31T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098318-ORNL_DAAC,NACP_Urban_C_Data.indianapolis_co2_SITE02_136M_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:45Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.indianapolis_co2_SITE02_136M_1_hour_R0_2019-07-01.nc,0.121763,,Both,2011-04-09T03:00:00.000Z,2011-12-31T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098373-ORNL_DAAC,NACP_Urban_C_Data.indianapolis_co_SITE02_136M_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:51Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.indianapolis_co_SITE02_136M_1_hour_R0_2019-07-01.nc,0.103067,,Both,2011-04-09T03:00:00.000Z,2011-12-31T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098286-ORNL_DAAC,NACP_Urban_C_Data.indianapolis_co2_SITE07_58M_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:40Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.indianapolis_co2_SITE07_58M_1_hour_R0_2019-07-01.nc,0.664166,,Both,2012-04-02T00:00:00.000Z,2018-12-31T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098232-ORNL_DAAC,NACP_Urban_C_Data.indianapolis_co2_SITE05_125M_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:34Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.indianapolis_co2_SITE05_125M_1_hour_R0_2019-07-01.nc,0.40748,,Both,2012-05-01T01:00:00.000Z,2015-09-27T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650098238-ORNL_DAAC,NACP_Urban_C_Data.indianapolis_co_SITE05_125M_1_hour_R0_2019-07-01.nc,ORNL_DAAC,1,2019-11-01T10:59:34Z,2019-10-31T00:00:00.000Z,NACP_Urban_C_Data_1743,NACP_Urban_C_Data.indianapolis_co_SITE05_125M_1_hour_R0_2019-07-01.nc,0.240287,,Both,2012-05-01T01:00:00.000Z,2014-11-10T17:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
