cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1646368256-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.elevation_utm_20170708171612.tif,ORNL_DAAC,1,2019-10-15T22:11:31Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.elevation_utm_20170708171612.tif,142.251052,,Both,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,53.7311,53.9666,-106.416,-104.364,"POLYGON ((-104.364 53.7311, -104.364 53.9666, -106.416 53.9666, -106.416 53.7311, -104.364 53.7311))"
granule,G1646368398-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.ABoVE.AirSWOT_Radar.2017189161653.Ch089v107.001.2018139101437.tif,ORNL_DAAC,1,2019-10-15T22:11:49Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.ABoVE.AirSWOT_Radar.2017189161653.Ch089v107.001.2018139101437.tif,308.77821,,Both,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,52.2007,52.5077,-106.846,-106.339,"POLYGON ((-106.339 52.2007, -106.339 52.5077, -106.846 52.5077, -106.846 52.2007, -106.339 52.2007))"
granule,G1646368403-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.ABoVE.AirSWOT_Radar.2017189171612.Ch095v102.001.2018228000017.tif,ORNL_DAAC,1,2019-10-15T22:11:49Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.ABoVE.AirSWOT_Radar.2017189171612.Ch095v102.001.2018228000017.tif,64.468661,,Both,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,53.7556,54.0287,-104.483,-104.32,"POLYGON ((-104.32 53.7556, -104.32 54.0287, -104.483 54.0287, -104.483 53.7556, -104.32 53.7556))"
granule,G1646368475-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.AirSWOT_Radar_TileIndex.zip,ORNL_DAAC,1,2019-10-15T22:11:56Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.AirSWOT_Radar_TileIndex.zip,2.331618,,Both,2017-07-08T00:00:00.000Z,2017-08-17T00:00:00.000Z,46.8707,70.431,-149.121,-98.651,"POLYGON ((-98.651 46.8707, -98.651 70.431, -149.121 70.431, -149.121 46.8707, -98.651 46.8707))"
granule,G1646368510-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.ABoVE.AirSWOT_Radar.2017189163954.Ch089v105.001.2018139003155.tif,ORNL_DAAC,1,2019-10-15T22:12:01Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.ABoVE.AirSWOT_Radar.2017189163954.Ch089v105.001.2018139003155.tif,203.36165,,Both,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,52.7301,53.0372,-106.991,-106.477,"POLYGON ((-106.477 52.7301, -106.477 53.0372, -106.991 53.0372, -106.991 52.7301, -106.477 52.7301))"
granule,G1646368518-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.ABoVE.AirSWOT_Radar.2017189163954.Ch090v105.001.2018139003155.tif,ORNL_DAAC,1,2019-10-15T22:12:02Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.ABoVE.AirSWOT_Radar.2017189163954.Ch090v105.001.2018139003155.tif,243.463849,,Both,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,52.7726,53.0782,-106.546,-106.034,"POLYGON ((-106.034 52.7726, -106.034 53.0782, -106.546 53.0782, -106.546 52.7726, -106.034 52.7726))"
granule,G1646368561-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.error_bar_utm_20170708163954.tif,ORNL_DAAC,1,2019-10-15T22:12:08Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.error_bar_utm_20170708163954.tif,311.236241,,Both,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,52.5281,53.9377,-107.058,-105.053,"POLYGON ((-105.053 52.5281, -105.053 53.9377, -107.058 53.9377, -107.058 52.5281, -105.053 52.5281))"
granule,G1646368589-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.magnitude_utm_20170708171612.tif,ORNL_DAAC,1,2019-10-15T22:12:08Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.magnitude_utm_20170708171612.tif,169.729589,,Both,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,53.7311,53.9666,-106.416,-104.364,"POLYGON ((-104.364 53.7311, -104.364 53.9666, -106.416 53.9666, -106.416 53.7311, -104.364 53.7311))"
granule,G1646368659-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.elevation_utm_20170708161653.tif,ORNL_DAAC,1,2019-10-15T22:12:14Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.elevation_utm_20170708161653.tif,128.291898,,Both,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,52.1418,52.7424,-107.218,-105.975,"POLYGON ((-105.975 52.1418, -105.975 52.7424, -107.218 52.7424, -107.218 52.1418, -105.975 52.1418))"
granule,G1646368673-ORNL_DAAC,ABoVE_AirSWOT_Radar_Data.incidence_angle_utm_20170708171612.tif,ORNL_DAAC,1,2019-10-15T22:12:19Z,2019-03-29T00:00:00.000Z,ABoVE_AirSWOT_Radar_Data_1646,ABoVE_AirSWOT_Radar_Data.incidence_angle_utm_20170708171612.tif,156.395035,,Both,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,53.7311,53.9666,-106.416,-104.364,"POLYGON ((-104.364 53.7311, -104.364 53.9666, -106.416 53.9666, -106.416 53.7311, -104.364 53.7311))"
