cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1646367765-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S02X_Ch080v095.tif,ORNL_DAAC,1,2019-10-15T22:09:44Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S02X_Ch080v095.tif,142.965189,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,55.0765,55.1449,-111.988,-111.893,"POLYGON ((-111.893 55.0765, -111.893 55.1449, -111.988 55.1449, -111.988 55.0765, -111.893 55.0765))"
granule,G1646367768-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch087v103.tif,ORNL_DAAC,1,2019-10-15T22:09:44Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch087v103.tif,1464.24336,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,53.22,53.3746,-108.004,-107.526,"POLYGON ((-107.526 53.22, -107.526 53.3746, -108.004 53.3746, -108.004 53.22, -107.526 53.22))"
granule,G1646367769-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S02X_Ch081v091.tif,ORNL_DAAC,1,2019-10-15T22:09:44Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S02X_Ch081v091.tif,2.426996,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,56.0356,56.0451,-111.4,-111.386,"POLYGON ((-111.386 56.0356, -111.386 56.0451, -111.4 56.0451, -111.4 56.0356, -111.386 56.0356))"
granule,G1646367777-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S01X_Ch083v087.tif,ORNL_DAAC,1,2019-10-15T22:09:44Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S01X_Ch083v087.tif,1289.550302,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,57.1344,57.413,-111.468,-111.194,"POLYGON ((-111.194 57.1344, -111.194 57.413, -111.468 57.413, -111.468 57.1344, -111.194 57.1344))"
granule,G1646367778-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S01X_Ch083v084.tif,ORNL_DAAC,1,2019-10-15T22:09:44Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S01X_Ch083v084.tif,986.419428,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,57.9455,58.1431,-111.497,-111.228,"POLYGON ((-111.228 57.9455, -111.228 58.1431, -111.497 58.1431, -111.497 57.9455, -111.228 57.9455))"
granule,G1646367779-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch080v102.tif,ORNL_DAAC,1,2019-10-15T22:09:44Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch080v102.tif,713.993468,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,53.2786,53.3745,-111.091,-110.776,"POLYGON ((-110.776 53.2786, -110.776 53.3745, -111.091 53.3745, -111.091 53.2786, -110.776 53.2786))"
granule,G1646367791-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch083v102.tif,ORNL_DAAC,1,2019-10-15T22:09:44Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch083v102.tif,1502.223144,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,53.2523,53.4154,-109.864,-109.382,"POLYGON ((-109.382 53.2523, -109.382 53.4154, -109.864 53.4154, -109.864 53.2523, -109.382 53.2523))"
granule,G1646367838-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch084v103.tif,ORNL_DAAC,1,2019-10-15T22:09:50Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch084v103.tif,280.326637,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,53.2705,53.3319,-109.176,-108.917,"POLYGON ((-108.917 53.2705, -108.917 53.3319, -109.176 53.3319, -109.176 53.2705, -108.917 53.2705))"
granule,G1646367844-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch080v101.tif,ORNL_DAAC,1,2019-10-15T22:09:50Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S03B_Ch080v101.tif,213.428615,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,53.3366,53.3953,-111.093,-110.854,"POLYGON ((-110.854 53.3366, -110.854 53.3953, -111.093 53.3953, -111.093 53.3366, -110.854 53.3366))"
granule,G1646367850-ORNL_DAAC,ABoVE_Open_Water_Map.DCS_20170709_S01X_Ch083v088.tif,ORNL_DAAC,1,2019-10-15T22:09:50Z,2018-11-29T00:00:00.000Z,ABoVE_Open_Water_Map_1643,ABoVE_Open_Water_Map.DCS_20170709_S01X_Ch083v088.tif,132.440333,,Both,2017-07-09T00:00:00.000Z,2017-07-09T00:00:00.000Z,57.0383,57.1397,-111.353,-111.268,"POLYGON ((-111.268 57.0383, -111.268 57.1397, -111.353 57.1397, -111.353 57.0383, -111.268 57.0383))"
