cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1581605355-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_vegetation_2005.zip,ORNL_DAAC,1,2019-01-02T18:14:05Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_vegetation_2005.zip,0.374177,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
granule,G1581605356-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_avhrr_cir_1995.tif,ORNL_DAAC,1,2019-01-02T18:14:05Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_avhrr_cir_1995.tif,5.324052,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
granule,G1581605357-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.ak_topo_aa.tif,ORNL_DAAC,1,2019-01-02T18:14:05Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.ak_topo_aa.tif,2.610063,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
granule,G1581605358-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_floristic_2005.zip,ORNL_DAAC,1,2019-01-02T18:14:05Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_floristic_2005.zip,0.063913,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
granule,G1581605359-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_substrate_chem_2005.zip,ORNL_DAAC,1,2019-01-02T18:14:05Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_substrate_chem_2005.zip,0.202764,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
granule,G1581605360-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_geobotanical.zip,ORNL_DAAC,1,2019-01-02T18:14:05Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_geobotanical.zip,0.566334,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
granule,G1581605361-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_landscape_2005.zip,ORNL_DAAC,1,2019-01-02T18:14:05Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_landscape_2005.zip,0.249697,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
granule,G1581605362-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_bioclimate_2005.zip,ORNL_DAAC,1,2019-01-02T18:14:05Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_bioclimate_2005.zip,0.074169,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
granule,G1581605363-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_avhrr_ndvi_1995.tif,ORNL_DAAC,1,2019-01-02T18:14:05Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_avhrr_ndvi_1995.tif,1.161837,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
granule,G1581605364-ORNL_DAAC,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_lake_cover_2005.zip,ORNL_DAAC,1,2019-01-02T18:14:06Z,2018-12-31T00:00:00.000Z,Alaska_Arctic_Tundra_Veg_Map_1353,Alaska_Arctic_Tundra_Veg_Map.aga_arctic_ak_lake_cover_2005.zip,0.197247,,Both,1993-06-01T00:00:00.000Z,2005-03-30T00:00:00.000Z,57.0847,71.3703,-173.052,-138.542,"POLYGON ((-138.542 57.0847, -138.542 71.3703, -173.052 71.3703, -173.052 57.0847, -138.542 57.0847))"
