cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1549411275-NSIDC_ECS,SC:AFLVIS2.001:138345559,NSIDC_ECS,2,2018-09-24T17:01:47Z,2018-09-24T10:55:46.870Z,,SC:AFLVIS2.001:138345559,130.082,,Unspecified,2016-02-20T10:33:44.015Z,2016-02-20T10:43:39.524Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1549414113-NSIDC_ECS,SC:AFLVIS2.001:138348873,NSIDC_ECS,1,2018-09-24T17:01:50Z,2018-09-24T11:00:00.857Z,,SC:AFLVIS2.001:138348873,130.082,,Unspecified,2016-02-20T10:43:39.525Z,2016-02-20T10:58:47.545Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1549416109-NSIDC_ECS,SC:AFLVIS2.001:138349024,NSIDC_ECS,1,2018-09-24T17:06:36Z,2018-09-24T11:04:46.947Z,,SC:AFLVIS2.001:138349024,130.082,,Unspecified,2016-02-20T10:58:47.546Z,2016-02-20T11:13:42.011Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1549416146-NSIDC_ECS,SC:AFLVIS2.001:138349002,NSIDC_ECS,1,2018-09-24T17:06:37Z,2018-09-24T11:04:09.044Z,,SC:AFLVIS2.001:138349002,130.082,,Unspecified,2016-02-20T11:13:42.012Z,2016-02-20T11:28:23.505Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1549416138-NSIDC_ECS,SC:AFLVIS2.001:138349039,NSIDC_ECS,1,2018-09-24T17:06:37Z,2018-09-24T11:04:59.471Z,,SC:AFLVIS2.001:138349039,130.082,,Unspecified,2016-02-20T11:28:23.506Z,2016-02-20T11:42:35.978Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1549414064-NSIDC_ECS,SC:AFLVIS2.001:138348870,NSIDC_ECS,1,2018-09-24T17:01:48Z,2018-09-24T10:59:55.631Z,,SC:AFLVIS2.001:138348870,130.082,,Unspecified,2016-02-20T11:42:35.979Z,2016-02-20T11:56:24.084Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1549416174-NSIDC_ECS,SC:AFLVIS2.001:138348961,NSIDC_ECS,1,2018-09-24T17:06:39Z,2018-09-24T11:02:52.466Z,,SC:AFLVIS2.001:138348961,130.082,,Unspecified,2016-02-20T11:56:24.085Z,2016-02-20T12:11:13.018Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1549416215-NSIDC_ECS,SC:AFLVIS2.001:138349007,NSIDC_ECS,1,2018-09-24T17:06:40Z,2018-09-24T11:04:14.704Z,,SC:AFLVIS2.001:138349007,130.082,,Unspecified,2016-02-20T12:11:13.019Z,2016-02-20T12:20:15.668Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1549416212-NSIDC_ECS,SC:AFLVIS2.001:138348981,NSIDC_ECS,1,2018-09-24T17:06:40Z,2018-09-24T11:03:26.539Z,,SC:AFLVIS2.001:138348981,130.082,,Unspecified,2016-02-20T12:20:15.669Z,2016-02-20T12:32:17.685Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1549414156-NSIDC_ECS,SC:AFLVIS2.001:138348896,NSIDC_ECS,1,2018-09-24T17:01:51Z,2018-09-24T11:00:24.819Z,,SC:AFLVIS2.001:138348896,130.082,,Unspecified,2016-02-20T12:32:17.686Z,2016-02-20T12:45:56.667Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
