cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1517428080-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05HVVV_XX_01.grd,ORNL_DAAC,1,2018-05-06T14:09:26Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05HVVV_XX_01.grd,372.8558,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517428084-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30_XX_01_THUMBNAIL.jpg,ORNL_DAAC,1,2018-05-06T14:09:26Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30_XX_01_THUMBNAIL.jpg,0.002243,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517428396-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30_XX_01.hgt,ORNL_DAAC,1,2018-05-06T14:10:02Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30_XX_01.hgt,5.165228,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517428805-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05_XX_01.ann,ORNL_DAAC,1,2018-05-06T14:10:56Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05_XX_01.ann,0.022197,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517428813-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30_XX_01.ann,ORNL_DAAC,1,2018-05-06T14:10:56Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30_XX_01.ann,0.022202,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517428896-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30_XX_01.inc,ORNL_DAAC,1,2018-05-06T14:11:07Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30_XX_01.inc,5.165228,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517429021-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05HHHV_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:11:24Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05HHHV_XX_01.mlc,69.811168,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517429053-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30HHHH_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:11:28Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_30HHHH_XX_01.mlc,1.04896,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517429079-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05HHVV_XX_01.grd,ORNL_DAAC,1,2018-05-06T14:11:32Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05HHVV_XX_01.grd,372.8558,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517429347-ORNL_DAAC,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05HHVV_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:12:05Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_BERMS_1406,AirMOSS_L1_Sigma0_BERMS.BermsP_08100_12090_007_121004_PL09043020_05HHVV_XX_01.mlc,69.811168,,Day,2012-10-04T14:22:56.000Z,2012-10-04T14:32:48.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
